owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
hiyouga,LlamaFactory,hiyouga/LlamaFactory,10334,https://github.com/hiyouga/LlamaFactory/pull/10334,fix moe,MERGED,2026-03-31T09:29:57Z,2026-03-31T15:04:49Z,2026-03-31T15:04:49Z,5.581111,137,1,5,0,5,0,0,0,2,3,APPROVED,positive,COMMENTED|APPROVED,gemini-code-assist|hiyouga,yes,frozenleaves,2026-03-31T15:04:46Z,1293,10,95,0.050000
hiyouga,LlamaFactory,hiyouga/LlamaFactory,10267,https://github.com/hiyouga/LlamaFactory/pull/10267,fix(mm): fallback to audio_processor when feature_extractor is missing,MERGED,2026-03-10T07:51:15Z,2026-03-10T14:09:55Z,2026-03-10T14:09:55Z,6.311111,1354,1,9,3,12,1,0,1,2,3,APPROVED,positive,COMMENTED|APPROVED,gemini-code-assist|hiyouga,yes,xxddccaa,2026-03-10T11:36:41Z,1293,10,95,0.050000
hiyouga,LlamaFactory,hiyouga/LlamaFactory,9640,https://github.com/hiyouga/LlamaFactory/pull/9640,[ci] remove docker cache,MERGED,2025-12-21T16:54:18Z,2025-12-21T17:03:14Z,2025-12-21T17:03:14Z,0.148889,167,2,2,9,11,1,0,1,0,1,NO_REVIEW,no_review,,,no,hiyouga,2025-12-21T17:03:10Z,1293,10,95,0.050000
hiyouga,LlamaFactory,hiyouga/LlamaFactory,8264,https://github.com/hiyouga/LlamaFactory/pull/8264,[data] support nested images input for videos,MERGED,2025-06-02T11:31:45Z,2025-12-19T11:59:08Z,2025-12-19T11:59:08Z,4800.456389,1170,2,63,27,90,0,0,0,5,2,APPROVED,positive,COMMENTED|CHANGES_REQUESTED|CHANGES_REQUESTED|COMMENTED|APPROVED,hiyouga|hiyouga|hiyouga|Kuangdd01|hiyouga,yes,Kuangdd01,2025-06-03T12:26:29Z,1293,10,95,0.050000
hiyouga,LlamaFactory,hiyouga/LlamaFactory,8565,https://github.com/hiyouga/LlamaFactory/pull/8565,[assets] update wechat,MERGED,2025-07-07T12:29:14Z,2025-07-07T12:29:23Z,2025-07-07T12:29:23Z,0.002500,137,2,0,0,0,0,0,0,0,1,NO_REVIEW,no_review,,,no,hiyouga,2025-07-07T12:29:21Z,1293,10,95,0.050000
hiyouga,LlamaFactory,hiyouga/LlamaFactory,6698,https://github.com/hiyouga/LlamaFactory/pull/6698,Add support for japanese language,MERGED,2025-01-18T14:23:23Z,2025-01-20T11:46:38Z,2025-01-20T11:46:38Z,45.387500,195,3,496,3,499,0,0,0,1,2,APPROVED,positive,APPROVED,hiyouga,yes,engchina,2025-01-20T11:46:38Z,1293,10,95,0.050000
hiyouga,LlamaFactory,hiyouga/LlamaFactory,5920,https://github.com/hiyouga/LlamaFactory/pull/5920,Support ibm/granite3.0 models,CLOSED,2024-11-04T02:14:30Z,2024-11-04T07:13:52Z,2024-11-04T07:13:52Z,4.989444,151,4,63,18,81,0,0,0,0,1,NO_REVIEW,no_review,,,no,Tuyohai,,1293,10,95,0.050000
hiyouga,LlamaFactory,hiyouga/LlamaFactory,3804,https://github.com/hiyouga/LlamaFactory/pull/3804,Support 360 Zhinao-7B,CLOSED,2024-05-18T10:17:39Z,2024-05-27T12:07:22Z,2024-05-27T12:07:22Z,217.828611,266,6,45,2,47,1,0,1,0,1,NO_REVIEW,no_review,,,no,bingnandu,,1293,10,95,0.050000
hiyouga,LlamaFactory,hiyouga/LlamaFactory,3276,https://github.com/hiyouga/LlamaFactory/pull/3276,fix: turn on output_router_logits of mixtral,MERGED,2024-04-15T06:08:28Z,2024-04-15T07:38:26Z,2024-04-15T07:38:26Z,1.499444,244,1,1,1,2,1,0,1,1,2,APPROVED,positive,APPROVED,hiyouga,yes,liu-zichen,2024-04-15T07:38:16Z,1293,10,95,0.050000
hiyouga,LlamaFactory,hiyouga/LlamaFactory,2283,https://github.com/hiyouga/LlamaFactory/pull/2283,fix: ZeRO3 does not work with MoE models,MERGED,2024-01-22T07:25:14Z,2024-03-05T03:12:23Z,2024-03-05T03:12:23Z,1027.785833,21,1,6,0,6,7,0,7,0,1,NO_REVIEW,no_review,,,no,A-Cepheus,2024-01-22T15:28:45Z,1293,10,95,0.050000
