owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
hoppscotch,hoppscotch,hoppscotch/hoppscotch,3973,https://github.com/hoppscotch/hoppscotch/pull/3973,chore: migrate `Node.js` implementation for `js-sandbox` to `isolated-vm`,MERGED,2024-04-12T12:23:28Z,2026-02-23T07:18:48Z,2026-02-23T07:18:48Z,16362.922222,2424,52,1029,286,1315,0,0,0,3,3,APPROVED,positive,COMMENTED|COMMENTED|APPROVED,github-advanced-security|jamesgeorge007|AndrewBastin,yes,jamesgeorge007,2024-04-19T15:38:46Z,3255,10,95,0.050000
hoppscotch,hoppscotch,hoppscotch/hoppscotch,5544,https://github.com/hoppscotch/hoppscotch/pull/5544,feat(common): add better ux to profile page by enabling routing for each tab,MERGED,2025-10-31T19:09:27Z,2025-11-25T17:36:56Z,2025-11-25T17:36:56Z,598.458056,476,13,408,199,607,0,0,0,6,4,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED,copilot-pull-request-reviewer|copilot-pull-request-reviewer|anwarulislam|cubic-dev-ai|copilot-pull-request-reviewer|nivedin,yes,anwarulislam,2025-11-25T17:36:56Z,3255,10,95,0.050000
hoppscotch,hoppscotch,hoppscotch/hoppscotch,3948,https://github.com/hoppscotch/hoppscotch/pull/3948,feat: console error messages and better names for requests imported from openapi,CLOSED,2024-03-29T02:24:23Z,2024-10-17T14:00:50Z,2024-10-17T14:00:50Z,4859.607500,1095,3,42,22,64,0,0,0,6,3,COMMENTED,neutral,CHANGES_REQUESTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,joeljstephen|amk-dev|sawa-ko|amk-dev|amk-dev|sawa-ko,yes,sawa-ko,,3255,10,95,0.050000
hoppscotch,hoppscotch,hoppscotch/hoppscotch,3567,https://github.com/hoppscotch/hoppscotch/pull/3567,fix: XML body disappearing with invalid XML,MERGED,2023-11-19T20:15:12Z,2023-11-20T09:32:07Z,2023-11-20T09:32:07Z,13.281944,350,1,21,7,28,0,0,0,2,3,APPROVED,positive,APPROVED|APPROVED,AndrewBastin|nivedin,yes,amk-dev,2023-11-20T09:32:07Z,3255,10,95,0.050000
hoppscotch,hoppscotch,hoppscotch/hoppscotch,2874,https://github.com/hoppscotch/hoppscotch/pull/2874,chore: reintroduce sitemap generation,MERGED,2022-12-10T02:02:29Z,2022-12-11T02:10:47Z,2022-12-11T02:10:47Z,24.138333,1042,5,40,13,53,0,0,0,1,2,APPROVED,positive,APPROVED,liyasthomas,yes,AndrewBastin,2022-12-11T02:10:45Z,3255,10,95,0.050000
hoppscotch,hoppscotch,hoppscotch/hoppscotch,2385,https://github.com/hoppscotch/hoppscotch/pull/2385,refactor: use refAutoReset instead of settimeout,MERGED,2022-05-31T13:35:56Z,2022-06-01T11:24:40Z,2022-06-01T11:24:40Z,21.812222,280,18,62,53,115,0,0,0,1,2,APPROVED,positive,APPROVED,AndrewBastin,yes,liyasthomas,2022-06-01T11:24:38Z,3255,10,95,0.050000
hoppscotch,hoppscotch,hoppscotch/hoppscotch,2340,https://github.com/hoppscotch/hoppscotch/pull/2340,chore(deps): bump graphql from 15.8.0 to 16.5.0,CLOSED,2022-05-16T00:03:02Z,2022-05-16T00:26:27Z,2022-05-16T00:26:27Z,0.390278,3603,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,dependabot,,3255,10,95,0.050000
hoppscotch,hoppscotch,hoppscotch/hoppscotch,2202,https://github.com/hoppscotch/hoppscotch/pull/2202,refactor: remove footer on narrow screens,MERGED,2022-03-25T14:42:05Z,2022-03-29T06:56:52Z,2022-03-29T06:56:52Z,88.246389,353,5,274,25,299,5,0,5,1,2,APPROVED,positive,APPROVED,liyasthomas,yes,joeljstephen,2022-03-29T06:55:54Z,3255,10,95,0.050000
hoppscotch,hoppscotch,hoppscotch/hoppscotch,1156,https://github.com/hoppscotch/hoppscotch/pull/1156,Bump pretty-quick from 3.0.1 to 3.0.2,CLOSED,2020-09-11T00:04:44Z,2020-09-11T00:09:15Z,2020-09-11T00:09:15Z,0.075278,1657,2,4,4,8,2,0,2,0,1,NO_REVIEW,no_review,,,no,dependabot,,3255,10,95,0.050000
hoppscotch,hoppscotch,hoppscotch/hoppscotch,183,https://github.com/hoppscotch/hoppscotch/pull/183,Add Device orientation and Update start_url in manifest,CLOSED,2019-10-04T08:21:04Z,2019-10-04T17:32:23Z,2019-10-04T17:32:23Z,9.188611,162,1,2,1,3,3,0,3,0,1,NO_REVIEW,no_review,,,no,mskian,,3255,10,95,0.050000
