owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
huggingface,transformers,huggingface/transformers,45426,https://github.com/huggingface/transformers/pull/45426,Feature/add axk1,CLOSED,2026-04-14T07:23:05Z,2026-04-29T10:37:54Z,2026-04-29T10:37:54Z,363.246944,2006,12,2739,0,2739,2,0,2,0,1,NO_REVIEW,no_review,,,no,kmswin1,,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,45592,https://github.com/huggingface/transformers/pull/45592,fix padding side issue for fast_vlm tests,MERGED,2026-04-23T02:33:50Z,2026-04-28T15:08:55Z,2026-04-28T15:08:55Z,132.584722,199,1,17,5,22,2,0,2,1,2,APPROVED,positive,APPROVED,ydshieh,yes,kaixuanliu,2026-04-28T15:08:54Z,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,45279,https://github.com/huggingface/transformers/pull/45279,add expert parallelism for gemma-4-26B-A4B-it,MERGED,2026-04-07T06:40:35Z,2026-04-22T07:15:21Z,2026-04-22T07:15:21Z,360.579444,1571,2,19,3,22,9,0,9,10,2,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED|COMMENTED|COMMENTED|COMMENTED,ArthurZucker|sywangyi|sywangyi|ArthurZucker|sywangyi|ArthurZucker|ArthurZucker|sywangyi|ArthurZucker|sywangyi,yes,sywangyi,2026-04-22T07:15:21Z,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,44503,https://github.com/huggingface/transformers/pull/44503,fix(testing): Fix MoonshineEncoder UnboundLocalError and Florence2VisionBackbone dtype mismatch,MERGED,2026-03-06T17:08:00Z,2026-04-18T08:28:07Z,2026-04-18T08:28:07Z,1023.335278,2736,4,8,2,10,2,0,2,1,2,APPROVED,positive,APPROVED,Rocketknight1,yes,harshaljanjani,2026-03-09T16:31:43Z,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,45445,https://github.com/huggingface/transformers/pull/45445,Update Torch version check for flex attention,CLOSED,2026-04-15T03:09:38Z,2026-04-15T11:40:34Z,2026-04-15T11:40:34Z,8.515556,451,1,1,1,2,8,0,8,2,3,APPROVED,positive,COMMENTED|APPROVED,copilot-pull-request-reviewer|Rocketknight1,yes,ZSLsherly,,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,44940,https://github.com/huggingface/transformers/pull/44940,Fix tie_weights skipping logic is not tied to model thread scope,OPEN,2026-03-23T09:55:57Z,2026-04-07T02:01:50Z,2026-04-07T02:01:50Z,352.098056,1876,3,138,10,148,1,0,1,3,2,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED,Cyrilvallez|Qubitium|Qubitium,yes,Qubitium,,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,44926,https://github.com/huggingface/transformers/pull/44926,Fix backward compatibility for full path imports of Fast Image Processors,MERGED,2026-03-22T14:46:17Z,2026-03-23T14:16:49Z,2026-03-23T14:16:49Z,23.508889,168,2,25,0,25,1,0,1,2,3,COMMENTED,neutral,APPROVED|COMMENTED,hmellor|ArthurZucker,yes,yonigozlan,2026-03-23T12:42:20Z,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,43793,https://github.com/huggingface/transformers/pull/43793,[Model] Add PP-OCRV5_mobile_rec Model Support,CLOSED,2026-02-06T09:34:48Z,2026-03-19T10:50:04Z,2026-03-19T10:50:04Z,985.254444,678,15,5225,0,5225,5,0,5,3,2,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED,yonigozlan|liu-jiaxuan|liu-jiaxuan,yes,liu-jiaxuan,,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,42404,https://github.com/huggingface/transformers/pull/42404,Add Flash Attention 4 (CuTe DSL) Support,CLOSED,2025-11-25T17:30:39Z,2026-03-13T19:32:04Z,2026-03-13T19:32:04Z,2594.023611,5730,8,844,24,868,2,0,2,1,2,COMMENTED,neutral,COMMENTED,vasqu,yes,sambhavnoobcoder,,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,44434,https://github.com/huggingface/transformers/pull/44434,[CB] Add dedicated config,MERGED,2026-03-04T13:49:05Z,2026-03-13T13:56:40Z,2026-03-13T13:56:40Z,216.126389,375,9,413,303,716,2,0,2,7,2,COMMENTED,neutral,APPROVED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,ArthurZucker|remi-or|remi-or|remi-or|remi-or|remi-or|remi-or,yes,remi-or,2026-03-13T13:56:37Z,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,44642,https://github.com/huggingface/transformers/pull/44642,Clarify that causal LM labels are shifted internally,OPEN,2026-03-12T23:47:11Z,2026-03-13T00:02:30Z,2026-03-13T00:02:30Z,0.255278,514,1,5,1,6,1,0,1,0,1,NO_REVIEW,no_review,,,no,joshuaswanson,,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,44518,https://github.com/huggingface/transformers/pull/44518,fix: Qwen2_5_VLProcessor crashes on batched input when padding=False …,CLOSED,2026-03-07T19:22:40Z,2026-03-10T18:57:10Z,2026-03-10T18:57:10Z,71.575000,1585,2,12,10,22,3,0,3,0,1,NO_REVIEW,no_review,,,no,KartikPawade,,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,44441,https://github.com/huggingface/transformers/pull/44441,[LW-DETR] Fix training,MERGED,2026-03-04T19:54:20Z,2026-03-09T15:36:02Z,2026-03-09T15:36:02Z,115.695000,910,3,37,48,85,3,0,3,5,2,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED,yonigozlan|NielsRogge|yonigozlan|NielsRogge|yonigozlan,yes,NielsRogge,2026-03-09T15:36:02Z,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,43641,https://github.com/huggingface/transformers/pull/43641,Docs: fix SigLIP2 usage examples,MERGED,2026-01-31T07:00:56Z,2026-03-06T20:02:56Z,2026-03-06T20:02:56Z,829.033333,208,1,1,1,2,1,0,1,5,2,COMMENTED,neutral,APPROVED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,stevhliu|stevhliu|KOKOSde|stevhliu|KOKOSde,yes,KOKOSde,2026-03-06T20:02:56Z,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,43737,https://github.com/huggingface/transformers/pull/43737,Use associative scan HOP mamba recurrentgemma,MERGED,2026-02-04T15:06:43Z,2026-02-25T17:06:20Z,2026-02-25T17:06:20Z,505.993611,704,8,197,31,228,40,0,40,7,3,APPROVED,positive,APPROVED|COMMENTED|APPROVED|COMMENTED|COMMENTED|COMMENTED|APPROVED,ArthurZucker|riccardofelluga|vasqu|riccardofelluga|ArthurZucker|ArthurZucker|vasqu,yes,riccardofelluga,2026-02-25T17:06:20Z,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,44203,https://github.com/huggingface/transformers/pull/44203,"fix(trainer): pass optim_args to SGD, Adagrad, and RMSprop optimizers",MERGED,2026-02-21T15:12:17Z,2026-02-25T16:04:20Z,2026-02-25T16:04:20Z,96.867500,798,1,22,3,25,3,0,3,2,3,APPROVED,positive,APPROVED|APPROVED,redpanda1995|SunMarc,yes,nightcityblade,2026-02-25T16:03:17Z,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,43709,https://github.com/huggingface/transformers/pull/43709,fix: `VersionComparison.from_string` return type mismatch,MERGED,2026-02-03T14:26:58Z,2026-02-23T19:05:33Z,2026-02-23T19:05:33Z,484.643056,847,0,0,0,0,2,0,2,1,2,APPROVED,positive,APPROVED,ArthurZucker,yes,tarekziade,2026-02-23T19:05:31Z,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,44175,https://github.com/huggingface/transformers/pull/44175,add jamba tokenizer mapping to PreTrainedTokenizerFast (v4/v5 BC),CLOSED,2026-02-20T11:00:18Z,2026-02-20T16:19:31Z,2026-02-20T16:19:31Z,5.320278,183,1,1,0,1,2,0,2,1,2,APPROVED,positive,APPROVED,ArthurZucker,yes,itazap,,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,43959,https://github.com/huggingface/transformers/pull/43959,Enforce explicit UTF-8 encoding in core Library to prevent Windows crashes,CLOSED,2026-02-12T17:00:15Z,2026-02-13T12:50:43Z,2026-02-13T12:50:43Z,19.841111,1470,10,32,32,64,1,0,1,1,2,COMMENTED,neutral,COMMENTED,copilot-pull-request-reviewer,yes,DimiChatzipavlis,,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,43865,https://github.com/huggingface/transformers/pull/43865,update somes audio models,MERGED,2026-02-09T15:12:33Z,2026-02-13T10:25:47Z,2026-02-13T10:25:47Z,91.220556,0,1,4,4,8,2,0,2,8,3,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED,ebezzam|eustlb|Deep-unlearning|Deep-unlearning|Deep-unlearning|ebezzam|Deep-unlearning|ebezzam,yes,Deep-unlearning,2026-02-13T10:25:45Z,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,39722,https://github.com/huggingface/transformers/pull/39722,[Feat] Adding Intern-S1,OPEN,2025-07-28T07:20:05Z,2026-02-11T12:39:49Z,2026-02-11T12:39:49Z,4757.328889,1540,19,4020,0,4020,44,0,44,68,5,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,zucchini-nlp|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|zucchini-nlp|Anti-Entrophic|Anti-Entrophic|hhaAndroid|hhaAndroid|zucchini-nlp|hhaAndroid|hhaAndroid|zucchini-nlp|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|zucchini-nlp|zucchini-nlp|zucchini-nlp|hhaAndroid|hhaAndroid|Cyrilvallez|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|Cyrilvallez|Cyrilvallez|Cyrilvallez|Cyrilvallez|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|hhaAndroid|Cyrilvallez|ArthurZucker|ArthurZucker|Anti-Entrophic|Anti-Entrophic|Anti-Entrophic|Anti-Entrophic|Anti-Entrophic|Anti-Entrophic|Anti-Entrophic|ArthurZucker|Anti-Entrophic|Anti-Entrophic|Anti-Entrophic|zucchini-nlp,yes,hhaAndroid,,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,43895,https://github.com/huggingface/transformers/pull/43895,revert place_model_on_device to property,MERGED,2026-02-10T15:06:36Z,2026-02-11T10:37:06Z,2026-02-11T10:37:06Z,19.508333,122,2,8,7,15,3,0,3,1,2,APPROVED,positive,APPROVED,MekkCyber,yes,SunMarc,2026-02-11T10:37:04Z,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,38653,https://github.com/huggingface/transformers/pull/38653,Add sampling support to group beam search ,CLOSED,2025-06-07T04:17:07Z,2026-02-10T04:10:04Z,2026-02-10T04:10:04Z,5951.882500,5243,2,30,8,38,1,0,1,0,1,NO_REVIEW,no_review,,,no,gspeter-max,,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,43815,https://github.com/huggingface/transformers/pull/43815,Add missing import statement for os module,CLOSED,2026-02-07T03:24:08Z,2026-02-09T06:28:30Z,2026-02-09T06:28:30Z,51.072778,680,1,1,0,1,2,0,2,1,2,COMMENTED,neutral,COMMENTED,redpanda1995,yes,zyoraclub,,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,42845,https://github.com/huggingface/transformers/pull/42845,Remove `requests` code,MERGED,2025-12-12T17:57:18Z,2026-02-08T11:11:15Z,2026-02-08T11:11:15Z,1385.232500,372,256,1548,848,2396,16,0,16,7,3,CHANGES_REQUESTED,negative,COMMENTED|COMMENTED|COMMENTED|APPROVED|COMMENTED|CHANGES_REQUESTED|CHANGES_REQUESTED,Wauplin|Wauplin|Wauplin|Wauplin|Wauplin|Pediboi666|Pediboi666,yes,omkar-334,2026-01-23T10:50:53Z,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,43773,https://github.com/huggingface/transformers/pull/43773,Fix-release-ubild,MERGED,2026-02-05T15:38:15Z,2026-02-06T08:56:52Z,2026-02-06T08:56:52Z,17.310278,54,3,8,7,15,2,0,2,1,2,APPROVED,positive,APPROVED,LysandreJik,yes,ArthurZucker,2026-02-06T08:56:50Z,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,43661,https://github.com/huggingface/transformers/pull/43661,feat: Add unified model introspection & diagnostics framework,CLOSED,2026-01-31T20:17:33Z,2026-02-03T13:45:28Z,2026-02-03T13:45:28Z,65.465278,3348,17,2999,0,2999,1,0,1,0,1,NO_REVIEW,no_review,,,no,jonathan-fulton,,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,43695,https://github.com/huggingface/transformers/pull/43695,fix gptoss tp crash,MERGED,2026-02-03T01:30:55Z,2026-02-03T10:20:30Z,2026-02-03T10:20:30Z,8.826389,4832,1,1,1,2,5,0,5,0,1,NO_REVIEW,no_review,,,no,sywangyi,2026-02-03T10:20:30Z,26143,300,95,0.050000
huggingface,transformers,huggingface/transformers,42819,https://github.com/huggingface/transformers/pull/42819,[kernels] Centralize kernels tests,MERGED,2025-12-11T16:20:30Z,2026-02-02T09:13:44Z,2026-02-02T09:13:44Z,1264.887222,97,2,24,122,146,1,0,1,1,2,APPROVED,positive,APPROVED,SunMarc,yes,MekkCyber,2026-02-02T09:13:42Z,26143,300,95,0.050000
