owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
iluwatar,java-design-patterns,iluwatar/java-design-patterns,3384,https://github.com/iluwatar/java-design-patterns/pull/3384,thread-specific-storage,OPEN,2025-10-22T17:40:44Z,2025-12-24T02:12:45Z,2025-12-24T02:12:45Z,1496.533611,967,8,460,1,461,4,0,4,0,1,NO_REVIEW,no_review,,,no,quantambites,,2413,10,95,0.050000
iluwatar,java-design-patterns,iluwatar/java-design-patterns,3297,https://github.com/iluwatar/java-design-patterns/pull/3297,build(deps-dev): bump io.projectreactor:reactor-test from 3.8.0-M1 to 3.8.0-M4,CLOSED,2025-06-17T00:40:33Z,2025-08-05T05:50:17Z,2025-08-05T05:50:17Z,1181.162222,3545,1,1,1,2,3,0,3,2,3,APPROVED,positive,COMMENTED|APPROVED,github-actions|e5LA,yes,dependabot,,2413,10,95,0.050000
iluwatar,java-design-patterns,iluwatar/java-design-patterns,2918,https://github.com/iluwatar/java-design-patterns/pull/2918,build(deps): bump logback.version from 1.5.3 to 1.5.5,MERGED,2024-04-15T22:49:39Z,2024-04-17T17:50:08Z,2024-04-17T17:50:08Z,43.008056,2768,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,dependabot,2024-04-17T17:50:07Z,2413,10,95,0.050000
iluwatar,java-design-patterns,iluwatar/java-design-patterns,2850,https://github.com/iluwatar/java-design-patterns/pull/2850,docs: add KishalayP as a contributor for code,MERGED,2024-03-26T18:27:56Z,2024-03-26T18:39:53Z,2024-03-26T18:39:53Z,0.199167,99,2,11,1,12,1,0,1,0,1,NO_REVIEW,no_review,,,no,allcontributors,2024-03-26T18:28:10Z,2413,10,95,0.050000
iluwatar,java-design-patterns,iluwatar/java-design-patterns,2657,https://github.com/iluwatar/java-design-patterns/pull/2657,docs: add hamexhanif as a contributor for translation,MERGED,2023-10-15T13:19:47Z,2023-10-15T13:32:47Z,2023-10-15T13:32:47Z,0.216667,107,2,13,1,14,1,0,1,0,1,NO_REVIEW,no_review,,,no,allcontributors,2023-10-15T13:20:06Z,2413,10,95,0.050000
iluwatar,java-design-patterns,iluwatar/java-design-patterns,2315,https://github.com/iluwatar/java-design-patterns/pull/2315,docs: add ec-026 as a contributor for translation,MERGED,2022-11-06T09:49:59Z,2022-12-30T15:22:45Z,2022-12-30T15:22:45Z,1301.546111,103,2,11,0,11,0,0,0,1,2,APPROVED,positive,APPROVED,iluwatar,yes,allcontributors,2022-11-06T09:53:06Z,2413,10,95,0.050000
iluwatar,java-design-patterns,iluwatar/java-design-patterns,1976,https://github.com/iluwatar/java-design-patterns/pull/1976,build(deps): bump spring-webmvc from 5.0.17.RELEASE to 5.3.18,CLOSED,2022-03-31T20:52:18Z,2022-10-09T17:48:38Z,2022-10-09T17:48:38Z,4604.938889,4317,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,dependabot,,2413,10,95,0.050000
iluwatar,java-design-patterns,iluwatar/java-design-patterns,1110,https://github.com/iluwatar/java-design-patterns/pull/1110,added pom.xml,CLOSED,2019-12-03T16:04:27Z,2019-12-14T18:36:24Z,2019-12-14T18:36:24Z,266.532500,367,7,219,0,219,1,0,1,0,1,NO_REVIEW,no_review,,,no,liranz10,,2413,10,95,0.050000
iluwatar,java-design-patterns,iluwatar/java-design-patterns,1068,https://github.com/iluwatar/java-design-patterns/pull/1068,Resolves checkstyle errors for delegation dependency-injection dirty-flag double-buffer double-checked-locking double-dispatch,MERGED,2019-11-09T20:29:39Z,2019-11-11T04:00:52Z,2019-11-11T04:00:52Z,31.520278,216,35,154,215,369,1,0,1,1,2,APPROVED,positive,APPROVED,iluwatar,yes,altaiezior,2019-11-10T17:31:20Z,2413,10,95,0.050000
iluwatar,java-design-patterns,iluwatar/java-design-patterns,629,https://github.com/iluwatar/java-design-patterns/pull/629,Throttling pattern,MERGED,2017-09-07T13:33:15Z,2017-09-11T21:59:46Z,2017-09-11T21:59:46Z,104.441944,179,14,597,2,599,4,0,4,7,2,COMMENTED,neutral,CHANGES_REQUESTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,iluwatar|iluwatar|rastdeepanshu|rastdeepanshu|rastdeepanshu|rastdeepanshu|rastdeepanshu,yes,rastdeepanshu,2017-09-11T19:30:12Z,2413,10,95,0.050000
