owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
jesseduffield,lazygit,jesseduffield/lazygit,5366,https://github.com/jesseduffield/lazygit/pull/5366,Change 'Keep file' shortcut from 'k' to 'r' in merge conflict menu,OPEN,2026-03-13T08:00:50Z,2026-03-13T08:00:50Z,2026-03-13T08:00:50Z,0.000000,350,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,tusharmurali,,2389,10,95,0.050000
jesseduffield,lazygit,jesseduffield/lazygit,5331,https://github.com/jesseduffield/lazygit/pull/5331,"Rename ""Copy commit hash to clipboard"" to mention it's an abbreviated hash",MERGED,2026-03-02T08:57:26Z,2026-03-02T09:45:23Z,2026-03-02T09:45:23Z,0.799167,12,3,7,7,14,1,0,1,0,1,NO_REVIEW,no_review,,,no,stefanhaller,2026-03-02T09:45:21Z,2389,10,95,0.050000
jesseduffield,lazygit,jesseduffield/lazygit,4607,https://github.com/jesseduffield/lazygit/pull/4607,Improve PR template wrt release notes,MERGED,2025-05-29T13:24:18Z,2025-06-01T12:38:33Z,2025-06-01T12:38:33Z,71.237500,111,1,3,1,4,1,0,1,1,2,APPROVED,positive,APPROVED,jesseduffield,yes,stefanhaller,2025-06-01T12:38:09Z,2389,10,95,0.050000
jesseduffield,lazygit,jesseduffield/lazygit,3890,https://github.com/jesseduffield/lazygit/pull/3890,Get rid of a lot of error return values,MERGED,2024-09-05T10:43:08Z,2024-09-06T06:49:21Z,2024-09-06T06:49:21Z,20.103611,208,121,1167,712,1879,1,0,1,1,2,APPROVED,positive,APPROVED,jesseduffield,yes,stefanhaller,2024-09-06T06:48:44Z,2389,10,95,0.050000
jesseduffield,lazygit,jesseduffield/lazygit,2694,https://github.com/jesseduffield/lazygit/pull/2694,Show menu instead of prompt when there are conflicts in a rebase or merge,MERGED,2023-05-31T19:37:18Z,2023-07-20T07:04:06Z,2023-07-20T07:04:06Z,1187.446667,548,11,131,21,152,0,0,0,3,2,APPROVED,positive,COMMENTED|COMMENTED|APPROVED,jesseduffield|stefanhaller|jesseduffield,yes,stefanhaller,2023-06-01T08:52:11Z,2389,10,95,0.050000
jesseduffield,lazygit,jesseduffield/lazygit,2097,https://github.com/jesseduffield/lazygit/pull/2097,Add [Y/n] to all confirmation messages,CLOSED,2022-08-07T17:07:09Z,2023-05-08T23:41:31Z,2023-05-08T23:41:31Z,6582.572778,82,2,38,38,76,16,0,16,0,1,NO_REVIEW,no_review,,,no,mark2185,,2389,10,95,0.050000
jesseduffield,lazygit,jesseduffield/lazygit,847,https://github.com/jesseduffield/lazygit/pull/847,Portrait mode,MERGED,2020-05-17T11:47:48Z,2023-03-20T02:34:39Z,2023-03-20T02:34:39Z,24878.780833,728,8,508,180,688,2,0,2,0,1,NO_REVIEW,no_review,,,no,jesseduffield,2020-08-13T11:50:25Z,2389,10,95,0.050000
jesseduffield,lazygit,jesseduffield/lazygit,1064,https://github.com/jesseduffield/lazygit/pull/1064,Check default branch for the repository,CLOSED,2020-10-31T16:54:32Z,2021-01-05T08:50:53Z,2021-01-05T08:50:53Z,1575.939167,326,1,17,1,18,3,0,3,7,3,COMMENTED,neutral,COMMENTED|CHANGES_REQUESTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,jesseduffield|jesseduffield|tumaatti|tumaatti|jesseduffield|PGScully|tumaatti,yes,tumaatti,,2389,10,95,0.050000
jesseduffield,lazygit,jesseduffield/lazygit,709,https://github.com/jesseduffield/lazygit/pull/709,fix an incorrect criticism of git in the README,MERGED,2020-03-16T13:02:41Z,2020-03-24T22:18:26Z,2020-03-24T22:18:26Z,201.262500,501,1,1,1,2,5,0,5,2,2,CHANGES_REQUESTED,negative,COMMENTED|CHANGES_REQUESTED,jesseduffield|jesseduffield,yes,jbrains,2020-03-24T22:18:26Z,2389,10,95,0.050000
jesseduffield,lazygit,jesseduffield/lazygit,584,https://github.com/jesseduffield/lazygit/pull/584,Add Reflog tab,MERGED,2020-01-09T11:31:30Z,2020-01-09T11:37:57Z,2020-01-09T11:37:57Z,0.107500,123,14,352,31,383,1,0,1,0,1,NO_REVIEW,no_review,,,no,jesseduffield,2020-01-09T11:36:08Z,2389,10,95,0.050000
