owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
josephmisiti,awesome-machine-learning,josephmisiti/awesome-machine-learning,1101,https://github.com/josephmisiti/awesome-machine-learning/pull/1101,docs(readme): fix formatting for Hanami library description,MERGED,2026-01-24T03:33:42Z,2026-01-29T18:15:52Z,2026-01-29T18:15:52Z,134.702778,314,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,ipartzix,2026-01-29T18:15:52Z,1057,10,95,0.050000
josephmisiti,awesome-machine-learning,josephmisiti/awesome-machine-learning,859,https://github.com/josephmisiti/awesome-machine-learning/pull/859,Add Eurybia,MERGED,2022-05-24T14:37:42Z,2022-05-25T13:59:49Z,2022-05-25T13:59:49Z,23.368611,75,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,githubyako,2022-05-25T13:59:49Z,1057,10,95,0.050000
josephmisiti,awesome-machine-learning,josephmisiti/awesome-machine-learning,851,https://github.com/josephmisiti/awesome-machine-learning/pull/851,updated,CLOSED,2022-04-09T20:31:48Z,2022-04-11T13:00:48Z,2022-04-11T13:00:48Z,40.483333,0,3,4,1,5,0,0,0,0,1,NO_REVIEW,no_review,,,no,UndefendableMind,,1057,10,95,0.050000
josephmisiti,awesome-machine-learning,josephmisiti/awesome-machine-learning,747,https://github.com/josephmisiti/awesome-machine-learning/pull/747,Added DAGsHub,MERGED,2020-10-13T06:39:19Z,2020-10-13T14:14:48Z,2020-10-13T14:14:48Z,7.591389,265,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,guysmoilov,2020-10-13T14:14:48Z,1057,10,95,0.050000
josephmisiti,awesome-machine-learning,josephmisiti/awesome-machine-learning,550,https://github.com/josephmisiti/awesome-machine-learning/pull/550,Update location of Allen Downey's blog,MERGED,2018-10-21T18:28:18Z,2018-10-30T19:57:11Z,2018-10-30T19:57:11Z,217.481389,173,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,bbbbbrie,2018-10-30T19:57:06Z,1057,10,95,0.050000
josephmisiti,awesome-machine-learning,josephmisiti/awesome-machine-learning,502,https://github.com/josephmisiti/awesome-machine-learning/pull/502,Add xLearn,MERGED,2018-05-04T14:54:43Z,2018-05-17T01:18:56Z,2018-05-17T01:18:56Z,298.403611,0,1,2,0,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,gsakkis,2018-05-17T01:18:56Z,1057,10,95,0.050000
josephmisiti,awesome-machine-learning,josephmisiti/awesome-machine-learning,443,https://github.com/josephmisiti/awesome-machine-learning/pull/443,Adding Glot the plotting library for Golang,MERGED,2017-10-25T20:09:47Z,2017-10-27T01:20:39Z,2017-10-27T01:20:39Z,29.181111,111,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,arafatkatze,2017-10-27T01:20:39Z,1057,10,95,0.050000
josephmisiti,awesome-machine-learning,josephmisiti/awesome-machine-learning,257,https://github.com/josephmisiti/awesome-machine-learning/pull/257,Fix expired/ 404 link with new link,MERGED,2016-03-03T12:07:02Z,2016-03-03T12:55:49Z,2016-03-03T12:55:49Z,0.813056,0,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,hindupuravinash,2016-03-03T12:55:49Z,1057,10,95,0.050000
josephmisiti,awesome-machine-learning,josephmisiti/awesome-machine-learning,200,https://github.com/josephmisiti/awesome-machine-learning/pull/200,Add link to Dive into Machine Learning,MERGED,2015-11-11T20:04:54Z,2015-11-12T05:24:53Z,2015-11-12T05:24:53Z,9.333056,211,1,1,0,1,2,0,2,0,1,NO_REVIEW,no_review,,,no,floer32,2015-11-12T02:02:26Z,1057,10,95,0.050000
josephmisiti,awesome-machine-learning,josephmisiti/awesome-machine-learning,111,https://github.com/josephmisiti/awesome-machine-learning/pull/111,add Common Lisp and a couple of libraries,MERGED,2015-01-27T13:35:46Z,2015-01-27T14:57:11Z,2015-01-27T14:57:11Z,1.356944,32,1,12,0,12,1,0,1,0,1,NO_REVIEW,no_review,,,no,melisgl,2015-01-27T14:57:06Z,1057,10,95,0.050000
