owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
juliangarnier,anime,juliangarnier/anime,1152,https://github.com/juliangarnier/anime/pull/1152,fix: check for document existence to support React Native,OPEN,2026-03-08T08:45:36Z,2026-03-21T08:44:51Z,2026-03-21T08:44:51Z,311.987500,736,1,1,1,2,0,0,0,1,2,COMMENTED,neutral,COMMENTED,juliangarnier,yes,Br1an67,,204,10,95,0.050000
juliangarnier,anime,juliangarnier/anime,1074,https://github.com/juliangarnier/anime/pull/1074,Create npm-gulp.yml,CLOSED,2025-08-30T06:50:34Z,2025-09-01T06:24:53Z,2025-09-01T06:24:53Z,47.571944,97,1,33,0,33,3,0,3,0,1,NO_REVIEW,no_review,,,no,Justtnil,,204,10,95,0.050000
juliangarnier,anime,juliangarnier/anime,962,https://github.com/juliangarnier/anime/pull/962,Fixed 'substracts' typo in documentation,CLOSED,2025-03-12T15:02:43Z,2025-04-24T14:44:45Z,2025-04-24T14:44:45Z,1031.700556,37,1,2,2,4,1,0,1,1,2,APPROVED,positive,APPROVED,ddpd,yes,voxelith,,204,10,95,0.050000
juliangarnier,anime,juliangarnier/anime,383,https://github.com/juliangarnier/anime/pull/383,[PR feature request] Add offsetProgress feature for animation start point at X%,CLOSED,2018-06-11T09:00:14Z,2022-09-01T08:30:41Z,2022-09-01T08:30:41Z,37031.507500,1856,1,4,2,6,1,0,1,0,1,NO_REVIEW,no_review,,,no,misterbridge,,204,10,95,0.050000
juliangarnier,anime,juliangarnier/anime,809,https://github.com/juliangarnier/anime/pull/809,feat: add support for timeline markers,CLOSED,2022-02-17T02:06:00Z,2022-03-17T13:51:07Z,2022-03-17T13:51:07Z,683.751944,1040,101,1436,19671,21107,2,0,2,0,1,NO_REVIEW,no_review,,,no,diegolealco,,204,10,95,0.050000
juliangarnier,anime,juliangarnier/anime,282,https://github.com/juliangarnier/anime/pull/282,Deprecated path.el.getPointAtLength,CLOSED,2017-11-16T10:51:22Z,2020-10-11T17:00:16Z,2020-10-11T17:00:16Z,25446.148333,65,2,51,33,84,5,0,5,0,1,NO_REVIEW,no_review,,,no,jeroenrinzema,,204,10,95,0.050000
juliangarnier,anime,juliangarnier/anime,517,https://github.com/juliangarnier/anime/pull/517,Add spring and cubicBezier helper,CLOSED,2019-02-01T15:57:26Z,2019-07-23T13:48:14Z,2019-07-23T13:48:14Z,4125.846667,707,1,20,1,21,2,0,2,0,1,NO_REVIEW,no_review,,,no,dimensi,,204,10,95,0.050000
juliangarnier,anime,juliangarnier/anime,483,https://github.com/juliangarnier/anime/pull/483,Minor changes to fix issues with replaying,MERGED,2019-01-15T20:16:01Z,2019-01-15T23:50:34Z,2019-01-15T23:50:34Z,3.575833,584,2,9,8,17,0,0,0,0,1,NO_REVIEW,no_review,,,no,tbranyen,2019-01-15T23:50:33Z,204,10,95,0.050000
juliangarnier,anime,juliangarnier/anime,106,https://github.com/juliangarnier/anime/pull/106,Initial implementation for Promise resolution,MERGED,2017-01-30T22:17:33Z,2017-02-22T16:09:25Z,2017-02-22T16:09:25Z,545.864444,1694,2,59,2,61,6,0,6,0,1,NO_REVIEW,no_review,,,no,tbranyen,2017-02-18T17:55:43Z,204,10,95,0.050000
juliangarnier,anime,juliangarnier/anime,7,https://github.com/juliangarnier/anime/pull/7,Create bower.json,MERGED,2016-06-27T20:04:14Z,2016-06-27T22:29:23Z,2016-06-27T22:29:23Z,2.419167,0,1,26,0,26,1,0,1,0,1,NO_REVIEW,no_review,,,no,datnordstrom,2016-06-27T22:29:22Z,204,10,95,0.050000
