owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
junegunn,fzf,junegunn/fzf,1299,https://github.com/junegunn/fzf/pull/1299,zsh completion: Add support for per-command completion triggers.,OPEN,2018-05-21T22:23:20Z,2026-03-24T05:07:42Z,2026-03-24T05:07:42Z,68718.739444,892,2,46,22,68,10,0,10,0,1,NO_REVIEW,no_review,,,no,rickyz,,1169,10,95,0.050000
junegunn,fzf,junegunn/fzf,2795,https://github.com/junegunn/fzf/pull/2795,Bump ruby/setup-ruby from 1.100.0 to 1.101.0,MERGED,2022-04-18T13:19:50Z,2022-04-22T13:35:54Z,2022-04-22T13:35:54Z,96.267778,1673,2,2,2,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,dependabot,2022-04-22T13:35:51Z,1169,10,95,0.050000
junegunn,fzf,junegunn/fzf,2614,https://github.com/junegunn/fzf/pull/2614,Minor changes,MERGED,2021-09-21T17:03:34Z,2021-09-24T07:04:40Z,2021-09-24T07:04:40Z,62.018333,169,2,1,3,4,1,0,1,0,1,NO_REVIEW,no_review,,,no,vovcacik,2021-09-24T07:04:36Z,1169,10,95,0.050000
junegunn,fzf,junegunn/fzf,1857,https://github.com/junegunn/fzf/pull/1857,"add ""ascii"" option and focus ""ambiwidth"" option",CLOSED,2020-02-06T07:34:50Z,2020-02-10T08:52:05Z,2020-02-10T08:52:05Z,97.287500,10,1,24,3,27,1,0,1,0,1,NO_REVIEW,no_review,,,no,kyoh86,,1169,10,95,0.050000
junegunn,fzf,junegunn/fzf,1100,https://github.com/junegunn/fzf/pull/1100,fish: Use $version instead of $FISH_VERSION,MERGED,2017-10-20T20:51:33Z,2018-06-27T10:02:17Z,2018-06-27T10:02:17Z,5989.178889,316,1,2,2,4,4,0,4,0,1,NO_REVIEW,no_review,,,no,oschrenk,2018-06-27T10:02:17Z,1169,10,95,0.050000
junegunn,fzf,junegunn/fzf,1272,https://github.com/junegunn/fzf/pull/1272,Restore tmux window options,MERGED,2018-04-28T10:24:39Z,2018-05-03T19:54:52Z,2018-05-03T19:54:52Z,129.503611,613,1,7,0,7,5,0,5,0,1,NO_REVIEW,no_review,,,no,heindsight,2018-05-03T19:25:15Z,1169,10,95,0.050000
junegunn,fzf,junegunn/fzf,1098,https://github.com/junegunn/fzf/pull/1098,Ensure ps called as command,MERGED,2017-10-20T15:47:24Z,2017-10-21T07:08:45Z,2017-10-21T07:08:45Z,15.355833,220,2,2,2,4,3,0,3,0,1,NO_REVIEW,no_review,,,no,z0rc,2017-10-21T01:31:35Z,1169,10,95,0.050000
junegunn,fzf,junegunn/fzf,890,https://github.com/junegunn/fzf/pull/890,Added chocolatey update in Readme,MERGED,2017-03-29T10:44:37Z,2017-03-29T16:59:46Z,2017-03-29T16:59:46Z,6.252500,0,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,majkinetor,2017-03-29T16:59:42Z,1169,10,95,0.050000
junegunn,fzf,junegunn/fzf,231,https://github.com/junegunn/fzf/pull/231,fix typo in argument of head (zsh completion),MERGED,2015-05-09T19:16:28Z,2015-05-10T08:43:28Z,2015-05-10T08:43:28Z,13.450000,68,1,1,1,2,3,0,3,0,1,NO_REVIEW,no_review,,,no,robinro,2015-05-09T19:50:28Z,1169,10,95,0.050000
junegunn,fzf,junegunn/fzf,4,https://github.com/junegunn/fzf/pull/4,superfluous backslash in zle widget removed,MERGED,2013-11-10T14:31:45Z,2013-11-10T17:45:07Z,2013-11-10T17:45:07Z,3.222778,0,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,vifon,2013-11-10T14:34:21Z,1169,10,95,0.050000
