owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
justjavac,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,856,https://github.com/justjavac/free-programming-books-zh_CN/pull/856,Update README.md,OPEN,2022-07-15T10:19:02Z,2025-09-30T12:32:56Z,2025-09-30T12:32:56Z,28154.231667,11,1,1,0,1,2,0,2,1,2,APPROVED,positive,APPROVED,Aglowharmony,yes,xdwangwei,,464,10,95,0.050000
justjavac,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,849,https://github.com/justjavac/free-programming-books-zh_CN/pull/849,Linux 设备驱动 (第三版) 链接失效,MERGED,2022-03-22T14:03:29Z,2022-10-11T06:58:15Z,2022-10-11T06:58:15Z,4864.912778,0,1,1,1,2,3,0,3,1,2,APPROVED,positive,APPROVED,justjavac,yes,bzy-nya,2022-06-13T03:22:07Z,464,10,95,0.050000
justjavac,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,708,https://github.com/justjavac/free-programming-books-zh_CN/pull/708,增加 Effective Java 第3版中文版,MERGED,2019-06-15T05:10:20Z,2020-02-04T12:26:20Z,2020-02-04T12:26:20Z,5623.266667,24,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,sjsdfg,2020-02-04T12:26:20Z,464,10,95,0.050000
justjavac,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,705,https://github.com/justjavac/free-programming-books-zh_CN/pull/705,add Kotlin,MERGED,2019-06-01T13:16:45Z,2019-06-06T07:34:06Z,2019-06-06T07:34:06Z,114.289167,31,1,8,0,8,0,0,0,0,1,NO_REVIEW,no_review,,,no,startalks,2019-06-06T07:34:06Z,464,10,95,0.050000
justjavac,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,414,https://github.com/justjavac/free-programming-books-zh_CN/pull/414,添加 Symfony2 Cookbook(版本 2.7.0 LTS)中文版,MERGED,2015-11-25T09:26:43Z,2015-11-25T09:54:36Z,2015-11-25T09:54:36Z,0.464722,37,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,ywfwj2008,2015-11-25T09:54:35Z,464,10,95,0.050000
justjavac,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,331,https://github.com/justjavac/free-programming-books-zh_CN/pull/331,更换鸟哥的Linux私房菜地址,MERGED,2015-06-05T08:49:33Z,2015-06-08T01:06:43Z,2015-06-08T01:06:43Z,64.286111,0,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,OwenCedaric,2015-06-08T01:06:43Z,464,10,95,0.050000
justjavac,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,297,https://github.com/justjavac/free-programming-books-zh_CN/pull/297,Add React document.,MERGED,2015-04-01T02:29:55Z,2015-04-07T01:25:26Z,2015-04-07T01:25:26Z,142.925278,0,1,2,0,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,SDLyu,2015-04-07T01:25:26Z,464,10,95,0.050000
justjavac,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,164,https://github.com/justjavac/free-programming-books-zh_CN/pull/164,添加《Ruby on Rails 實戰聖經》,MERGED,2014-10-23T13:46:31Z,2014-10-23T14:49:36Z,2014-10-23T14:49:36Z,1.051389,0,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,spacewander,2014-10-23T14:49:36Z,464,10,95,0.050000
justjavac,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,26,https://github.com/justjavac/free-programming-books-zh_CN/pull/26,add two linux books,MERGED,2013-12-13T03:31:48Z,2014-07-03T00:59:40Z,2014-07-03T00:59:40Z,4845.464444,29,1,2,0,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,Ljhero,2013-12-13T03:52:45Z,464,10,95,0.050000
justjavac,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,53,https://github.com/justjavac/free-programming-books-zh_CN/pull/53,UNIX工具实用手册,MERGED,2014-04-22T13:58:01Z,2014-06-15T20:00:24Z,2014-06-15T20:00:24Z,1302.039722,0,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,cupen,2014-04-23T00:13:05Z,464,10,95,0.050000
