owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
kdn251,interviews,kdn251/interviews,166,https://github.com/kdn251/interviews/pull/166,Armstrong Number Checking,CLOSED,2020-07-24T13:43:11Z,2026-01-19T14:07:35Z,2026-01-19T14:07:35Z,48120.406667,54,1,26,0,26,4,0,4,0,1,NO_REVIEW,no_review,,,no,rjtmahinay,,177,10,95,0.050000
kdn251,interviews,kdn251/interviews,258,https://github.com/kdn251/interviews/pull/258,refactor(airbnb): apply Builder pattern to BST - Fix: #250,CLOSED,2025-11-03T11:20:47Z,2025-11-07T21:07:23Z,2025-11-07T21:07:23Z,105.776667,502,1,38,12,50,0,0,0,0,1,NO_REVIEW,no_review,,,no,James-4u,,177,10,95,0.050000
kdn251,interviews,kdn251/interviews,189,https://github.com/kdn251/interviews/pull/189,docs: add links to top with jump2header,CLOSED,2021-01-27T18:53:05Z,2022-04-12T08:26:24Z,2022-04-12T08:26:24Z,10549.555278,264,1,15,15,30,4,0,4,0,1,NO_REVIEW,no_review,,,no,strdr4605,,177,10,95,0.050000
kdn251,interviews,kdn251/interviews,102,https://github.com/kdn251/interviews/pull/102,Added Firecode to online judges,CLOSED,2018-10-06T06:27:20Z,2020-12-13T19:02:06Z,2020-12-13T19:02:06Z,19188.579444,108,1,1,0,1,0,0,0,2,3,APPROVED,positive,APPROVED|APPROVED,saneGuy|IAmPramod,yes,wcrasta,,177,10,95,0.050000
kdn251,interviews,kdn251/interviews,180,https://github.com/kdn251/interviews/pull/180,Update README.md,OPEN,2020-10-01T19:58:58Z,2020-10-01T19:58:58Z,2020-10-01T19:58:58Z,0.000000,55,1,19,25,44,0,0,0,0,1,NO_REVIEW,no_review,,,no,anirudhdmenon,,177,10,95,0.050000
kdn251,interviews,kdn251/interviews,111,https://github.com/kdn251/interviews/pull/111,Fix for #107,OPEN,2018-11-19T04:47:52Z,2019-01-17T04:14:55Z,2019-01-17T04:14:55Z,1415.450833,24,1,2,2,4,3,0,3,2,2,COMMENTED,neutral,APPROVED|COMMENTED,IAmPramod|vin0010,yes,vin0010,,177,10,95,0.050000
kdn251,interviews,kdn251/interviews,76,https://github.com/kdn251/interviews/pull/76,print_target_sum,CLOSED,2018-04-01T18:21:16Z,2018-06-09T17:54:37Z,2018-06-09T17:54:37Z,1655.555833,0,1,16,0,16,1,0,1,0,1,NO_REVIEW,no_review,,,no,sarthaks7harma,,177,10,95,0.050000
kdn251,interviews,kdn251/interviews,74,https://github.com/kdn251/interviews/pull/74,adding new problems,MERGED,2018-03-29T15:24:25Z,2018-04-05T20:44:40Z,2018-04-05T20:44:40Z,173.337500,0,73,2318,14,2332,0,0,0,0,1,NO_REVIEW,no_review,,,no,kdn251,2018-04-05T20:44:40Z,177,10,95,0.050000
kdn251,interviews,kdn251/interviews,53,https://github.com/kdn251/interviews/pull/53,Update README-zh-cn.md,MERGED,2017-10-06T01:29:19Z,2018-03-29T15:30:52Z,2018-03-29T15:30:52Z,4190.025833,0,1,2,2,4,1,0,1,0,1,NO_REVIEW,no_review,,,no,xdream86,2018-03-29T15:30:52Z,177,10,95,0.050000
kdn251,interviews,kdn251/interviews,39,https://github.com/kdn251/interviews/pull/39,added interviewbit & updated online judges in chinese,MERGED,2017-04-30T09:34:46Z,2017-07-21T13:52:09Z,2017-07-21T13:52:09Z,1972.289722,233,2,6,0,6,0,0,0,0,1,NO_REVIEW,no_review,,,no,alexeyts,2017-07-21T13:52:09Z,177,10,95,0.050000
