owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
kelseyhightower,nocode,kelseyhightower/nocode,5660,https://github.com/kelseyhightower/nocode/pull/5660,Embrace the void: The ultimate No Code implementation,CLOSED,2026-03-24T16:48:05Z,2026-03-24T17:27:53Z,2026-03-24T17:27:53Z,0.663333,177,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,rewyekha,,673,10,95,0.050000
kelseyhightower,nocode,kelseyhightower/nocode,2612,https://github.com/kelseyhightower/nocode/pull/2612,Reduced time complexity of Docker image creation from O(1) to O(0),OPEN,2018-09-04T14:14:47Z,2024-02-20T19:46:01Z,2024-02-20T19:46:01Z,47885.520556,0,1,1,1,2,3,0,3,3,4,CHANGES_REQUESTED,negative,APPROVED|APPROVED|CHANGES_REQUESTED,teamrit|FelipeRosa|adaamz,yes,0xsubi,,673,10,95,0.050000
kelseyhightower,nocode,kelseyhightower/nocode,1819,https://github.com/kelseyhightower/nocode/pull/1819,Fix for Dockerfile to respect the style guide,CLOSED,2018-02-15T19:54:59Z,2023-07-13T12:11:57Z,2023-07-13T12:11:57Z,47368.282778,0,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,rodrigoscna,,673,10,95,0.050000
kelseyhightower,nocode,kelseyhightower/nocode,4799,https://github.com/kelseyhightower/nocode/pull/4799,​,OPEN,2022-02-08T00:31:57Z,2023-01-11T12:38:50Z,2023-01-11T12:38:50Z,8100.114722,1,0,0,0,0,9,0,9,4,5,APPROVED,positive,APPROVED|APPROVED|APPROVED|APPROVED,ChickenDevs|rvighnes|anonymousliem|didntpot,yes,elinicksic,,673,10,95,0.050000
kelseyhightower,nocode,kelseyhightower/nocode,4522,https://github.com/kelseyhightower/nocode/pull/4522,Swapped the Licensing,OPEN,2021-06-18T07:28:30Z,2022-07-06T06:46:40Z,2022-07-06T06:46:40Z,9191.302778,90,1,116,202,318,4,0,4,5,5,APPROVED,positive,COMMENTED|APPROVED|APPROVED|APPROVED|APPROVED,mmdbalkhi|mmdbalkhi|vadimfilimonov|Harsh3114|sbrantq,yes,andypants152,,673,10,95,0.050000
kelseyhightower,nocode,kelseyhightower/nocode,816,https://github.com/kelseyhightower/nocode/pull/816,Machine Learning support,OPEN,2018-02-08T18:12:39Z,2022-06-16T11:43:17Z,2022-06-16T11:43:17Z,38129.510556,6718,0,0,0,0,3,0,3,0,1,NO_REVIEW,no_review,,,no,alexgtn,,673,10,95,0.050000
kelseyhightower,nocode,kelseyhightower/nocode,4390,https://github.com/kelseyhightower/nocode/pull/4390,Add branching support,OPEN,2021-04-01T03:16:31Z,2021-04-01T03:16:31Z,2021-04-01T03:16:31Z,0.000000,36,1,16,0,16,0,0,0,0,1,NO_REVIEW,no_review,,,no,KonPet,,673,10,95,0.050000
kelseyhightower,nocode,kelseyhightower/nocode,2651,https://github.com/kelseyhightower/nocode/pull/2651,Fix important legal stuff,OPEN,2018-10-06T13:12:46Z,2018-10-06T13:12:46Z,2018-10-06T13:12:46Z,0.000000,16,0,0,0,0,0,0,0,0,1,NO_REVIEW,no_review,,,no,xxczaki,,673,10,95,0.050000
kelseyhightower,nocode,kelseyhightower/nocode,2526,https://github.com/kelseyhightower/nocode/pull/2526,add some spacing for readability,OPEN,2018-07-20T08:32:24Z,2018-07-20T08:32:24Z,2018-07-20T08:32:24Z,0.000000,90,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,m0wh,,673,10,95,0.050000
kelseyhightower,nocode,kelseyhightower/nocode,1277,https://github.com/kelseyhightower/nocode/pull/1277,add ignore all source code files,OPEN,2018-02-09T17:09:45Z,2018-02-10T04:39:42Z,2018-02-10T04:39:42Z,11.499167,0,1,14,0,14,5,0,5,1,2,COMMENTED,neutral,COMMENTED,cjolivier01,yes,grago,,673,10,95,0.050000
