owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
keras-team,keras,keras-team/keras,20453,https://github.com/keras-team/keras/pull/20453,Fix for https://github.com/keras-team/keras/issues/20425,MERGED,2024-11-05T16:43:47Z,2026-04-05T20:02:36Z,2026-04-05T20:02:36Z,12387.313611,246,4,206,14,220,1,0,1,1,2,APPROVED,positive,APPROVED,fchollet,yes,hertschuh,2024-11-05T20:55:08Z,9235,10,95,0.050000
keras-team,keras,keras-team/keras,22202,https://github.com/keras-team/keras/pull/22202,Remove duplicate `norm` implementation in `math`.,MERGED,2026-02-18T00:36:09Z,2026-02-18T05:33:33Z,2026-02-18T05:33:33Z,4.956667,175,5,0,140,140,2,0,2,2,3,APPROVED,positive,COMMENTED|APPROVED,gemini-code-assist|divyashreepathihalli,yes,hertschuh,2026-02-18T03:19:25Z,9235,10,95,0.050000
keras-team,keras,keras-team/keras,20270,https://github.com/keras-team/keras/pull/20270,"Fix ""same"" padding torch issue",CLOSED,2024-09-18T22:39:10Z,2025-08-10T07:27:37Z,2025-08-10T07:27:37Z,7808.807500,329,3,21,4,25,3,0,3,0,1,NO_REVIEW,no_review,,,no,sachinprasadhs,,9235,10,95,0.050000
keras-team,keras,keras-team/keras,17062,https://github.com/keras-team/keras/pull/17062,Internal build change.,CLOSED,2022-09-22T16:50:14Z,2022-09-22T20:34:35Z,2022-09-22T20:34:35Z,3.739167,22,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,copybara-service,,9235,10,95,0.050000
keras-team,keras,keras-team/keras,16923,https://github.com/keras-team/keras/pull/16923,Add a comment to clarify the unused variable in the class.,CLOSED,2022-08-22T23:33:58Z,2022-08-29T23:09:47Z,2022-08-29T23:09:47Z,167.596944,58,1,4,0,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,copybara-service,,9235,10,95,0.050000
keras-team,keras,keras-team/keras,15994,https://github.com/keras-team/keras/pull/15994,Change the Attributes section  in optimizer docstring to Args section.,CLOSED,2022-02-01T19:37:49Z,2022-02-02T19:59:01Z,2022-02-02T19:59:01Z,24.353333,70,6,12,6,18,0,0,0,0,1,NO_REVIEW,no_review,,,no,copybara-service,,9235,10,95,0.050000
keras-team,keras,keras-team/keras,14664,https://github.com/keras-team/keras/pull/14664,Sync the OSS keras test.,CLOSED,2021-05-25T04:51:12Z,2021-05-25T17:03:28Z,2021-05-25T17:03:28Z,12.204444,24,2,43,49,92,0,0,0,0,1,NO_REVIEW,no_review,,,no,copybara-service,,9235,10,95,0.050000
keras-team,keras,keras-team/keras,13482,https://github.com/keras-team/keras/pull/13482,Added saveMODEL function,CLOSED,2019-10-22T07:08:13Z,2020-12-08T22:03:43Z,2020-12-08T22:03:43Z,9926.925000,730,1,113,42,155,0,0,0,0,1,NO_REVIEW,no_review,,,no,ayushjain209,,9235,10,95,0.050000
keras-team,keras,keras-team/keras,12444,https://github.com/keras-team/keras/pull/12444,[TF-2] Adding check for Tensorflow version,CLOSED,2019-03-10T19:37:22Z,2019-03-12T23:41:34Z,2019-03-12T23:41:34Z,52.070000,359,2,9,4,13,2,0,2,1,2,COMMENTED,neutral,COMMENTED,fchollet,yes,ConcurrencyPractitioner,,9235,10,95,0.050000
keras-team,keras,keras-team/keras,11689,https://github.com/keras-team/keras/pull/11689,Add DepthwiseConv2D to online docs,MERGED,2018-11-20T08:28:25Z,2018-11-23T04:51:59Z,2018-11-23T04:51:59Z,68.392778,359,1,1,0,1,2,0,2,1,2,APPROVED,positive,APPROVED,taehoonlee,yes,mkaze,2018-11-23T04:51:59Z,9235,10,95,0.050000
