owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
krahets,hello-algo,krahets/hello-algo,1869,https://github.com/krahets/hello-algo/pull/1869,Migrate to Zensical,MERGED,2026-03-28T21:41:16Z,2026-03-28T21:41:27Z,2026-03-28T21:41:27Z,0.003056,0,84,1302,445,1747,0,0,0,0,1,NO_REVIEW,no_review,,,no,krahets,2026-03-28T21:41:25Z,1260,10,95,0.050000
krahets,hello-algo,krahets/hello-algo,1572,https://github.com/krahets/hello-algo/pull/1572,Bug fixes and improvements,MERGED,2024-11-25T11:18:01Z,2024-11-25T11:21:13Z,2024-11-25T11:21:13Z,0.053333,944,65,414,140,554,0,0,0,0,1,NO_REVIEW,no_review,,,no,krahets,2024-11-25T11:21:12Z,1260,10,95,0.050000
krahets,hello-algo,krahets/hello-algo,1107,https://github.com/krahets/hello-algo/pull/1107,Fix toc for the webpage of the chapter of computational complexity,MERGED,2024-03-04T07:55:44Z,2024-04-10T14:37:46Z,2024-04-10T14:37:46Z,894.700556,84,4,24,24,48,2,0,2,1,2,APPROVED,positive,APPROVED,krahets,yes,nidhoggfgg,2024-03-23T13:04:14Z,1260,10,95,0.050000
krahets,hello-algo,krahets/hello-algo,1032,https://github.com/krahets/hello-algo/pull/1032,translation: Update chapter_array_and_linkedlist/list.md,MERGED,2024-01-08T10:49:56Z,2024-01-25T08:55:27Z,2024-01-25T08:55:27Z,406.091944,427,1,15,15,30,1,0,1,11,5,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED|COMMENTED|COMMENTED|APPROVED|APPROVED|APPROVED,QiLOL|SamJin98|QiLOL|K3v123|Phoenix0415|K3v123|Phoenix0415|SamJin98|Phoenix0415|K3v123|krahets,yes,SamJin98,2024-01-25T08:55:27Z,1260,10,95,0.050000
krahets,hello-algo,krahets/hello-algo,773,https://github.com/krahets/hello-algo/pull/773,feat: add unit test for linearSearchArray method,CLOSED,2023-09-20T12:29:53Z,2023-09-24T08:23:43Z,2023-09-24T08:23:43Z,91.897222,165,1,41,0,41,2,0,2,0,1,NO_REVIEW,no_review,,,no,ahnguyentran,,1260,10,95,0.050000
krahets,hello-algo,krahets/hello-algo,754,https://github.com/krahets/hello-algo/pull/754,"fix: raise error in peek() function of linkedlist_stack.py,  linkedlist_queue.py,  linkedlist_deque.py",MERGED,2023-09-13T09:03:28Z,2023-09-13T17:22:53Z,2023-09-13T17:22:53Z,8.323611,103,3,11,9,20,1,0,1,1,2,APPROVED,positive,APPROVED,krahets,yes,malone6,2023-09-13T17:22:53Z,1260,10,95,0.050000
krahets,hello-algo,krahets/hello-algo,508,https://github.com/krahets/hello-algo/pull/508,feat: Add the section of binary search edge.,MERGED,2023-05-21T11:03:17Z,2023-05-21T11:04:23Z,2023-05-21T11:04:23Z,0.018333,429,17,356,8,364,1,0,1,0,1,NO_REVIEW,no_review,,,no,krahets,2023-05-21T11:04:22Z,1260,10,95,0.050000
krahets,hello-algo,krahets/hello-algo,223,https://github.com/krahets/hello-algo/pull/223,feat: update Dockerfile to deploy,MERGED,2023-01-08T15:25:40Z,2023-01-18T18:29:15Z,2023-01-18T18:29:15Z,243.059722,464,3,45,0,45,4,0,4,13,2,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED,krahets|krahets|krahets|krahets|xiongsp|xiongsp|xiongsp|xiongsp|xiongsp|krahets|krahets|krahets|krahets,yes,xiongsp,2023-01-12T05:59:23Z,1260,10,95,0.050000
krahets,hello-algo,krahets/hello-algo,249,https://github.com/krahets/hello-algo/pull/249,"add zig codes for Section 'Hash Map', 'Binary Tree' and 'Linear Search' ",MERGED,2023-01-13T12:18:15Z,2023-01-16T18:11:46Z,2023-01-16T18:11:46Z,77.891944,389,11,278,7,285,4,0,4,1,2,APPROVED,positive,APPROVED,krahets,yes,coderonion,2023-01-14T11:55:22Z,1260,10,95,0.050000
krahets,hello-algo,krahets/hello-algo,115,https://github.com/krahets/hello-algo/pull/115,Add JS for chapter of computational complexity,CLOSED,2022-12-15T03:03:07Z,2022-12-15T15:27:22Z,2022-12-15T15:27:22Z,12.404167,0,2,59,2,61,1,0,1,0,1,NO_REVIEW,no_review,,,no,gyt95,,1260,10,95,0.050000
