owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
labmlai,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,298,https://github.com/labmlai/annotated_deep_learning_paper_implementations/pull/298,Fix docstring typo in nucleus sampling,CLOSED,2026-04-06T00:21:31Z,2026-04-14T02:36:04Z,2026-04-14T02:36:04Z,194.242500,571,1,2,2,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,Chessing234,,130,10,95,0.050000
labmlai,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,249,https://github.com/labmlai/annotated_deep_learning_paper_implementations/pull/249,fix dim error in rope,CLOSED,2024-03-23T23:39:46Z,2024-06-20T07:20:47Z,2024-06-20T07:20:47Z,2119.683611,263,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,chen-xin-94,,130,10,95,0.050000
labmlai,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,229,https://github.com/labmlai/annotated_deep_learning_paper_implementations/pull/229,feat: support unidiffuser model,CLOSED,2023-11-26T02:36:45Z,2023-11-26T02:37:00Z,2023-11-26T02:37:00Z,0.004167,0,71,516,10383,10899,0,0,0,0,1,NO_REVIEW,no_review,,,no,SKDDJ,,130,10,95,0.050000
labmlai,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,201,https://github.com/labmlai/annotated_deep_learning_paper_implementations/pull/201,Update experiment.py,CLOSED,2023-07-24T05:04:36Z,2023-10-24T13:25:49Z,2023-10-24T13:25:49Z,2216.353611,75,1,2,2,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,naveentnj,,130,10,95,0.050000
labmlai,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,164,https://github.com/labmlai/annotated_deep_learning_paper_implementations/pull/164,delete torch.nn.functional,MERGED,2023-01-16T13:56:30Z,2023-02-02T08:15:22Z,2023-02-02T08:15:22Z,402.314444,518,2,1,3,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,cjfghk5697,2023-02-02T08:15:21Z,130,10,95,0.050000
labmlai,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,142,https://github.com/labmlai/annotated_deep_learning_paper_implementations/pull/142,LLM.int8() for NeoX,MERGED,2022-08-19T09:57:22Z,2022-08-19T09:57:34Z,2022-08-19T09:57:34Z,0.003333,23,5,113,70,183,0,0,0,0,1,NO_REVIEW,no_review,,,no,vpj,2022-08-19T09:57:31Z,130,10,95,0.050000
labmlai,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,98,https://github.com/labmlai/annotated_deep_learning_paper_implementations/pull/98,Denoising Diffusion Probabilistic Models,MERGED,2021-10-07T10:37:30Z,2021-10-08T16:03:08Z,2021-10-08T16:03:08Z,29.427222,40,21,6123,0,6123,0,0,0,0,1,NO_REVIEW,no_review,,,no,vpj,2021-10-08T16:03:04Z,130,10,95,0.050000
labmlai,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,55,https://github.com/labmlai/annotated_deep_learning_paper_implementations/pull/55,AFT fix,MERGED,2021-06-04T12:08:40Z,2021-06-04T12:08:59Z,2021-06-04T12:08:59Z,0.005278,0,5,450,282,732,0,0,0,0,1,NO_REVIEW,no_review,,,no,vpj,2021-06-04T12:08:55Z,130,10,95,0.050000
labmlai,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,47,https://github.com/labmlai/annotated_deep_learning_paper_implementations/pull/47,Weight standardization,MERGED,2021-04-26T11:58:29Z,2021-04-28T05:14:55Z,2021-04-28T05:14:55Z,41.273889,13,12,1890,44,1934,0,0,0,0,1,NO_REVIEW,no_review,,,no,vpj,2021-04-28T05:14:50Z,130,10,95,0.050000
labmlai,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,37,https://github.com/labmlai/annotated_deep_learning_paper_implementations/pull/37,Added references for ray tune,MERGED,2021-04-09T08:40:39Z,2021-04-11T06:26:46Z,2021-04-11T06:26:46Z,45.768611,0,1,9,0,9,0,0,0,0,1,NO_REVIEW,no_review,,,no,sachdevkartik,2021-04-11T06:26:46Z,130,10,95,0.050000
