owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
langchain-ai,langchain,langchain-ai/langchain,37164,https://github.com/langchain-ai/langchain/pull/37164,"refactor(langchain-classic): retarget deprecations to `create_agent`, other chores",MERGED,2026-05-03T17:13:45Z,2026-05-03T17:17:11Z,2026-05-03T17:17:11Z,0.057222,2452,68,560,630,1190,1,0,1,0,1,NO_REVIEW,no_review,,,no,mdrxy,2026-05-03T17:15:59Z,18244,300,95,0.050000
langchain-ai,langchain,langchain-ai/langchain,37150,https://github.com/langchain-ai/langchain/pull/37150,docs(qdrant): missing await in qdrant example,CLOSED,2026-05-02T13:02:31Z,2026-05-02T13:02:59Z,2026-05-02T13:02:59Z,0.007778,84,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,jasiecky,,18244,300,95,0.050000
langchain-ai,langchain,langchain-ai/langchain,35433,https://github.com/langchain-ai/langchain/pull/35433,fix: Allow to pass to .invoke method {messages: list[AnyMessage},OPEN,2026-02-25T03:53:04Z,2026-04-30T18:23:38Z,2026-04-30T18:23:38Z,1550.509444,720,2,36,1,37,4,0,4,0,1,NO_REVIEW,no_review,,,no,T1mn,,18244,300,95,0.050000
langchain-ai,langchain,langchain-ai/langchain,35569,https://github.com/langchain-ai/langchain/pull/35569,fix(openai): catch LengthFinishReasonError in structured output calls,OPEN,2026-03-05T05:30:47Z,2026-04-30T18:23:37Z,2026-04-30T18:23:37Z,1356.880556,1811,2,85,0,85,2,0,2,0,1,NO_REVIEW,no_review,,,no,weiguangli-io,,18244,300,95,0.050000
langchain-ai,langchain,langchain-ai/langchain,35468,https://github.com/langchain-ai/langchain/pull/35468,Fix for First argument to super() is not enclosing class,OPEN,2026-02-27T23:42:51Z,2026-04-30T18:23:37Z,2026-04-30T18:23:37Z,1482.679444,2431,1,7,4,11,2,0,2,0,1,NO_REVIEW,no_review,,,no,jkennedyvz,,18244,300,95,0.050000
langchain-ai,langchain,langchain-ai/langchain,36604,https://github.com/langchain-ai/langchain/pull/36604,fix(langchain): prefer metadata `ls_provider` in SummarizationMiddleware token check,OPEN,2026-04-08T06:20:22Z,2026-04-30T18:23:36Z,2026-04-30T18:23:36Z,540.053889,867,2,56,1,57,0,0,0,5,3,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,ccurme|michaelnchin|torontodeveloper|torontodeveloper|torontodeveloper,yes,michaelnchin,,18244,300,95,0.050000
langchain-ai,langchain,langchain-ai/langchain,37027,https://github.com/langchain-ai/langchain/pull/37027,fix(core): convert empty list tool message content to empty string,CLOSED,2026-04-27T09:40:24Z,2026-04-27T09:40:49Z,2026-04-27T09:40:49Z,0.006944,1426,2,4,1,5,1,0,1,0,1,NO_REVIEW,no_review,,,no,7487,,18244,300,95,0.050000
langchain-ai,langchain,langchain-ai/langchain,36967,https://github.com/langchain-ai/langchain/pull/36967,Fix typo in Visitor._validate_func error message,CLOSED,2026-04-23T15:59:05Z,2026-04-23T15:59:35Z,2026-04-23T15:59:35Z,0.008333,350,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,Jah-yee,,18244,300,95,0.050000
langchain-ai,langchain,langchain-ai/langchain,36918,https://github.com/langchain-ai/langchain/pull/36918,chore: update PR template,MERGED,2026-04-21T16:07:10Z,2026-04-21T16:08:23Z,2026-04-21T16:08:23Z,0.020278,0,1,3,1,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,mdrxy,2026-04-21T16:08:20Z,18244,300,95,0.050000
langchain-ai,langchain,langchain-ai/langchain,36756,https://github.com/langchain-ai/langchain/pull/36756,fix(mistralai): add retry handling and enforce concurrency limits for API calls,CLOSED,2026-04-15T10:57:01Z,2026-04-15T10:59:56Z,2026-04-15T10:59:56Z,0.048611,137,4,166,12,178,1,0,1,1,2,COMMENTED,neutral,COMMENTED,copilot-pull-request-reviewer,yes,Rugvedrc,,18244,300,95,0.050000
langchain-ai,langchain,langchain-ai/langchain,36618,https://github.com/langchain-ai/langchain/pull/36618,Fix #36606: Remove PydanticSerializationUnexpectedValue warning for structured output,CLOSED,2026-04-08T19:59:05Z,2026-04-08T20:00:42Z,2026-04-08T20:00:42Z,0.026944,317,2,2,3,5,2,0,2,0,1,NO_REVIEW,no_review,,,no,MuraveyApp,,18244,300,95,0.050000
langchain-ai,langchain,langchain-ai/langchain,36419,https://github.com/langchain-ai/langchain/pull/36419,chore: bump ncipollo/release-action from 1.20.0 to 1.21.0 in the minor-and-patch group,MERGED,2026-04-01T08:10:08Z,2026-04-04T03:41:03Z,2026-04-04T03:41:03Z,67.515278,4437,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,dependabot,2026-04-04T03:41:01Z,18244,300,95,0.050000
