owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
langflow-ai,langflow,langflow-ai/langflow,12758,https://github.com/langflow-ai/langflow/pull/12758,fix(mcp): fail validate_flow when the build ends before all expected components complete,OPEN,2026-04-17T17:23:32Z,2026-05-05T15:05:03Z,2026-05-05T15:05:03Z,429.691944,1518,2,30,0,30,3,0,3,1,2,APPROVED,positive,APPROVED,Cristhianzl,yes,shaun0927,,8922,300,95,0.050000
langflow-ai,langflow,langflow-ai/langflow,12784,https://github.com/langflow-ai/langflow/pull/12784,feat(components): component index correctness + build caching,OPEN,2026-04-20T14:41:56Z,2026-05-04T21:08:50Z,2026-05-04T21:08:50Z,342.448333,1207,4,1382,58,1440,1,0,1,1,2,APPROVED,positive,APPROVED,jordanrfrazier,yes,ogabrielluiz,,8922,300,95,0.050000
langflow-ai,langflow,langflow-ai/langflow,4327,https://github.com/langflow-ai/langflow/pull/4327,feat: Add Ollama Image Description component,OPEN,2024-10-30T16:28:27Z,2026-05-01T20:59:23Z,2026-05-01T20:59:23Z,13156.515556,492,1,131,0,131,0,0,0,0,1,NO_REVIEW,no_review,,,no,bhatsanket,,8922,300,95,0.050000
langflow-ai,langflow,langflow-ai/langflow,4198,https://github.com/langflow-ai/langflow/pull/4198,feat: add support for DataStax Enterprise vector store,OPEN,2024-10-18T04:01:08Z,2026-05-01T20:59:23Z,2026-05-01T20:59:23Z,13456.970833,64,5,372,0,372,1,0,1,2,3,APPROVED,positive,CHANGES_REQUESTED|APPROVED,jordanrfrazier|NadirJ,yes,bradfordcp,,8922,300,95,0.050000
langflow-ai,langflow,langflow-ai/langflow,3867,https://github.com/langflow-ai/langflow/pull/3867,feat: Add KeyBertLinkExtractorComponent,OPEN,2024-09-20T14:34:20Z,2026-05-01T20:59:23Z,2026-05-01T20:59:23Z,14118.417500,197,1,50,0,50,4,0,4,0,1,NO_REVIEW,no_review,,,no,cbornet,,8922,300,95,0.050000
langflow-ai,langflow,langflow-ai/langflow,8630,https://github.com/langflow-ai/langflow/pull/8630,feat: add configurable nginx proxy read timeout,OPEN,2025-06-19T07:01:42Z,2026-05-01T20:59:20Z,2026-05-01T20:59:20Z,7597.960556,1333,2,6,2,8,1,0,1,1,2,COMMENTED,neutral,COMMENTED,coderabbitai,yes,hhhyunwoo,,8922,300,95,0.050000
langflow-ai,langflow,langflow-ai/langflow,8627,https://github.com/langflow-ai/langflow/pull/8627,feat(huggingface): implementation of langchain-huggingface package,OPEN,2025-06-18T22:06:28Z,2026-05-01T20:59:20Z,2026-05-01T20:59:20Z,7606.881111,743,5,5022,4937,9959,1,0,1,1,2,COMMENTED,neutral,COMMENTED,coderabbitai,yes,Miciox5,,8922,300,95,0.050000
langflow-ai,langflow,langflow-ai/langflow,8398,https://github.com/langflow-ai/langflow/pull/8398,feat: Add bulk selection in the header for selecting or deselecting all flows,OPEN,2025-06-06T15:23:11Z,2026-05-01T20:59:20Z,2026-05-01T20:59:20Z,7901.602500,719,3,99,21,120,3,0,3,1,2,COMMENTED,neutral,COMMENTED,coderabbitai,yes,iliakrupin,,8922,300,95,0.050000
langflow-ai,langflow,langflow-ai/langflow,10802,https://github.com/langflow-ai/langflow/pull/10802,"fix: Increase watsonx max_tokens limit to 100,000",OPEN,2025-12-01T10:22:23Z,2026-05-01T20:59:18Z,2026-05-01T20:59:18Z,3634.615278,698,6,50,18,68,1,0,1,1,2,COMMENTED,neutral,COMMENTED,coderabbitai,yes,mountln,,8922,300,95,0.050000
langflow-ai,langflow,langflow-ai/langflow,10543,https://github.com/langflow-ai/langflow/pull/10543,fix: ensure running edges re-render by using immutable edge updates,OPEN,2025-11-10T08:30:48Z,2026-05-01T20:59:18Z,2026-05-01T20:59:18Z,4140.475000,1068,1,10,10,20,1,0,1,1,2,COMMENTED,neutral,COMMENTED,coderabbitai,yes,ZhangTomLiang,,8922,300,95,0.050000
