owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
langgenius,dify,langgenius/dify,35665,https://github.com/langgenius/dify/pull/35665,fix: the /threads and /db-pool-stat endpoints in api... in...,OPEN,2026-04-29T02:31:00Z,2026-05-04T21:51:37Z,2026-05-04T21:51:37Z,139.343611,847,1,14,1,15,3,0,3,2,3,COMMENTED,neutral,COMMENTED|COMMENTED,fatelei|anupamme,yes,orbisai0security,,13464,300,95,0.050000
langgenius,dify,langgenius/dify,35782,https://github.com/langgenius/dify/pull/35782,chore(deps-dev): bump the dev group in /api with 6 updates,MERGED,2026-05-04T01:32:42Z,2026-05-04T14:31:59Z,2026-05-04T14:31:59Z,12.988056,3922,2,33,33,66,0,0,0,1,2,APPROVED,positive,APPROVED,asukaminato0721,yes,dependabot,2026-05-04T14:31:57Z,13464,300,95,0.050000
langgenius,dify,langgenius/dify,35763,https://github.com/langgenius/dify/pull/35763,fix: skip empty documents before vector embedding,MERGED,2026-05-01T20:37:40Z,2026-05-04T13:16:56Z,2026-05-04T13:16:56Z,64.654444,1810,3,92,0,92,1,0,1,2,2,APPROVED,positive,COMMENTED|APPROVED,fatelei|fatelei,yes,princepal9120,2026-05-04T13:16:55Z,13464,300,95,0.050000
langgenius,dify,langgenius/dify,31201,https://github.com/langgenius/dify/pull/31201,feat: add task type,OPEN,2026-01-19T03:20:00Z,2026-05-01T04:29:18Z,2026-05-01T04:29:18Z,2449.155000,731,1,3,0,3,2,0,2,2,3,COMMENTED,neutral,COMMENTED|COMMENTED,gemini-code-assist|copilot-pull-request-reviewer,yes,GareArc,,13464,300,95,0.050000
langgenius,dify,langgenius/dify,35569,https://github.com/langgenius/dify/pull/35569,chore(deps): bump uuid from 13.0.0 to 14.0.0,CLOSED,2026-04-25T20:21:34Z,2026-04-29T06:53:00Z,2026-04-29T06:53:00Z,82.523889,2911,2,7,7,14,1,0,1,1,2,APPROVED,positive,APPROVED,asukaminato0721,yes,dependabot,,13464,300,95,0.050000
langgenius,dify,langgenius/dify,35663,https://github.com/langgenius/dify/pull/35663,Improve automatic knowledge metadata filtering context,OPEN,2026-04-29T01:44:53Z,2026-04-29T02:39:54Z,2026-04-29T02:39:54Z,0.916944,391,3,124,23,147,2,0,2,1,2,COMMENTED,neutral,COMMENTED,copilot-pull-request-reviewer,yes,itsmejay80,,13464,300,95,0.050000
langgenius,dify,langgenius/dify,34541,https://github.com/langgenius/dify/pull/34541,fix: The content of the select dropdown box is being obscured when the dialog,CLOSED,2026-04-03T17:16:06Z,2026-04-29T02:37:36Z,2026-04-29T02:37:36Z,609.358333,31,1,7,4,11,1,0,1,0,1,NO_REVIEW,no_review,,,no,aayushbaluni,,13464,300,95,0.050000
langgenius,dify,langgenius/dify,35551,https://github.com/langgenius/dify/pull/35551,chore: upgrade graphon,CLOSED,2026-04-24T08:11:19Z,2026-04-27T10:15:41Z,2026-04-27T10:15:41Z,74.072778,735,72,477,317,794,8,0,8,0,1,NO_REVIEW,no_review,,,no,fatelei,,13464,300,95,0.050000
langgenius,dify,langgenius/dify,35461,https://github.com/langgenius/dify/pull/35461,fix: improve note node,MERGED,2026-04-21T08:33:37Z,2026-04-23T09:04:22Z,2026-04-23T09:04:22Z,48.512500,746,15,288,15,303,0,0,0,1,2,APPROVED,positive,APPROVED,lyzno1,yes,hjlarry,2026-04-23T09:04:22Z,13464,300,95,0.050000
langgenius,dify,langgenius/dify,35267,https://github.com/langgenius/dify/pull/35267,test(types): replace Account/Tenant status string literals with enum values,MERGED,2026-04-15T11:37:16Z,2026-04-16T00:44:40Z,2026-04-16T00:44:40Z,13.123333,1775,14,64,47,111,1,0,1,1,2,APPROVED,positive,APPROVED,asukaminato0721,yes,xr843,2026-04-15T16:03:51Z,13464,300,95,0.050000
