owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
localsend,localsend,localsend/localsend,2756,https://github.com/localsend/localsend/pull/2756,fix: android shared links not downloading files,MERGED,2025-10-12T18:10:17Z,2026-02-07T14:15:50Z,2026-02-07T14:15:50Z,2828.092500,119,1,11,6,17,1,0,1,0,1,NO_REVIEW,no_review,,,no,ShlomoCode,2025-10-17T12:38:55Z,859,10,95,0.050000
localsend,localsend,localsend/localsend,2022,https://github.com/localsend/localsend/pull/2022,fix: keep screen awake during large file transfers,MERGED,2024-11-07T21:08:03Z,2024-11-14T06:18:21Z,2024-11-14T06:18:21Z,153.171667,433,1,10,1,11,1,0,1,0,1,NO_REVIEW,no_review,,,no,anishkargaonkar,2024-11-09T00:16:56Z,859,10,95,0.050000
localsend,localsend,localsend/localsend,1991,https://github.com/localsend/localsend/pull/1991,i18n: update ja,MERGED,2024-11-03T07:00:48Z,2024-11-03T13:29:03Z,2024-11-03T13:29:03Z,6.470833,0,1,8,8,16,0,0,0,0,1,NO_REVIEW,no_review,,,no,soya-daizu,2024-11-03T13:29:03Z,859,10,95,0.050000
localsend,localsend,localsend/localsend,1988,https://github.com/localsend/localsend/pull/1988,feat: use rhttp,MERGED,2024-11-02T22:34:24Z,2024-11-02T23:33:26Z,2024-11-02T23:33:26Z,0.983889,83,17,210,33,243,0,0,0,0,1,NO_REVIEW,no_review,,,no,Tienisto,2024-11-02T23:33:22Z,859,10,95,0.050000
localsend,localsend,localsend/localsend,1948,https://github.com/localsend/localsend/pull/1948,Update _missing_translations_zh_TW.json,MERGED,2024-10-27T06:08:57Z,2024-10-27T17:26:35Z,2024-10-27T17:26:35Z,11.293889,0,1,9,9,18,0,0,0,0,1,NO_REVIEW,no_review,,,no,Neo1102,2024-10-27T17:26:35Z,859,10,95,0.050000
localsend,localsend,localsend/localsend,1847,https://github.com/localsend/localsend/pull/1847,update: missing fr i18n translations,MERGED,2024-10-01T08:21:57Z,2024-10-05T15:27:03Z,2024-10-05T15:27:03Z,103.085000,68,2,12,4,16,0,0,0,0,1,NO_REVIEW,no_review,,,no,louipa,2024-10-05T15:27:03Z,859,10,95,0.050000
localsend,localsend,localsend/localsend,1771,https://github.com/localsend/localsend/pull/1771,refactor: simplified `methodChannelInitialized` awaiting,MERGED,2024-09-10T15:39:58Z,2024-09-11T01:20:44Z,2024-09-11T01:20:44Z,9.679444,154,2,15,18,33,1,0,1,0,1,NO_REVIEW,no_review,,,no,ShlomoCode,2024-09-11T00:54:53Z,859,10,95,0.050000
localsend,localsend,localsend/localsend,1769,https://github.com/localsend/localsend/pull/1769,Update missing translations Serbian,MERGED,2024-09-10T08:49:27Z,2024-09-10T15:14:10Z,2024-09-10T15:14:10Z,6.411944,76,2,4,4,8,0,0,0,0,1,NO_REVIEW,no_review,,,no,nebojsatomic,2024-09-10T15:14:10Z,859,10,95,0.050000
localsend,localsend,localsend/localsend,1340,https://github.com/localsend/localsend/pull/1340,Update strings_it.i18n.json,MERGED,2024-05-16T22:36:28Z,2024-05-16T22:40:50Z,2024-05-16T22:40:50Z,0.072778,59,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,barbax7,2024-05-16T22:40:50Z,859,10,95,0.050000
localsend,localsend,localsend/localsend,1326,https://github.com/localsend/localsend/pull/1326,Update strings_zh-CN.i18n.json,MERGED,2024-05-11T02:27:21Z,2024-05-11T11:22:50Z,2024-05-11T11:22:50Z,8.924722,0,2,6,6,12,0,0,0,0,1,NO_REVIEW,no_review,,,no,nkh0472,2024-05-11T11:22:50Z,859,10,95,0.050000
