owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
localstack,localstack,localstack/localstack,13861,https://github.com/localstack/localstack/pull/13861,feat(stepfunctions): Add Parallel state support for StepFunctions TestState API,MERGED,2026-02-27T14:26:51Z,2026-03-04T10:41:19Z,2026-03-04T10:41:19Z,116.241111,334,21,781,57,838,4,0,4,2,2,COMMENTED,neutral,APPROVED|COMMENTED,gregfurman|tiurin,yes,tiurin,2026-03-04T10:41:16Z,1796,10,95,0.050000
localstack,localstack,localstack/localstack,12896,https://github.com/localstack/localstack/pull/12896,SSM: add dependency on secretsmanager used by GetParameter,MERGED,2025-07-23T08:05:42Z,2025-07-23T12:37:40Z,2025-07-23T12:37:40Z,4.532778,1308,1,2,0,2,0,0,0,1,2,APPROVED,positive,APPROVED,silv-io,yes,dmacvicar,2025-07-23T12:37:20Z,1796,10,95,0.050000
localstack,localstack,localstack/localstack,12799,https://github.com/localstack/localstack/pull/12799,Add In_WSL function to check whether the host runs on WSL,MERGED,2025-06-25T16:07:33Z,2025-06-26T14:39:08Z,2025-06-26T14:39:08Z,22.526389,1782,2,7,0,7,13,0,13,7,4,APPROVED,positive,COMMENTED|CHANGES_REQUESTED|COMMENTED|COMMENTED|COMMENTED|APPROVED|APPROVED,localstack-bot|thrau|alexrashed|paolosalvatori|paolosalvatori|alexrashed|thrau,yes,paolosalvatori,2025-06-26T14:38:58Z,1796,10,95,0.050000
localstack,localstack,localstack/localstack,12668,https://github.com/localstack/localstack/pull/12668,CloudFormation v2 Engine: Base Support for AWS::NoValue and Migration to Nothing Types,MERGED,2025-05-27T16:48:13Z,2025-06-02T13:24:05Z,2025-06-02T13:24:05Z,140.597778,686,12,240,283,523,5,0,5,1,2,APPROVED,positive,APPROVED,simonrw,yes,MEPalma,2025-06-02T13:24:02Z,1796,10,95,0.050000
localstack,localstack,localstack/localstack,12654,https://github.com/localstack/localstack/pull/12654,Include reserved_concurrent_executions in get_function response,MERGED,2025-05-22T08:10:41Z,2025-05-23T08:31:01Z,2025-05-23T08:31:01Z,24.338889,827,4,123,3,126,5,0,5,5,2,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED,dfangl|k-a-il|k-a-il|k-a-il|dfangl,yes,k-a-il,2025-05-23T08:30:59Z,1796,10,95,0.050000
localstack,localstack,localstack/localstack,12592,https://github.com/localstack/localstack/pull/12592,Fix provisioned concurrency set on Lambda alias,MERGED,2025-05-07T13:52:17Z,2025-05-07T15:05:09Z,2025-05-07T15:05:09Z,1.214444,428,4,103,0,103,0,0,0,5,3,COMMENTED,neutral,APPROVED|APPROVED|COMMENTED|COMMENTED|COMMENTED,joe4dev|gregfurman|dfangl|dfangl|dfangl,yes,dfangl,2025-05-07T15:05:08Z,1796,10,95,0.050000
localstack,localstack,localstack/localstack,12121,https://github.com/localstack/localstack/pull/12121,Add tests for KMS resource tagging and untagging,MERGED,2025-01-10T10:09:23Z,2025-01-20T16:22:54Z,2025-01-20T16:22:54Z,246.225278,288,3,211,41,252,3,0,3,5,3,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED,localstack-bot|bentsku|k-a-il|k-a-il|bentsku,yes,k-a-il,2025-01-20T16:22:43Z,1796,10,95,0.050000
localstack,localstack,localstack/localstack,12086,https://github.com/localstack/localstack/pull/12086,Improve error message for a missing parameter value - provide its name,MERGED,2025-01-02T10:38:26Z,2025-01-05T08:27:02Z,2025-01-05T08:27:02Z,69.810000,156,1,2,1,3,2,0,2,2,3,APPROVED,positive,APPROVED|APPROVED,pinzon|simonrw,yes,asomov,2025-01-04T12:39:07Z,1796,10,95,0.050000
localstack,localstack,localstack/localstack,11925,https://github.com/localstack/localstack/pull/11925,Remove custom spec for AWS StepFunctions,MERGED,2024-11-25T21:27:53Z,2024-11-26T16:52:17Z,2024-11-26T16:52:17Z,19.406667,529,1,0,4160,4160,1,0,1,2,3,APPROVED,positive,APPROVED|APPROVED,alexrashed|MEPalma,yes,dominikschubert,2024-11-26T16:52:14Z,1796,10,95,0.050000
localstack,localstack,localstack/localstack,11882,https://github.com/localstack/localstack/pull/11882,Fix comment typo,MERGED,2024-11-20T07:01:04Z,2024-11-20T07:33:23Z,2024-11-20T07:33:23Z,0.538611,42,1,1,1,2,3,0,3,2,3,APPROVED,positive,COMMENTED|APPROVED,localstack-bot|alexrashed,yes,kapsiR,2024-11-20T07:33:02Z,1796,10,95,0.050000
