owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
louislam,uptime-kuma,louislam/uptime-kuma,5487,https://github.com/louislam/uptime-kuma/pull/5487,2.1.X,MERGED,2024-12-31T15:00:33Z,2026-02-27T01:04:56Z,2026-02-27T01:04:56Z,10138.073056,0,8,289,21,310,0,0,0,0,1,NO_REVIEW,no_review,,,no,louislam,2025-10-20T14:10:01Z,2485,10,95,0.050000
louislam,uptime-kuma,louislam/uptime-kuma,6839,https://github.com/louislam/uptime-kuma/pull/6839,:sparkles: add okta sso integration,CLOSED,2026-01-29T22:12:28Z,2026-01-29T22:15:33Z,2026-01-29T22:15:33Z,0.051389,1243,13,804,14,818,1,0,1,1,2,COMMENTED,neutral,COMMENTED,copilot-pull-request-reviewer,yes,ofirshtrull,,2485,10,95,0.050000
louislam,uptime-kuma,louislam/uptime-kuma,6615,https://github.com/louislam/uptime-kuma/pull/6615,feat(status-page): add per-status-page language setting for anonymous visitors,CLOSED,2026-01-06T18:00:38Z,2026-01-25T02:31:15Z,2026-01-25T02:31:15Z,440.510278,1276,8,94,9,103,2,0,2,1,2,CHANGES_REQUESTED,negative,CHANGES_REQUESTED,CommanderStorm,yes,DanielDerefaka,,2485,10,95,0.050000
louislam,uptime-kuma,louislam/uptime-kuma,6610,https://github.com/louislam/uptime-kuma/pull/6610,feat(serwersms): add group messaging support,MERGED,2026-01-06T12:53:26Z,2026-01-11T04:13:22Z,2026-01-11T04:13:22Z,111.332222,2292,3,23,1,24,2,0,2,6,3,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED|COMMENTED,CommanderStorm|CommanderStorm|CommanderStorm|CommanderStorm|CommanderStorm|copilot-pull-request-reviewer,yes,MkDev11,2026-01-06T17:12:51Z,2485,10,95,0.050000
louislam,uptime-kuma,louislam/uptime-kuma,4325,https://github.com/louislam/uptime-kuma/pull/4325,respect users specified pgid/puid,CLOSED,2024-01-05T06:07:31Z,2026-01-11T04:11:47Z,2026-01-11T04:11:47Z,17686.071111,3060,2,14,2,16,7,0,7,0,1,NO_REVIEW,no_review,,,no,kn100,,2485,10,95,0.050000
louislam,uptime-kuma,louislam/uptime-kuma,6330,https://github.com/louislam/uptime-kuma/pull/6330,feat: Added option to clone a existing maintenance,MERGED,2025-11-09T23:45:46Z,2025-11-10T18:28:04Z,2025-11-10T18:28:04Z,18.705000,1971,4,36,7,43,0,0,0,4,2,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|APPROVED,CommanderStorm|teodormoq|CommanderStorm|CommanderStorm,yes,teodormoq,2025-11-10T18:22:14Z,2485,10,95,0.050000
louislam,uptime-kuma,louislam/uptime-kuma,5258,https://github.com/louislam/uptime-kuma/pull/5258,Fix: Docker Healthcheck is not happy during migration,MERGED,2024-10-27T04:59:26Z,2024-11-02T12:27:00Z,2024-11-02T12:27:00Z,151.459444,706,3,114,6,120,0,0,0,0,1,NO_REVIEW,no_review,,,no,louislam,2024-10-27T05:22:23Z,2485,10,95,0.050000
louislam,uptime-kuma,louislam/uptime-kuma,3174,https://github.com/louislam/uptime-kuma/pull/3174,Fix: Use safeBeat in push monitor,MERGED,2023-05-19T11:01:55Z,2023-07-18T06:11:52Z,2023-07-18T06:11:52Z,1435.165833,1320,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,chakflying,2023-07-13T15:14:28Z,2485,10,95,0.050000
louislam,uptime-kuma,louislam/uptime-kuma,1446,https://github.com/louislam/uptime-kuma/pull/1446, Add support for Pushdeer notifications,MERGED,2022-04-02T06:58:01Z,2022-04-14T06:34:30Z,2022-04-14T06:34:30Z,287.608056,556,5,76,0,76,0,0,0,2,2,APPROVED,positive,CHANGES_REQUESTED|APPROVED,Computroniks|Computroniks,yes,ngc7331,2022-04-14T06:34:30Z,2485,10,95,0.050000
louislam,uptime-kuma,louislam/uptime-kuma,231,https://github.com/louislam/uptime-kuma/pull/231,added K8s-Deployment and edited README,MERGED,2021-08-18T08:41:24Z,2021-08-20T18:00:34Z,2021-08-20T18:00:34Z,57.319444,157,8,152,1,153,11,0,11,12,3,COMMENTED,neutral,CHANGES_REQUESTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,srgvg|louislam|ClemontX|louislam|ClemontX|srgvg|ClemontX|ClemontX|louislam|ClemontX|louislam|ClemontX,yes,ClemontX,2021-08-20T18:00:33Z,2485,10,95,0.050000
