owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
lydiahallie,javascript-questions,lydiahallie/javascript-questions,803,https://github.com/lydiahallie/javascript-questions/pull/803,Question-44 more accurate explanation,OPEN,2024-09-21T18:40:16Z,2024-09-21T18:40:16Z,2024-09-21T18:40:16Z,0.000000,65,1,2,2,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,swkarimi,,544,10,95,0.050000
lydiahallie,javascript-questions,lydiahallie/javascript-questions,753,https://github.com/lydiahallie/javascript-questions/pull/753,Update incorrect answer about object prototypes,CLOSED,2023-09-23T21:41:31Z,2023-10-03T22:27:43Z,2023-10-03T22:27:43Z,240.770000,122,1,2,2,4,2,0,2,0,1,NO_REVIEW,no_review,,,no,jonatanramhoj,,544,10,95,0.050000
lydiahallie,javascript-questions,lydiahallie/javascript-questions,375,https://github.com/lydiahallie/javascript-questions/pull/375,remove a tag,CLOSED,2020-06-18T02:26:22Z,2020-10-02T07:29:26Z,2020-10-02T07:29:26Z,2549.051111,142,12,32,32,64,1,0,1,1,2,APPROVED,positive,APPROVED,jakeherp,yes,mantman-dev,,544,10,95,0.050000
lydiahallie,javascript-questions,lydiahallie/javascript-questions,435,https://github.com/lydiahallie/javascript-questions/pull/435,Update id-ID translation,MERGED,2020-10-01T11:42:35Z,2020-10-01T11:51:59Z,2020-10-01T11:51:59Z,0.156667,39,1,4,4,8,0,0,0,1,2,APPROVED,positive,APPROVED,jakeherp,yes,ibnusyawall,2020-10-01T11:51:59Z,544,10,95,0.050000
lydiahallie,javascript-questions,lydiahallie/javascript-questions,357,https://github.com/lydiahallie/javascript-questions/pull/357,TH-version,CLOSED,2020-05-19T18:07:03Z,2020-06-16T20:27:10Z,2020-06-16T20:27:10Z,674.335278,79,1,1600,339,1939,1,0,1,0,1,NO_REVIEW,no_review,,,no,kitravee,,544,10,95,0.050000
lydiahallie,javascript-questions,lydiahallie/javascript-questions,310,https://github.com/lydiahallie/javascript-questions/pull/310,translation of question 44 to brazilian portuguese,CLOSED,2020-01-14T02:16:35Z,2020-01-15T16:26:25Z,2020-01-15T16:26:25Z,38.163889,171,1,34,0,34,1,0,1,0,1,NO_REVIEW,no_review,,,no,emanoellucasml,,544,10,95,0.050000
lydiahallie,javascript-questions,lydiahallie/javascript-questions,311,https://github.com/lydiahallie/javascript-questions/pull/311,Translate next questions (102-145) into Vietnamese,MERGED,2020-01-14T03:20:23Z,2020-01-15T16:24:19Z,2020-01-15T16:24:19Z,37.065556,0,1,1517,0,1517,0,0,0,0,1,NO_REVIEW,no_review,,,no,dotrungkien,2020-01-15T16:24:19Z,544,10,95,0.050000
lydiahallie,javascript-questions,lydiahallie/javascript-questions,147,https://github.com/lydiahallie/javascript-questions/pull/147,add new questions no.55 ~ no.63 & translate to japanese,MERGED,2019-07-05T18:02:34Z,2019-07-07T18:42:36Z,2019-07-07T18:42:36Z,48.667222,0,1,307,1,308,0,0,0,1,2,APPROVED,positive,APPROVED,lydiahallie,yes,panicdragon,2019-07-07T18:42:36Z,544,10,95,0.050000
lydiahallie,javascript-questions,lydiahallie/javascript-questions,129,https://github.com/lydiahallie/javascript-questions/pull/129,Update README.md,MERGED,2019-06-30T14:32:03Z,2019-06-30T17:52:00Z,2019-06-30T17:52:00Z,3.332500,58,1,4,4,8,0,0,0,1,2,APPROVED,positive,APPROVED,lydiahallie,yes,gabrielsroka,2019-06-30T17:52:00Z,544,10,95,0.050000
lydiahallie,javascript-questions,lydiahallie/javascript-questions,128,https://github.com/lydiahallie/javascript-questions/pull/128,Added questions 55-63 and added new languages,MERGED,2019-06-30T10:19:23Z,2019-06-30T11:03:13Z,2019-06-30T11:03:13Z,0.730556,0,1,303,0,303,0,0,0,1,2,APPROVED,positive,APPROVED,lydiahallie,yes,jakeherp,2019-06-30T11:03:13Z,544,10,95,0.050000
