owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
mermaid-js,mermaid,mermaid-js/mermaid,7508,https://github.com/mermaid-js/mermaid/pull/7508,fix(stateDiagram): prevent end note detection inside text,MERGED,2026-03-19T18:47:18Z,2026-04-14T09:16:46Z,2026-04-14T09:16:46Z,614.491111,1082,3,46,1,47,9,0,9,2,3,APPROVED,positive,APPROVED|APPROVED,knsv-bot|knsv,yes,biiab,2026-04-14T09:16:17Z,3515,10,95,0.050000
mermaid-js,mermaid,mermaid-js/mermaid,7009,https://github.com/mermaid-js/mermaid/pull/7009,Bug/direction parsing,OPEN,2025-09-28T14:56:15Z,2026-04-02T10:46:59Z,2026-04-02T10:46:59Z,4459.845556,840,4,34,4,38,4,0,4,0,1,NO_REVIEW,no_review,,,no,jonathanpoelen,,3515,10,95,0.050000
mermaid-js,mermaid,mermaid-js/mermaid,6495,https://github.com/mermaid-js/mermaid/pull/6495,DOC: more complete gantt example ,MERGED,2025-04-17T10:39:52Z,2025-04-21T02:05:54Z,2025-04-21T02:05:54Z,87.433889,1388,4,198,2,200,10,0,10,7,2,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|CHANGES_REQUESTED|APPROVED,sidharthv96|sidharthv96|generrosity|generrosity|generrosity|sidharthv96|sidharthv96,yes,generrosity,2025-04-20T06:07:31Z,3515,10,95,0.050000
mermaid-js,mermaid,mermaid-js/mermaid,6227,https://github.com/mermaid-js/mermaid/pull/6227,Promo bar update,MERGED,2025-01-27T02:29:08Z,2025-01-27T06:55:51Z,2025-01-27T06:55:51Z,4.445278,667,1,1,1,2,3,0,3,0,1,NO_REVIEW,no_review,,,no,huynhicode,2025-01-27T06:55:42Z,3515,10,95,0.050000
mermaid-js,mermaid,mermaid-js/mermaid,5403,https://github.com/mermaid-js/mermaid/pull/5403,Feature/4060 gantt working hours,OPEN,2024-03-22T16:31:30Z,2024-12-23T20:29:20Z,2024-12-23T20:29:20Z,6627.963889,1131,29,10130,12296,22426,6,0,6,5,3,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,sidharthv96|robo1200|sidharthv96|robo1200|80avin,yes,robo1200,,3515,10,95,0.050000
mermaid-js,mermaid,mermaid-js/mermaid,5838,https://github.com/mermaid-js/mermaid/pull/5838,fix 5747 replace $root with relative paths,MERGED,2024-09-08T17:51:00Z,2024-09-09T12:12:23Z,2024-09-09T12:12:23Z,18.356389,917,50,287,309,596,6,0,6,1,2,APPROVED,positive,APPROVED,sidharthv96,yes,bollwyvl,2024-09-09T11:54:47Z,3515,10,95,0.050000
mermaid-js,mermaid,mermaid-js/mermaid,5236,https://github.com/mermaid-js/mermaid/pull/5236,fix: Dompurify Hooks,MERGED,2024-01-25T04:49:59Z,2024-01-27T15:34:38Z,2024-01-27T15:34:38Z,58.744167,584,1,24,9,33,2,0,2,0,1,NO_REVIEW,no_review,,,no,sidharthv96,2024-01-27T15:34:37Z,3515,10,95,0.050000
mermaid-js,mermaid,mermaid-js/mermaid,4933,https://github.com/mermaid-js/mermaid/pull/4933,fix: target blank removed from anchor tag,MERGED,2023-10-09T16:00:37Z,2023-11-09T08:52:37Z,2023-11-09T08:52:37Z,736.866667,406,3,47,1,48,21,0,21,6,3,APPROVED,positive,CHANGES_REQUESTED|COMMENTED|COMMENTED|APPROVED|APPROVED|APPROVED,sidharthv96|devbyharshit|sidharthv96|nirname|nirname|nirname,yes,devbyharshit,2023-11-09T08:52:34Z,3515,10,95,0.050000
mermaid-js,mermaid,mermaid-js/mermaid,3641,https://github.com/mermaid-js/mermaid/pull/3641,Remove extra arrow and adjust cross position,MERGED,2022-10-11T13:14:08Z,2022-11-18T09:38:57Z,2022-11-18T09:38:57Z,908.413611,302,1,5,15,20,4,0,4,1,2,APPROVED,positive,APPROVED,knsv,yes,ishuen,2022-11-18T09:38:57Z,3515,10,95,0.050000
mermaid-js,mermaid,mermaid-js/mermaid,2876,https://github.com/mermaid-js/mermaid/pull/2876,Switch to gender neutral terms,MERGED,2022-03-31T11:44:12Z,2022-04-01T16:16:50Z,2022-04-01T16:16:50Z,28.543889,409,1,2,2,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,inclusive-coding-bot,2022-03-31T19:00:21Z,3515,10,95,0.050000
