owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
microsoft,markitdown,microsoft/markitdown,1774,https://github.com/microsoft/markitdown/pull/1774,fix: correct YouTube capitalization in README,CLOSED,2026-04-14T17:41:01Z,2026-05-02T12:10:22Z,2026-05-02T12:10:22Z,426.489167,390,4,127,16,143,0,0,0,0,1,NO_REVIEW,no_review,,,no,Jah-yee,,566,10,95,0.050000
microsoft,markitdown,microsoft/markitdown,1840,https://github.com/microsoft/markitdown/pull/1840,Add simple web UI for MarkItDown,CLOSED,2026-04-27T20:04:51Z,2026-04-27T20:07:17Z,2026-04-27T20:07:17Z,0.040556,237,2,516,0,516,0,0,0,0,1,NO_REVIEW,no_review,,,no,NickN0w4k,,566,10,95,0.050000
microsoft,markitdown,microsoft/markitdown,1442,https://github.com/microsoft/markitdown/pull/1442,Improve output info to help user with Azure Document Intelligence,OPEN,2025-10-10T03:10:59Z,2025-11-03T23:42:27Z,2025-11-03T23:42:27Z,596.524444,892,1,20,8,28,1,0,1,0,1,NO_REVIEW,no_review,,,no,accelazh,,566,10,95,0.050000
microsoft,markitdown,microsoft/markitdown,1458,https://github.com/microsoft/markitdown/pull/1458,chore(dev): add local Docker test setup and tighten .dockerignore,OPEN,2025-10-26T12:13:28Z,2025-10-29T00:09:41Z,2025-10-29T00:09:41Z,59.936944,492,4,108,29,137,1,0,1,0,1,NO_REVIEW,no_review,,,no,BrunoAnalytics,,566,10,95,0.050000
microsoft,markitdown,microsoft/markitdown,1376,https://github.com/microsoft/markitdown/pull/1376,Extract raster images from pdf,CLOSED,2025-07-23T13:13:17Z,2025-07-23T13:14:23Z,2025-07-23T13:14:23Z,0.018333,171,9,376,0,376,1,0,1,0,1,NO_REVIEW,no_review,,,no,tsdicloud,,566,10,95,0.050000
microsoft,markitdown,microsoft/markitdown,1345,https://github.com/microsoft/markitdown/pull/1345,Fix: Preserve hard breaks and new lines in PPTX,OPEN,2025-07-17T02:02:30Z,2025-07-17T04:29:51Z,2025-07-17T04:29:51Z,2.455833,364,4,30,7,37,2,0,2,0,1,NO_REVIEW,no_review,,,no,claytomode,,566,10,95,0.050000
microsoft,markitdown,microsoft/markitdown,185,https://github.com/microsoft/markitdown/pull/185,feat(ci): set concurrency for test workflow,OPEN,2024-12-21T13:10:43Z,2025-04-01T04:27:49Z,2025-04-01T04:27:49Z,2415.285000,556,1,4,0,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,l-lumin,,566,10,95,0.050000
microsoft,markitdown,microsoft/markitdown,253,https://github.com/microsoft/markitdown/pull/253,refactor: split _markitdown.py into modular components,CLOSED,2025-01-03T11:59:25Z,2025-03-06T21:27:14Z,2025-03-06T21:27:14Z,1497.463611,1127,12,1564,1517,3081,2,0,2,0,1,NO_REVIEW,no_review,,,no,t3tra-dev,,566,10,95,0.050000
microsoft,markitdown,microsoft/markitdown,91,https://github.com/microsoft/markitdown/pull/91,Update README.md,MERGED,2024-12-17T09:29:13Z,2024-12-19T22:02:48Z,2024-12-19T22:02:48Z,60.559722,124,1,36,0,36,5,0,5,13,2,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,gagb|gagb|gagb|gagb|gagb|PetrAPConsulting|gagb|gagb|PetrAPConsulting|gagb|gagb|PetrAPConsulting|PetrAPConsulting,yes,PetrAPConsulting,2024-12-19T22:02:48Z,566,10,95,0.050000
microsoft,markitdown,microsoft/markitdown,156,https://github.com/microsoft/markitdown/pull/156,Added holiday notice.,MERGED,2024-12-19T19:12:50Z,2024-12-19T19:18:26Z,2024-12-19T19:18:26Z,0.093333,21,1,3,1,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,afourney,2024-12-19T19:18:24Z,566,10,95,0.050000
