owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
microsoft,vscode,microsoft/vscode,313379,https://github.com/microsoft/vscode/pull/313379,Detach rewriter: also wrap sync-mode commands ending in trailing &,MERGED,2026-04-29T23:42:01Z,2026-05-05T12:51:07Z,2026-05-05T12:51:07Z,133.151667,1611,1,15,2,17,8,0,8,2,3,APPROVED,positive,COMMENTED|APPROVED,copilot-pull-request-reviewer|roblourens,yes,meganrogge,2026-04-30T00:08:01Z,55131,300,95,0.050000
microsoft,vscode,microsoft/vscode,314116,https://github.com/microsoft/vscode/pull/314116,"Revert ""Execution Subagent Async Behaviour""",CLOSED,2026-05-04T14:53:00Z,2026-05-04T16:21:29Z,2026-05-04T16:21:29Z,1.474722,15,3,10,221,231,5,0,5,1,2,COMMENTED,neutral,COMMENTED,copilot-pull-request-reviewer,yes,meganrogge,,55131,300,95,0.050000
microsoft,vscode,microsoft/vscode,313924,https://github.com/microsoft/vscode/pull/313924,agentHost: use URI helpers for subagent sessions,MERGED,2026-05-03T03:37:12Z,2026-05-04T04:28:56Z,2026-05-04T04:28:56Z,24.862222,2064,14,600,101,701,1,0,1,2,3,APPROVED,positive,COMMENTED|APPROVED,copilot-pull-request-reviewer|DonJayamanne,yes,roblourens,2026-05-04T04:28:15Z,55131,300,95,0.050000
microsoft,vscode,microsoft/vscode,314013,https://github.com/microsoft/vscode/pull/314013,Update endgame notebook milestones to 1.120.0,MERGED,2026-05-04T02:58:45Z,2026-05-04T03:15:20Z,2026-05-04T03:15:20Z,0.276389,197,2,2,2,4,1,0,1,1,2,APPROVED,positive,APPROVED,deepak1556,yes,vs-code-engineering,2026-05-04T03:14:33Z,55131,300,95,0.050000
microsoft,vscode,microsoft/vscode,313822,https://github.com/microsoft/vscode/pull/313822,[cli] reduce info logs,MERGED,2026-05-01T23:44:39Z,2026-05-02T00:01:59Z,2026-05-02T00:01:59Z,0.288889,0,1,4,5,9,0,0,0,2,3,APPROVED,positive,COMMENTED|APPROVED,copilot-pull-request-reviewer|pwang347,yes,rebornix,2026-05-02T00:01:23Z,55131,300,95,0.050000
microsoft,vscode,microsoft/vscode,302573,https://github.com/microsoft/vscode/pull/302573,plugins: clear enablement state on marketplace plugin uninstall,MERGED,2026-03-17T21:37:02Z,2026-05-01T23:37:19Z,2026-05-01T23:37:19Z,1082.004722,353,6,11,2,13,0,0,0,3,4,APPROVED,positive,COMMENTED|DISMISSED|APPROVED,copilot-pull-request-reviewer|roblourens|Yoyokrazy,yes,connor4312,2026-03-17T22:59:52Z,55131,300,95,0.050000
microsoft,vscode,microsoft/vscode,300899,https://github.com/microsoft/vscode/pull/300899,Fix: comment typo in authIssuers proposal,MERGED,2026-03-11T19:52:45Z,2026-04-26T23:32:51Z,2026-04-26T23:32:51Z,1107.668333,301,1,2,2,4,0,0,0,3,4,APPROVED,positive,COMMENTED|APPROVED|APPROVED,copilot-pull-request-reviewer|TylerLeonhardt|vijayupadya,yes,12LuA,2026-03-12T04:17:16Z,55131,300,95,0.050000
microsoft,vscode,microsoft/vscode,300563,https://github.com/microsoft/vscode/pull/300563,"hide ""Ask for Edits"" affordance when AI features are disabled",MERGED,2026-03-10T21:36:16Z,2026-04-26T23:32:51Z,2026-04-26T23:32:51Z,1129.943056,373,1,2,1,3,1,0,1,2,3,APPROVED,positive,APPROVED|APPROVED,jrieken|alexr00,yes,lammmab,2026-03-11T11:17:17Z,55131,300,95,0.050000
microsoft,vscode,microsoft/vscode,300836,https://github.com/microsoft/vscode/pull/300836,Escape markdown syntax tokens in denial details for auto-approval rules,MERGED,2026-03-11T16:49:48Z,2026-04-25T23:32:16Z,2026-04-25T23:32:16Z,1086.707778,845,1,4,4,8,0,0,0,0,1,NO_REVIEW,no_review,,,no,copilot-swe-agent,2026-03-11T16:56:18Z,55131,300,95,0.050000
microsoft,vscode,microsoft/vscode,312246,https://github.com/microsoft/vscode/pull/312246,"agents: add ""Debug Local Agent Host Process In Dev Tools"" command",MERGED,2026-04-23T22:28:51Z,2026-04-23T23:32:17Z,2026-04-23T23:32:17Z,1.057222,2090,8,128,3,131,0,0,0,5,5,APPROVED,positive,COMMENTED|DISMISSED|COMMENTED|DISMISSED|APPROVED,copilot-pull-request-reviewer|zhichli|roblourens|connor4312|bryanchen-d,yes,roblourens,2026-04-23T23:29:34Z,55131,300,95,0.050000
