owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
modelcontextprotocol,servers,modelcontextprotocol/servers,3753,https://github.com/modelcontextprotocol/servers/pull/3753,fix: pin 8 unpinned action(s),OPEN,2026-03-30T04:07:45Z,2026-04-21T14:33:27Z,2026-04-21T14:33:27Z,538.428333,956,3,8,8,16,2,0,2,0,1,NO_REVIEW,no_review,,,no,dagecko,,2973,10,95,0.050000
modelcontextprotocol,servers,modelcontextprotocol/servers,3519,https://github.com/modelcontextprotocol/servers/pull/3519,add files,CLOSED,2026-03-11T07:18:33Z,2026-04-15T01:06:31Z,2026-04-15T01:06:31Z,833.799444,0,5,183,0,183,1,0,1,5,1,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,Jeverett3000|Jeverett3000|Jeverett3000|Jeverett3000|Jeverett3000,yes,Jeverett3000,,2973,10,95,0.050000
modelcontextprotocol,servers,modelcontextprotocol/servers,3759,https://github.com/modelcontextprotocol/servers/pull/3759,Add Signet - cryptographic action signing for MCP tool calls,CLOSED,2026-03-30T11:37:25Z,2026-04-14T15:23:28Z,2026-04-14T15:23:28Z,363.767500,738,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,willamhou,,2973,10,95,0.050000
modelcontextprotocol,servers,modelcontextprotocol/servers,3222,https://github.com/modelcontextprotocol/servers/pull/3222,fix(time): Fix `McpError` constructor usage in time server,MERGED,2026-01-17T15:49:16Z,2026-01-17T23:53:52Z,2026-01-17T23:53:52Z,8.076667,1321,3,645,185,830,0,0,0,1,2,APPROVED,positive,APPROVED,olaservo,yes,koic,2026-01-17T18:00:34Z,2973,10,95,0.050000
modelcontextprotocol,servers,modelcontextprotocol/servers,2765,https://github.com/modelcontextprotocol/servers/pull/2765,Add Commerce Layer to official integrations list,MERGED,2025-09-25T08:21:22Z,2025-10-07T14:48:51Z,2025-10-07T14:48:51Z,294.458056,58,1,1,0,1,0,0,0,1,2,APPROVED,positive,APPROVED,olaservo,yes,pviti,2025-10-07T14:48:50Z,2973,10,95,0.050000
modelcontextprotocol,servers,modelcontextprotocol/servers,2142,https://github.com/modelcontextprotocol/servers/pull/2142,Add Dymium GhostMCP server to the list in README.md,CLOSED,2025-06-17T23:09:43Z,2025-08-16T21:29:42Z,2025-08-16T21:29:42Z,1438.333056,473,1,1,0,1,1,0,1,1,2,CHANGES_REQUESTED,negative,CHANGES_REQUESTED,olaservo,yes,gazillion101,,2973,10,95,0.050000
modelcontextprotocol,servers,modelcontextprotocol/servers,1322,https://github.com/modelcontextprotocol/servers/pull/1322,Add Docs mcp,CLOSED,2025-04-08T19:48:08Z,2025-06-09T16:18:54Z,2025-06-09T16:18:54Z,1484.512778,798,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,da1z,,2973,10,95,0.050000
modelcontextprotocol,servers,modelcontextprotocol/servers,1641,https://github.com/modelcontextprotocol/servers/pull/1641,Add Official MCP for OpsLevel,MERGED,2025-05-01T13:03:46Z,2025-05-01T16:04:46Z,2025-05-01T16:04:46Z,3.016667,953,1,1,0,1,1,0,1,1,2,APPROVED,positive,APPROVED,tadasant,yes,opslevel-ops,2025-05-01T16:04:46Z,2973,10,95,0.050000
modelcontextprotocol,servers,modelcontextprotocol/servers,1540,https://github.com/modelcontextprotocol/servers/pull/1540,Add ability to fetch GitHub issue comments,CLOSED,2025-04-22T18:30:47Z,2025-04-22T19:41:17Z,2025-04-22T19:41:17Z,1.175000,794,2,45,0,45,0,0,0,0,1,NO_REVIEW,no_review,,,no,khaos-codi,,2973,10,95,0.050000
modelcontextprotocol,servers,modelcontextprotocol/servers,523,https://github.com/modelcontextprotocol/servers/pull/523,docs: added a Drupal server to the community list,MERGED,2025-01-15T11:46:55Z,2025-01-15T20:18:57Z,2025-01-15T20:18:57Z,8.533889,823,1,1,0,1,1,0,1,1,2,APPROVED,positive,APPROVED,dsp-ant,yes,GGKapanadze,2025-01-15T20:18:56Z,2973,10,95,0.050000
