owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
msitarzewski,agency-agents,msitarzewski/agency-agents,500,https://github.com/msitarzewski/agency-agents/pull/500,feat: add OpenClaw Monitor — AI monitoring dashboard for AI agents and LLMs,OPEN,2026-04-30T08:07:03Z,2026-05-05T20:26:09Z,2026-05-05T20:26:09Z,132.318333,267,1,2,0,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,flik2002,,320,10,95,0.050000
msitarzewski,agency-agents,msitarzewski/agency-agents,391,https://github.com/msitarzewski/agency-agents/pull/391,Add Grix egg publish automation,CLOSED,2026-04-04T17:03:42Z,2026-04-12T04:26:36Z,2026-04-12T04:26:36Z,179.381667,448,1106,60545,0,60545,1,0,1,0,1,NO_REVIEW,no_review,,,no,askie,,320,10,95,0.050000
msitarzewski,agency-agents,msitarzewski/agency-agents,243,https://github.com/msitarzewski/agency-agents/pull/243,fix: add academic/ and sales/ to lint-agents.sh and CI workflow,CLOSED,2026-03-17T09:03:39Z,2026-04-10T23:46:56Z,2026-04-10T23:46:56Z,590.721389,804,2,4,1,5,2,0,2,0,1,NO_REVIEW,no_review,,,no,Astro-Han,,320,10,95,0.050000
msitarzewski,agency-agents,msitarzewski/agency-agents,191,https://github.com/msitarzewski/agency-agents/pull/191,feat: Add Python helper scripts,CLOSED,2026-03-14T12:42:50Z,2026-03-29T07:53:38Z,2026-03-29T07:53:38Z,355.180000,1210,5,1427,2,1429,4,0,4,0,1,NO_REVIEW,no_review,,,no,KrystofS,,320,10,95,0.050000
msitarzewski,agency-agents,msitarzewski/agency-agents,190,https://github.com/msitarzewski/agency-agents/pull/190,feat: add PowerShell support for Windows,CLOSED,2026-03-14T10:15:28Z,2026-03-27T04:48:24Z,2026-03-27T04:48:24Z,306.548889,2266,4,822,9,831,3,0,3,0,1,NO_REVIEW,no_review,,,no,knoff,,320,10,95,0.050000
msitarzewski,agency-agents,msitarzewski/agency-agents,186,https://github.com/msitarzewski/agency-agents/pull/186,Fix convert.sh single-file output cross-contamination,MERGED,2026-03-14T01:40:35Z,2026-03-14T01:51:12Z,2026-03-14T01:51:12Z,0.176944,645,1,7,12,19,0,0,0,0,1,NO_REVIEW,no_review,,,no,msitarzewski,2026-03-14T01:51:12Z,320,10,95,0.050000
msitarzewski,agency-agents,msitarzewski/agency-agents,159,https://github.com/msitarzewski/agency-agents/pull/159,Fix OpenCode install/convert color compatibility,MERGED,2026-03-12T10:33:07Z,2026-03-12T12:48:52Z,2026-03-12T12:48:52Z,2.262500,741,2,46,28,74,0,0,0,0,1,NO_REVIEW,no_review,,,no,abu-matterize,2026-03-12T12:48:52Z,320,10,95,0.050000
msitarzewski,agency-agents,msitarzewski/agency-agents,69,https://github.com/msitarzewski/agency-agents/pull/69,Add Model QA Specialist - Specialized,MERGED,2026-03-09T07:51:29Z,2026-03-10T12:46:54Z,2026-03-10T12:46:54Z,28.923611,1577,1,486,0,486,0,0,0,0,1,NO_REVIEW,no_review,,,no,JosephChomboM,2026-03-10T12:46:54Z,320,10,95,0.050000
msitarzewski,agency-agents,msitarzewski/agency-agents,89,https://github.com/msitarzewski/agency-agents/pull/89,Add SEO Specialist - Marketing,MERGED,2026-03-10T10:14:06Z,2026-03-10T12:46:36Z,2026-03-10T12:46:36Z,2.541667,2006,1,277,0,277,0,0,0,0,1,NO_REVIEW,no_review,,,no,jcordon5,2026-03-10T12:46:36Z,320,10,95,0.050000
msitarzewski,agency-agents,msitarzewski/agency-agents,85,https://github.com/msitarzewski/agency-agents/pull/85,Add DRISK platform: risk scoring engine and dashboard integration (Tasks 11-14),CLOSED,2026-03-10T05:05:32Z,2026-03-10T05:06:25Z,2026-03-10T05:06:25Z,0.014722,0,64,8428,0,8428,0,0,0,0,1,NO_REVIEW,no_review,,,no,saomair,,320,10,95,0.050000
