owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
nektos,act,nektos/act,5942,https://github.com/nektos/act/pull/5942,feat: disable docker logs in quiet mode (#5939),OPEN,2025-09-27T01:36:18Z,2025-11-07T13:22:50Z,2025-11-07T13:22:50Z,995.775556,112,5,84,10,94,0,0,0,0,1,NO_REVIEW,no_review,,,no,ahzay,,1389,10,95,0.050000
nektos,act,nektos/act,2474,https://github.com/nektos/act/pull/2474,feat: improve new action cache logging,MERGED,2024-09-27T21:50:18Z,2024-10-10T03:08:08Z,2024-10-10T03:08:08Z,293.297222,1944,4,108,11,119,5,0,5,2,3,APPROVED,positive,APPROVED|APPROVED,Josegodi|wolfogre,yes,ChristopherHX,2024-10-10T03:07:55Z,1389,10,95,0.050000
nektos,act,nektos/act,2011,https://github.com/nektos/act/pull/2011,build(deps): bump github.com/go-git/go-git/v5 from 5.8.1 to 5.9.0,MERGED,2023-09-18T02:49:16Z,2023-09-18T03:47:29Z,2023-09-18T03:47:29Z,0.970278,2939,2,16,16,32,3,0,3,0,1,NO_REVIEW,no_review,,,no,dependabot,2023-09-18T03:47:27Z,1389,10,95,0.050000
nektos,act,nektos/act,1388,https://github.com/nektos/act/pull/1388,Fixes #1387,MERGED,2022-10-13T15:03:00Z,2022-10-18T22:27:29Z,2022-10-18T22:27:29Z,127.408056,102,2,12,1,13,5,0,5,3,4,APPROVED,positive,DISMISSED|DISMISSED|APPROVED,ChristopherHX|KnisterPeter|cplee,yes,zukwung,2022-10-18T22:27:28Z,1389,10,95,0.050000
nektos,act,nektos/act,1362,https://github.com/nektos/act/pull/1362,fix: align github.ref to GitHub Action,MERGED,2022-09-26T08:57:33Z,2022-09-26T22:49:20Z,2022-09-26T22:49:20Z,13.863056,216,4,52,7,59,3,0,3,3,4,APPROVED,positive,APPROVED|APPROVED|APPROVED,ZauberNerd|ChristopherHX|cplee,yes,KnisterPeter,2022-09-26T22:49:19Z,1389,10,95,0.050000
nektos,act,nektos/act,792,https://github.com/nektos/act/pull/792,WIP: expr parser parity,CLOSED,2021-08-30T11:15:39Z,2021-10-16T00:05:37Z,2021-10-16T00:05:37Z,1116.832778,458,2,247,53,300,3,0,3,0,1,NO_REVIEW,no_review,,,no,ChristopherHX,,1389,10,95,0.050000
nektos,act,nektos/act,601,https://github.com/nektos/act/pull/601,Go 1.16 is required since 5752a03dc,MERGED,2021-04-04T02:11:24Z,2021-04-04T14:48:26Z,2021-04-04T14:48:26Z,12.617222,0,1,1,1,2,2,0,2,2,3,APPROVED,positive,APPROVED|APPROVED,catthehacker|cplee,yes,mcsaucy,2021-04-04T02:34:13Z,1389,10,95,0.050000
nektos,act,nektos/act,293,https://github.com/nektos/act/pull/293,Support running commands in repositories without action.yaml,MERGED,2020-06-25T03:22:36Z,2021-03-30T19:28:25Z,2021-03-30T19:28:25Z,6688.096944,6589,16,96,23,119,12,0,12,12,3,APPROVED,positive,CHANGES_REQUESTED|COMMENTED|COMMENTED|COMMENTED|CHANGES_REQUESTED|COMMENTED|COMMENTED|DISMISSED|CHANGES_REQUESTED|COMMENTED|APPROVED|APPROVED,cplee|jsoref|jsoref|jsoref|cplee|jsoref|jsoref|cplee|catthehacker|jsoref|cplee|catthehacker,yes,jsoref,2021-03-30T19:26:25Z,1389,10,95,0.050000
nektos,act,nektos/act,567,https://github.com/nektos/act/pull/567,Use project dir instead of /github/workspace,MERGED,2021-03-15T21:37:56Z,2021-03-29T04:32:46Z,2021-03-29T04:32:46Z,318.913889,408,4,20,21,41,6,0,6,1,2,APPROVED,positive,APPROVED,cplee,yes,rockandska,2021-03-29T04:32:46Z,1389,10,95,0.050000
nektos,act,nektos/act,505,https://github.com/nektos/act/pull/505,Fix readme,CLOSED,2021-01-27T14:13:46Z,2021-01-27T21:50:59Z,2021-01-27T21:50:59Z,7.620278,161,1,1,1,2,4,0,4,0,1,NO_REVIEW,no_review,,,no,Rasukarusan,,1389,10,95,0.050000
