owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
nestjs,nest,nestjs/nest,15634,https://github.com/nestjs/nest/pull/15634,chore(deps): update typescript-eslint monorepo to v8.44.0,MERGED,2025-09-16T10:21:57Z,2025-09-16T13:49:41Z,2025-09-16T13:49:41Z,3.462222,1798,36,38,38,76,1,0,1,0,1,NO_REVIEW,no_review,,,no,renovate,2025-09-16T13:40:17Z,10656,10,95,0.050000
nestjs,nest,nestjs/nest,15254,https://github.com/nestjs/nest/pull/15254,chore(deps-dev): bump redis from 5.5.5 to 5.5.6,MERGED,2025-06-09T00:59:48Z,2025-06-10T06:59:32Z,2025-06-10T06:59:32Z,29.995556,2650,1,71,36,107,1,0,1,0,1,NO_REVIEW,no_review,,,no,dependabot,2025-06-10T06:59:24Z,10656,10,95,0.050000
nestjs,nest,nestjs/nest,11645,https://github.com/nestjs/nest/pull/11645,chore(deps-dev): bump graphql-tools from 8.3.20 to 9.0.0,MERGED,2023-05-22T01:10:02Z,2023-05-22T06:51:05Z,2023-05-22T06:51:05Z,5.684167,2520,2,34,24,58,1,0,1,0,1,NO_REVIEW,no_review,,,no,dependabot,2023-05-22T06:50:59Z,10656,10,95,0.050000
nestjs,nest,nestjs/nest,11462,https://github.com/nestjs/nest/pull/11462,feat(websockets): global guards are called in websocket too,CLOSED,2023-04-13T05:48:20Z,2023-04-13T07:45:27Z,2023-04-13T07:45:27Z,1.951944,843,5,106,3,109,3,0,3,0,1,NO_REVIEW,no_review,,,no,Maligosus,,10656,10,95,0.050000
nestjs,nest,nestjs/nest,8237,https://github.com/nestjs/nest/pull/8237,chore(deps): update dependency fastify-static to v4.2.4 [security],MERGED,2021-10-05T21:27:39Z,2021-10-06T07:17:01Z,2021-10-06T07:17:01Z,9.822778,2616,2,7,7,14,1,0,1,0,1,NO_REVIEW,no_review,,,no,renovate,2021-10-06T07:16:57Z,10656,10,95,0.050000
nestjs,nest,nestjs/nest,8146,https://github.com/nestjs/nest/pull/8146,chore(deps): update dependency @types/node to v14.17.19,MERGED,2021-09-27T11:40:26Z,2021-09-29T07:38:50Z,2021-09-29T07:38:50Z,43.973333,515,54,108,108,216,1,0,1,0,1,NO_REVIEW,no_review,,,no,renovate,2021-09-29T07:38:48Z,10656,10,95,0.050000
nestjs,nest,nestjs/nest,7927,https://github.com/nestjs/nest/pull/7927,chore(deps): update dependency @types/bull to v3.15.4,MERGED,2021-08-23T21:17:31Z,2021-08-24T06:31:15Z,2021-08-24T06:31:15Z,9.228889,511,4,14,14,28,1,0,1,0,1,NO_REVIEW,no_review,,,no,renovate,2021-08-24T06:31:12Z,10656,10,95,0.050000
nestjs,nest,nestjs/nest,7860,https://github.com/nestjs/nest/pull/7860,fix(deps): update dependency @nestjs/mongoose to v8.0.1,MERGED,2021-08-16T07:51:16Z,2021-08-17T11:37:55Z,2021-08-17T11:37:55Z,27.777500,3522,3,5,5,10,1,0,1,0,1,NO_REVIEW,no_review,,,no,renovate,2021-08-17T11:37:49Z,10656,10,95,0.050000
nestjs,nest,nestjs/nest,6731,https://github.com/nestjs/nest/pull/6731,Adapted NatsOptions to original ClientOpts,CLOSED,2021-03-22T18:28:05Z,2021-07-27T08:48:47Z,2021-07-27T08:48:47Z,3038.345000,412,1,24,25,49,1,0,1,1,2,APPROVED,positive,APPROVED,micalevisk,yes,MickL,,10656,10,95,0.050000
nestjs,nest,nestjs/nest,6214,https://github.com/nestjs/nest/pull/6214,fix(deps): update dependency @nestjs/graphql to v7.9.6,MERGED,2021-01-21T14:25:06Z,2021-01-22T08:51:21Z,2021-01-22T08:51:21Z,18.437500,1451,6,197,149,346,1,0,1,0,1,NO_REVIEW,no_review,,,no,renovate,2021-01-22T08:51:17Z,10656,10,95,0.050000
