owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
nextlevelbuilder,ui-ux-pro-max-skill,nextlevelbuilder/ui-ux-pro-max-skill,269,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill/pull/269,Add data analyst agent setup and session runner scripts,OPEN,2026-04-18T19:37:44Z,2026-04-18T19:37:44Z,2026-04-18T19:37:44Z,0.000000,1789,2,258,0,258,0,0,0,0,1,NO_REVIEW,no_review,,,no,MelodyBorg,,168,10,95,0.050000
nextlevelbuilder,ui-ux-pro-max-skill,nextlevelbuilder/ui-ux-pro-max-skill,241,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill/pull/241,feat(copilot): add VS Code Copilot skill compatibility and docs,OPEN,2026-04-14T10:09:50Z,2026-04-14T10:09:50Z,2026-04-14T10:09:50Z,0.000000,278,189,22246,0,22246,0,0,0,0,1,NO_REVIEW,no_review,,,no,hatimbenayad,,168,10,95,0.050000
nextlevelbuilder,ui-ux-pro-max-skill,nextlevelbuilder/ui-ux-pro-max-skill,236,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill/pull/236,"Update UI/UX Pro Max skill: expand stacks, localize docs, refine icons",OPEN,2026-04-10T15:40:52Z,2026-04-10T15:40:52Z,2026-04-10T15:40:52Z,0.000000,1634,1,39,39,78,0,0,0,0,1,NO_REVIEW,no_review,,,no,ina654321,,168,10,95,0.050000
nextlevelbuilder,ui-ux-pro-max-skill,nextlevelbuilder/ui-ux-pro-max-skill,231,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill/pull/231,fix: add parameterized queries in sync-brand-to-tokens.cjs...,OPEN,2026-04-10T05:01:56Z,2026-04-10T05:01:56Z,2026-04-10T05:01:56Z,0.000000,679,1,52,36,88,0,0,0,0,1,NO_REVIEW,no_review,,,no,orbisai0security,,168,10,95,0.050000
nextlevelbuilder,ui-ux-pro-max-skill,nextlevelbuilder/ui-ux-pro-max-skill,184,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill/pull/184,Improve design system output visuals,MERGED,2026-03-15T10:10:44Z,2026-04-03T05:08:20Z,2026-04-03T05:08:20Z,450.960000,1034,4,310,142,452,4,0,4,1,2,COMMENTED,neutral,COMMENTED,amyragan3297,yes,Jenser77,2026-04-03T05:08:19Z,168,10,95,0.050000
nextlevelbuilder,ui-ux-pro-max-skill,nextlevelbuilder/ui-ux-pro-max-skill,162,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill/pull/162,feat:添加测试文件test.py,OPEN,2026-02-25T04:04:58Z,2026-03-24T10:31:48Z,2026-03-24T10:31:48Z,654.447222,19,1,8,0,8,3,0,3,1,2,CHANGES_REQUESTED,negative,CHANGES_REQUESTED,iamteamstar,yes,devwaf,,168,10,95,0.050000
nextlevelbuilder,ui-ux-pro-max-skill,nextlevelbuilder/ui-ux-pro-max-skill,192,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill/pull/192,fix(cli): add 'droid' to valid AI types,OPEN,2026-03-19T17:05:35Z,2026-03-24T10:24:22Z,2026-03-24T10:24:22Z,113.313056,1375,1,2,1,3,2,0,2,1,2,APPROVED,positive,APPROVED,accesspath27-lgtm,yes,tonymfer,,168,10,95,0.050000
nextlevelbuilder,ui-ux-pro-max-skill,nextlevelbuilder/ui-ux-pro-max-skill,121,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill/pull/121,feat: add Qoder support again,CLOSED,2026-01-24T10:36:42Z,2026-01-26T02:03:16Z,2026-01-26T02:03:16Z,39.442778,50,1,386,0,386,0,0,0,1,2,APPROVED,positive,APPROVED,morthiam09,yes,ichichchch,,168,10,95,0.050000
nextlevelbuilder,ui-ux-pro-max-skill,nextlevelbuilder/ui-ux-pro-max-skill,90,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill/pull/90,feat: update CLI v2.0.0 with advanced customization features,CLOSED,2026-01-16T21:49:15Z,2026-01-19T13:24:56Z,2026-01-19T13:24:56Z,63.594722,584,125,25252,2536,27788,0,0,0,0,1,NO_REVIEW,no_review,,,no,GQAdonis,,168,10,95,0.050000
nextlevelbuilder,ui-ux-pro-max-skill,nextlevelbuilder/ui-ux-pro-max-skill,59,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill/pull/59,feat: add shadcn/ui stack with 60 best practices,MERGED,2026-01-10T08:17:15Z,2026-01-11T02:59:11Z,2026-01-11T02:59:11Z,18.698889,137,33,363,33,396,0,0,0,1,2,APPROVED,positive,APPROVED,viettranx,yes,Ray0907,2026-01-11T02:59:11Z,168,10,95,0.050000
