owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
nomic-ai,gpt4all,nomic-ai/gpt4all,3296,https://github.com/nomic-ai/gpt4all/pull/3296,chat: release version 3.5.2,MERGED,2024-12-13T23:53:09Z,2025-02-10T16:44:37Z,2025-02-10T16:44:37Z,1408.857778,53,2,7,0,7,0,0,0,1,2,APPROVED,positive,APPROVED,manyoso,yes,cebtenzzre,2024-12-14T00:23:13Z,1194,10,95,0.050000
nomic-ai,gpt4all,nomic-ai/gpt4all,3215,https://github.com/nomic-ai/gpt4all/pull/3215,Fixups for Jinja PR,MERGED,2024-12-02T20:27:25Z,2025-02-10T16:44:20Z,2025-02-10T16:44:20Z,1676.281944,71,10,31,23,54,1,0,1,1,2,APPROVED,positive,APPROVED,manyoso,yes,cebtenzzre,2024-12-04T00:36:53Z,1194,10,95,0.050000
nomic-ai,gpt4all,nomic-ai/gpt4all,815,https://github.com/nomic-ai/gpt4all/pull/815,Fixed model type for GPT-J,MERGED,2023-06-02T18:41:52Z,2025-02-10T16:40:43Z,2025-02-10T16:40:43Z,14853.980833,0,1,1,1,2,0,0,0,1,2,APPROVED,positive,APPROVED,apage43,yes,niansa,2023-06-02T19:46:33Z,1194,10,95,0.050000
nomic-ai,gpt4all,nomic-ai/gpt4all,2555,https://github.com/nomic-ai/gpt4all/pull/2555,Fix scrolling of the chat view at expense of some more memory usage.,MERGED,2024-07-04T15:59:39Z,2025-02-10T16:39:24Z,2025-02-10T16:39:24Z,5304.662500,276,1,1,0,1,0,0,0,3,3,APPROVED,positive,COMMENTED|COMMENTED|APPROVED,ellipsis-dev|ellipsis-dev|apage43,yes,manyoso,2024-07-08T16:26:44Z,1194,10,95,0.050000
nomic-ai,gpt4all,nomic-ai/gpt4all,3104,https://github.com/nomic-ai/gpt4all/pull/3104,chat: release v3.4.2,MERGED,2024-10-16T17:49:51Z,2024-10-16T18:19:13Z,2024-10-16T18:19:13Z,0.489444,114,2,8,1,9,0,0,0,1,2,APPROVED,positive,APPROVED,manyoso,yes,cebtenzzre,2024-10-16T18:19:11Z,1194,10,95,0.050000
nomic-ai,gpt4all,nomic-ai/gpt4all,2904,https://github.com/nomic-ai/gpt4all/pull/2904,qml: dynamic min window size and smaller default size,MERGED,2024-08-21T18:40:57Z,2024-08-28T16:49:45Z,2024-08-28T16:49:45Z,166.146667,939,3,13,10,23,8,0,8,1,2,APPROVED,positive,APPROVED,manyoso,yes,cebtenzzre,2024-08-28T16:49:43Z,1194,10,95,0.050000
nomic-ai,gpt4all,nomic-ai/gpt4all,2666,https://github.com/nomic-ai/gpt4all/pull/2666,Created gpt4all_it.ts Italian language localization file,CLOSED,2024-07-13T23:34:46Z,2024-07-19T20:36:03Z,2024-07-19T20:36:03Z,141.021389,896,1,2747,0,2747,1,0,1,0,1,NO_REVIEW,no_review,,,no,Harvester62,,1194,10,95,0.050000
nomic-ai,gpt4all,nomic-ai/gpt4all,1753,https://github.com/nomic-ai/gpt4all/pull/1753,"feat: added model Hermes ""(Medium)"" to models2.json",CLOSED,2023-12-15T00:41:19Z,2024-03-06T22:47:55Z,2024-03-06T22:47:55Z,1990.110000,955,1,16,1,17,1,0,1,0,1,NO_REVIEW,no_review,,,no,activescott,,1194,10,95,0.050000
nomic-ai,gpt4all,nomic-ai/gpt4all,1118,https://github.com/nomic-ai/gpt4all/pull/1118,Enable Wayland support only to Linux Build,MERGED,2023-07-01T12:15:06Z,2023-07-06T16:50:05Z,2023-07-06T16:50:05Z,124.583056,338,2,13,4,17,0,0,0,0,1,NO_REVIEW,no_review,,,no,qnixsynapse,2023-07-06T16:50:05Z,1194,10,95,0.050000
nomic-ai,gpt4all,nomic-ai/gpt4all,720,https://github.com/nomic-ai/gpt4all/pull/720,Refactor python bindings,MERGED,2023-05-25T15:58:00Z,2023-05-26T18:20:25Z,2023-05-26T18:20:25Z,26.373611,672,2,84,75,159,5,0,5,7,4,COMMENTED,neutral,COMMENTED|COMMENTED|APPROVED|APPROVED|COMMENTED|COMMENTED|COMMENTED,rguo123|rguo123|rguo123|AndriyMulyar|cosmic-snow|gukoff|gukoff,yes,gukoff,2023-05-26T13:24:04Z,1194,10,95,0.050000
