owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
nvm-sh,nvm,nvm-sh/nvm,3145,https://github.com/nvm-sh/nvm/pull/3145,[Fix] `nvm_strip_path`: Preserve leading/trailing colons,MERGED,2023-07-07T12:35:29Z,2023-09-22T18:17:38Z,2023-09-22T18:17:38Z,1853.702500,53,2,8,1,9,4,0,4,2,2,APPROVED,positive,COMMENTED|APPROVED,ljharb|ljharb,yes,oliverhenshaw,2023-08-22T03:54:36Z,1204,10,95,0.050000
nvm-sh,nvm,nvm-sh/nvm,2400,https://github.com/nvm-sh/nvm/pull/2400,[readme] add install error tips,MERGED,2021-01-07T02:53:03Z,2021-02-15T19:08:34Z,2021-02-15T19:08:34Z,952.258611,0,1,2,0,2,0,0,0,5,2,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED,ljharb|shiyutim|ljharb|shiyutim|ljharb,yes,shiyutim,2021-02-15T19:08:34Z,1204,10,95,0.050000
nvm-sh,nvm,nvm-sh/nvm,1438,https://github.com/nvm-sh/nvm/pull/1438,Use awk's comparison to save a pipe to grep,MERGED,2017-03-19T20:51:00Z,2017-03-22T12:36:16Z,2017-03-22T12:36:16Z,63.754444,0,1,1,3,4,2,0,2,1,2,APPROVED,positive,APPROVED,ljharb,yes,PeterDaveHello,2017-03-22T06:29:36Z,1204,10,95,0.050000
nvm-sh,nvm,nvm-sh/nvm,1376,https://github.com/nvm-sh/nvm/pull/1376,"clarifying that verifying nvm is installed, you need to type in a new…",CLOSED,2017-01-02T13:01:19Z,2017-01-02T22:22:38Z,2017-01-02T22:22:38Z,9.355278,8,1,1,1,2,0,0,0,3,2,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED,ljharb|waiholiu|ljharb,yes,waiholiu,,1204,10,95,0.050000
nvm-sh,nvm,nvm-sh/nvm,908,https://github.com/nvm-sh/nvm/pull/908,Add another Windows alternative.,MERGED,2015-11-19T03:19:15Z,2015-12-05T07:35:39Z,2015-12-05T07:35:39Z,388.273333,119,1,2,1,3,0,0,0,0,1,NO_REVIEW,no_review,,,no,nullivex,2015-12-05T07:35:30Z,1204,10,95,0.050000
nvm-sh,nvm,nvm-sh/nvm,597,https://github.com/nvm-sh/nvm/pull/597,Fix which to use conventional direct path to program,MERGED,2014-12-19T18:42:51Z,2014-12-19T21:05:39Z,2014-12-19T21:05:39Z,2.380000,63,2,5,4,9,2,0,2,0,1,NO_REVIEW,no_review,,,no,danielb2,2014-12-19T21:05:39Z,1204,10,95,0.050000
nvm-sh,nvm,nvm-sh/nvm,33,https://github.com/nvm-sh/nvm/pull/33,fix for issue #32,CLOSED,2011-05-03T09:18:06Z,2014-07-08T03:44:14Z,2014-07-08T03:44:14Z,27882.435556,0,1,6,6,12,1,0,1,0,1,NO_REVIEW,no_review,,,no,AlexanderS,,1204,10,95,0.050000
nvm-sh,nvm,nvm-sh/nvm,188,https://github.com/nvm-sh/nvm/pull/188,add two method: show stable or latest version.,CLOSED,2013-01-09T09:35:43Z,2014-06-13T01:13:12Z,2014-06-13T01:13:12Z,12471.624722,45,1,66,15,81,2,0,2,0,1,NO_REVIEW,no_review,,,no,appleboy,,1204,10,95,0.050000
nvm-sh,nvm,nvm-sh/nvm,263,https://github.com/nvm-sh/nvm/pull/263,Allow specifying binary and source tarballs on command line,CLOSED,2013-07-06T01:27:10Z,2014-02-16T05:15:38Z,2014-02-16T05:15:38Z,5403.807778,454,1,55,16,71,1,0,1,0,1,NO_REVIEW,no_review,,,no,jwalton,,1204,10,95,0.050000
nvm-sh,nvm,nvm-sh/nvm,149,https://github.com/nvm-sh/nvm/pull/149,Made string comparison also compatible for zsh,MERGED,2012-10-09T11:38:27Z,2012-10-09T15:11:55Z,2012-10-09T15:11:55Z,3.557778,73,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,koenpunt,2012-10-09T15:11:55Z,1204,10,95,0.050000
