owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
obra,superpowers,obra/superpowers,1455,https://github.com/obra/superpowers/pull/1455,Superpowers,open,2026-05-02T01:28:12Z,2026-05-02T01:28:12Z,2026-05-02T01:28:12Z,0.000000,5241,26,4575,0,4575,0,0,0,0,1,NO_REVIEW,no_review,,,no,big-main,,675,246,95,0.050000
obra,superpowers,obra/superpowers,673,https://github.com/obra/superpowers/pull/673,Add requesting-human-help skill for structured human-in-the-loop collaboration,closed,2026-03-10T12:31:23Z,2026-05-01T05:50:08Z,2026-05-01T05:50:08Z,1241.312500,464,1,124,0,124,1,2,3,0,1,NO_REVIEW,no_review,COMMENTED|COMMENTED,,no,pratyush618,,675,246,95,0.050000
obra,superpowers,obra/superpowers,1443,https://github.com/obra/superpowers/pull/1443,[codex] update receiving code review git handling,open,2026-04-30T05:24:00Z,2026-04-30T21:07:52Z,2026-04-30T21:07:52Z,15.731111,714,1,15,4,19,1,0,1,0,1,NO_REVIEW,no_review,,,no,JUNERDD,,675,246,95,0.050000
obra,superpowers,obra/superpowers,1438,https://github.com/obra/superpowers/pull/1438,Add native OpenClaw plugin support,open,2026-04-28T23:57:10Z,2026-04-28T23:58:26Z,2026-04-28T23:58:26Z,0.021111,3587,7,207,1,208,0,0,0,0,1,NO_REVIEW,no_review,,,no,arittr,,675,246,95,0.050000
obra,superpowers,obra/superpowers,1288,https://github.com/obra/superpowers/pull/1288,[codex] docs: update Codex plugin install guidance,closed,2026-04-27T20:59:13Z,2026-04-28T23:10:16Z,2026-04-28T23:10:16Z,26.184167,7349,3,5,197,202,1,0,1,0,1,NO_REVIEW,no_review,,,no,arittr,2026-04-28T23:10:16Z,675,246,95,0.050000
obra,superpowers,obra/superpowers,1292,https://github.com/obra/superpowers/pull/1292,docs: add Antigravity install instructions,closed,2026-04-27T23:23:28Z,2026-04-28T23:04:35Z,2026-04-28T23:04:35Z,23.685278,4855,1,12,0,12,0,0,0,0,1,NO_REVIEW,no_review,,,no,arittr,,675,246,95,0.050000
obra,superpowers,obra/superpowers,1054,https://github.com/obra/superpowers/pull/1054,Fix SessionStart hook execution on Windows,closed,2026-04-04T13:07:25Z,2026-04-28T18:22:00Z,2026-04-28T18:22:00Z,581.243056,3416,1,1,1,2,3,0,3,1,2,APPROVED,positive,APPROVED,Bhutmeet,yes,starumiQAQ,2026-04-28T18:22:00Z,675,246,95,0.050000
obra,superpowers,obra/superpowers,963,https://github.com/obra/superpowers/pull/963,docs(codex-tools): fix subagent wait mapping to wait_agent,closed,2026-03-28T01:51:14Z,2026-04-28T18:11:22Z,2026-04-28T18:11:22Z,760.335556,3722,1,7,2,9,1,0,1,0,1,NO_REVIEW,no_review,,,no,leonsong09,2026-04-28T18:11:22Z,675,246,95,0.050000
obra,superpowers,obra/superpowers,527,https://github.com/obra/superpowers/pull/527,Feat/support kiro,closed,2026-02-22T05:17:44Z,2026-04-28T01:08:27Z,2026-04-28T01:08:27Z,1555.845278,604,16,244,0,244,2,3,5,0,1,NO_REVIEW,no_review,COMMENTED|COMMENTED,,no,rfxlamia,,675,246,95,0.050000
obra,superpowers,obra/superpowers,1171,https://github.com/obra/superpowers/pull/1171,fix(hooks): avoid SessionStart path split on Windows home paths with spaces,closed,2026-04-15T02:29:56Z,2026-04-28T00:29:08Z,2026-04-28T00:29:08Z,309.986667,567,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,LaplaceYoung,,675,246,95,0.050000
obra,superpowers,obra/superpowers,1063,https://github.com/obra/superpowers/pull/1063,fix: make using-git-worktrees skill platform-neutral,closed,2026-04-05T14:36:28Z,2026-04-28T00:29:08Z,2026-04-28T00:29:08Z,537.877778,907,1,12,7,19,1,1,2,1,2,COMMENTED,neutral,COMMENTED,oscarbotteri,yes,funsaized,,675,246,95,0.050000
