owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
ollama,ollama,ollama/ollama,15900,https://github.com/ollama/ollama/pull/15900,cmd/launch: add Qwen code integration,OPEN,2026-04-30T15:24:25Z,2026-05-05T19:26:32Z,2026-05-05T19:26:32Z,124.035278,1307,9,717,3,720,1,0,1,5,2,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,hoyyeva|ParthSareen|hoyyeva|hoyyeva|hoyyeva,yes,hoyyeva,,5422,300,95,0.050000
ollama,ollama,ollama/ollama,15960,https://github.com/ollama/ollama/pull/15960,Warn when image files are not found,OPEN,2026-05-04T13:40:05Z,2026-05-04T16:04:40Z,2026-05-04T16:04:40Z,2.409722,679,1,2,0,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,ankit-songara,,5422,300,95,0.050000
ollama,ollama,ollama/ollama,15530,https://github.com/ollama/ollama/pull/15530,MLX: add repeatable model porting workflow,OPEN,2026-04-13T04:02:31Z,2026-05-03T14:47:48Z,2026-05-03T14:47:48Z,490.754722,786,26,6336,3,6339,3,0,3,0,1,NO_REVIEW,no_review,,,no,dhiltgen,,5422,300,95,0.050000
ollama,ollama,ollama/ollama,15565,https://github.com/ollama/ollama/pull/15565,mlx: follow up for gemma4,OPEN,2026-04-13T23:56:03Z,2026-05-01T20:54:42Z,2026-05-01T20:54:42Z,428.977500,38,2,82,180,262,0,0,0,0,1,NO_REVIEW,no_review,,,no,dhiltgen,,5422,300,95,0.050000
ollama,ollama,ollama/ollama,15871,https://github.com/ollama/ollama/pull/15871,fix: add URL validation in openai.go,OPEN,2026-04-29T02:09:39Z,2026-04-29T02:09:39Z,2026-04-29T02:09:39Z,0.000000,932,1,17,6,23,0,0,0,0,1,NO_REVIEW,no_review,,,no,orbisai0security,,5422,300,95,0.050000
ollama,ollama,ollama/ollama,4025,https://github.com/ollama/ollama/pull/4025,"Update linux.md, suggest containerized install",CLOSED,2024-04-29T13:43:19Z,2026-04-23T18:19:04Z,2026-04-23T18:19:04Z,17380.595833,85,1,6,0,6,2,0,2,0,1,NO_REVIEW,no_review,,,no,ericcurtin,,5422,300,95,0.050000
ollama,ollama,ollama/ollama,7894,https://github.com/ollama/ollama/pull/7894,cmd: make func addToZipFile,CLOSED,2024-11-30T13:26:04Z,2026-04-21T07:03:38Z,2026-04-21T07:03:38Z,12161.626111,59,2,58,43,101,4,0,4,0,1,NO_REVIEW,no_review,,,no,mattn,,5422,300,95,0.050000
ollama,ollama,ollama/ollama,4527,https://github.com/ollama/ollama/pull/4527,"docs: Add dnf install ""hipblas rocm-*"" to Linux Installation Guide",OPEN,2024-05-19T22:30:50Z,2026-04-21T07:03:28Z,2026-04-21T07:03:28Z,16832.543889,91,1,7,0,7,1,0,1,0,1,NO_REVIEW,no_review,,,no,vorburger,,5422,300,95,0.050000
ollama,ollama,ollama/ollama,15685,https://github.com/ollama/ollama/pull/15685,Reduce memory allocations by 86-99% through buffer reuse optimization,OPEN,2026-04-19T00:03:26Z,2026-04-19T00:39:51Z,2026-04-19T00:39:51Z,0.606944,2060,10,266,409,675,0,0,0,0,1,NO_REVIEW,no_review,,,no,emad-elsaid,,5422,300,95,0.050000
ollama,ollama,ollama/ollama,15409,https://github.com/ollama/ollama/pull/15409,mlx: mixed-precision quant and capability detection improvements,MERGED,2026-04-08T00:04:21Z,2026-04-17T19:30:28Z,2026-04-17T19:30:28Z,235.435278,692,7,368,87,455,2,0,2,1,2,APPROVED,positive,APPROVED,pdevine,yes,dhiltgen,2026-04-13T18:43:07Z,5422,300,95,0.050000
ollama,ollama,ollama/ollama,15627,https://github.com/ollama/ollama/pull/15627,fix: preserve strip_accents preprocessing in BERT tokenizer conversion,OPEN,2026-04-16T19:46:16Z,2026-04-16T19:46:16Z,2026-04-16T19:46:16Z,0.000000,1254,7,43,9,52,0,0,0,0,1,NO_REVIEW,no_review,,,no,MasterOfFeelingFish,,5422,300,95,0.050000
