owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
open-webui,open-webui,open-webui/open-webui,22072,https://github.com/open-webui/open-webui/pull/22072,feat:add new function to create sub folder directly on the folder button of the sidebar,CLOSED,2026-03-01T07:19:48Z,2026-03-01T07:34:06Z,2026-03-01T07:34:06Z,0.238333,4561,128,5712,1595,7307,2,0,2,0,1,NO_REVIEW,no_review,,,no,silenceroom,,7466,10,95,0.050000
open-webui,open-webui,open-webui/open-webui,21282,https://github.com/open-webui/open-webui/pull/21282,feat: add OpenAI-compatible auth/header config support for STT/TTS,OPEN,2026-02-09T21:49:55Z,2026-02-22T20:53:54Z,2026-02-22T20:53:54Z,311.066389,6787,6,344,116,460,2,0,2,0,1,NO_REVIEW,no_review,,,no,tariktalay,,7466,10,95,0.050000
open-webui,open-webui,open-webui/open-webui,21614,https://github.com/open-webui/open-webui/pull/21614,perf: Optimize shared chats list to use column projection,MERGED,2026-02-19T18:15:35Z,2026-02-19T22:32:08Z,2026-02-19T22:32:08Z,4.275833,640,2,25,14,39,2,0,2,0,1,NO_REVIEW,no_review,,,no,Classic298,2026-02-19T21:50:03Z,7466,10,95,0.050000
open-webui,open-webui,open-webui/open-webui,20761,https://github.com/open-webui/open-webui/pull/20761,5/5 Feat: admin interface defaults UI,CLOSED,2026-01-17T11:58:09Z,2026-01-17T21:50:13Z,2026-01-17T21:50:13Z,9.867778,347,4,356,53,409,2,0,2,0,1,NO_REVIEW,no_review,,,no,Classic298,,7466,10,95,0.050000
open-webui,open-webui,open-webui/open-webui,20569,https://github.com/open-webui/open-webui/pull/20569,fix(db): release connection before LLM call in Ollama /v1/chat/completions,MERGED,2026-01-11T12:28:20Z,2026-01-11T20:27:30Z,2026-01-11T20:27:30Z,7.986111,848,1,5,3,8,1,0,1,0,1,NO_REVIEW,no_review,,,no,Classic298,2026-01-11T19:35:38Z,7466,10,95,0.050000
open-webui,open-webui,open-webui/open-webui,20101,https://github.com/open-webui/open-webui/pull/20101,fix: correct FileModel to FileMetadataResponse conversion,CLOSED,2025-12-22T08:45:18Z,2025-12-31T21:44:38Z,2025-12-31T21:44:38Z,228.988889,883,3,100,3,103,1,0,1,0,1,NO_REVIEW,no_review,,,no,majiayu000,,7466,10,95,0.050000
open-webui,open-webui,open-webui/open-webui,19072,https://github.com/open-webui/open-webui/pull/19072,fix: Fix docling params not useable,CLOSED,2025-11-10T03:18:53Z,2025-11-13T22:05:52Z,2025-11-13T22:05:52Z,90.783056,3636,1,2,0,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,Hsienz,,7466,10,95,0.050000
open-webui,open-webui,open-webui/open-webui,17875,https://github.com/open-webui/open-webui/pull/17875,feat: Refactor Workspace Model Import to Backend,CLOSED,2025-09-29T00:33:19Z,2025-10-23T10:07:21Z,2025-10-23T10:07:21Z,585.567222,3640,3,101,37,138,3,0,3,0,1,NO_REVIEW,no_review,,,no,silentoplayz,,7466,10,95,0.050000
open-webui,open-webui,open-webui/open-webui,6585,https://github.com/open-webui/open-webui/pull/6585,Rename cs_CZ to cs-CZ,MERGED,2024-10-30T07:19:02Z,2024-10-30T17:28:17Z,2024-10-30T17:28:17Z,10.154167,12,1,0,0,0,1,0,1,0,1,NO_REVIEW,no_review,,,no,t0ny-d3v,2024-10-30T17:28:17Z,7466,10,95,0.050000
open-webui,open-webui,open-webui/open-webui,5300,https://github.com/open-webui/open-webui/pull/5300,i18n: Update ru-RU localization,MERGED,2024-09-09T19:56:31Z,2024-09-30T14:44:18Z,2024-09-30T14:44:18Z,498.796389,2003,1,32,32,64,1,0,1,0,1,NO_REVIEW,no_review,,,no,FINNSEEFLY,2024-09-09T21:59:44Z,7466,10,95,0.050000
