owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
openai,openai-cookbook,openai/openai-cookbook,2651,https://github.com/openai/openai-cookbook/pull/2651,Chatgpt prompt guide,MERGED,2026-04-29T03:41:55Z,2026-04-29T03:44:29Z,2026-04-29T03:44:29Z,0.042778,1406,1,0,1,1,0,0,0,1,2,APPROVED,positive,APPROVED,danial-openai,yes,sophiaqin-openai,2026-04-29T03:44:28Z,1627,10,95,0.050000
openai,openai-cookbook,openai/openai-cookbook,2504,https://github.com/openai/openai-cookbook/pull/2504,docs: update vLLM install and add official recipe link,OPEN,2026-03-10T21:05:41Z,2026-03-16T20:27:28Z,2026-03-16T20:27:28Z,143.363056,726,1,2,5,7,0,0,0,1,2,COMMENTED,neutral,COMMENTED,mgoin,yes,nuvic,,1627,10,95,0.050000
openai,openai-cookbook,openai/openai-cookbook,2252,https://github.com/openai/openai-cookbook/pull/2252,Update markdown headers in Realtime out-of-band transcription example…,MERGED,2025-11-20T23:53:48Z,2025-11-20T23:55:29Z,2025-11-20T23:55:29Z,0.028056,1424,1,11,9,20,0,0,0,1,2,APPROVED,positive,APPROVED,anurag-openai,yes,minh-hoque,2025-11-20T23:55:27Z,1627,10,95,0.050000
openai,openai-cookbook,openai/openai-cookbook,1893,https://github.com/openai/openai-cookbook/pull/1893,Memory launch,CLOSED,2025-06-11T05:13:54Z,2025-06-11T05:21:50Z,2025-06-11T05:21:50Z,0.132222,1406,2,65,0,65,0,0,0,0,1,NO_REVIEW,no_review,,,no,quantumblackswan,,1627,10,95,0.050000
openai,openai-cookbook,openai/openai-cookbook,1707,https://github.com/openai/openai-cookbook/pull/1707,added responses web serach and states cookbook,MERGED,2025-03-11T17:16:02Z,2025-03-11T17:24:46Z,2025-03-11T17:24:46Z,0.145556,1439,4,532,0,532,0,0,0,1,2,APPROVED,positive,APPROVED,prashantmital-openai,yes,billchen-openai,2025-03-11T17:24:45Z,1627,10,95,0.050000
openai,openai-cookbook,openai/openai-cookbook,914,https://github.com/openai/openai-cookbook/pull/914,Migrate all notebooks to API V1,MERGED,2023-12-07T05:14:11Z,2024-05-03T17:04:22Z,2024-05-03T17:04:22Z,3563.836389,1509,46,1939,3218,5157,42,0,42,21,4,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED|COMMENTED,AyushRajgor|AyushRajgor|gaborcselle|AyushRajgor|gaborcselle|gaborcselle|gaborcselle|gaborcselle|gaborcselle|gaborcselle|gaborcselle|AyushRajgor|AyushRajgor|gaborcselle|gaborcselle|gaborcselle|AyushRajgor|gaborcselle|AyushRajgor|logankilpatrick|andrew-allender,yes,gaborcselle,2024-01-25T01:05:14Z,1627,10,95,0.050000
openai,openai-cookbook,openai/openai-cookbook,907,https://github.com/openai/openai-cookbook/pull/907,"Upgrade Whisper notebooks to API V1, fixes bug #906",MERGED,2023-12-05T20:14:39Z,2023-12-05T21:03:02Z,2023-12-05T21:03:02Z,0.806389,359,2,51,51,102,0,0,0,1,2,APPROVED,positive,APPROVED,simonpfish,yes,gaborcselle,2023-12-05T21:03:02Z,1627,10,95,0.050000
openai,openai-cookbook,openai/openai-cookbook,744,https://github.com/openai/openai-cookbook/pull/744,Fix typo in How_to_stream_completions.ipynb,MERGED,2023-09-28T11:40:19Z,2023-09-29T06:57:36Z,2023-09-29T06:57:36Z,19.288056,40,1,1,1,2,0,0,0,2,2,APPROVED,positive,COMMENTED|APPROVED,simonpfish|simonpfish,yes,jirihofman,2023-09-29T00:53:37Z,1627,10,95,0.050000
openai,openai-cookbook,openai/openai-cookbook,542,https://github.com/openai/openai-cookbook/pull/542,Add example for visualizing embeddings in Phoenix,CLOSED,2023-06-24T02:50:53Z,2023-09-23T01:48:03Z,2023-09-23T01:48:03Z,2182.952778,0,1,511,0,511,2,0,2,0,1,NO_REVIEW,no_review,,,no,sallyannarize,,1627,10,95,0.050000
openai,openai-cookbook,openai/openai-cookbook,695,https://github.com/openai/openai-cookbook/pull/695,Bump langchain from 0.0.158 to 0.0.246 in /apps/enterprise-knowledge-retrieval,MERGED,2023-09-11T23:37:31Z,2023-09-11T23:39:36Z,2023-09-11T23:39:36Z,0.034722,4657,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,dependabot,2023-09-11T23:39:26Z,1627,10,95,0.050000
