owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
openclaw,openclaw,openclaw/openclaw,74035,https://github.com/openclaw/openclaw/pull/74035,feat(skills): add persist flag and trustedSources config for commercial use,open,2026-04-29T03:22:19Z,2026-04-30T22:50:10Z,2026-04-30T22:50:10Z,43.464167,425,11,228,5,233,2,0,2,0,1,NO_REVIEW,no_review,,,no,zhangguiping-xydt,,40096,300,95,0.050000
openclaw,openclaw,openclaw/openclaw,66327,https://github.com/openclaw/openclaw/pull/66327,feat(msteams): implement sendPayload for interactive approval cards,open,2026-04-14T04:00:18Z,2026-04-30T22:42:22Z,2026-04-30T22:42:22Z,402.701111,2280,3,225,2,227,2,7,9,0,1,NO_REVIEW,no_review,COMMENTED|COMMENTED|COMMENTED,,no,johnturek,,40096,300,95,0.050000
openclaw,openclaw,openclaw/openclaw,68045,https://github.com/openclaw/openclaw/pull/68045,Control UI + auto-reply: strip leaked agent scaffolding and metadata,open,2026-04-17T08:38:57Z,2026-04-30T22:02:26Z,2026-04-30T22:02:26Z,325.391389,3378,6,269,21,290,3,10,13,0,1,NO_REVIEW,no_review,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,,no,miyago9267,,40096,300,95,0.050000
openclaw,openclaw,openclaw/openclaw,67782,https://github.com/openclaw/openclaw/pull/67782,fix(telegram): skip delete before non-empty command sync,open,2026-04-16T18:55:01Z,2026-04-30T22:02:13Z,2026-04-30T22:02:13Z,339.120000,691,2,39,14,53,3,0,3,0,1,NO_REVIEW,no_review,,,no,p3nchan,,40096,300,95,0.050000
openclaw,openclaw,openclaw/openclaw,75270,https://github.com/openclaw/openclaw/pull/75270,fix(agent): prevent sticky model fallback,open,2026-04-30T21:29:14Z,2026-04-30T21:43:23Z,2026-04-30T21:43:23Z,0.235833,822,9,164,14,178,2,0,2,0,1,NO_REVIEW,no_review,,,no,Komzpa,,40096,300,95,0.050000
openclaw,openclaw,openclaw/openclaw,44168,https://github.com/openclaw/openclaw/pull/44168,fix(agents): guard OpenAI WS first response timeouts,open,2026-03-12T15:26:02Z,2026-04-30T21:17:29Z,2026-04-30T21:17:29Z,1181.857500,4345,4,356,4,360,4,5,9,0,1,NO_REVIEW,no_review,COMMENTED|COMMENTED|COMMENTED,,no,Crpdim,,40096,300,95,0.050000
openclaw,openclaw,openclaw/openclaw,38939,https://github.com/openclaw/openclaw/pull/38939,feishu: arbitrate group mentions across main and specialists,open,2026-03-07T14:48:51Z,2026-04-30T21:15:56Z,2026-04-30T21:15:56Z,1302.451389,2191,5,388,12,400,3,3,6,0,1,NO_REVIEW,no_review,COMMENTED|COMMENTED,,no,jlon,,40096,300,95,0.050000
openclaw,openclaw,openclaw/openclaw,73449,https://github.com/openclaw/openclaw/pull/73449,fix(codex): bridge app-server tool stream events,open,2026-04-28T09:24:16Z,2026-04-30T19:53:44Z,2026-04-30T19:53:44Z,58.491111,7153,2,476,0,476,3,3,6,0,1,NO_REVIEW,no_review,COMMENTED,,no,Disaster-Terminator,,40096,300,95,0.050000
openclaw,openclaw,openclaw/openclaw,39957,https://github.com/openclaw/openclaw/pull/39957,fix(telegram): suppress toolUse intermediate message_end block replies,open,2026-03-08T14:42:52Z,2026-04-30T18:22:04Z,2026-04-30T18:22:04Z,1275.653333,2487,2,112,2,114,5,0,5,0,1,NO_REVIEW,no_review,,,no,HeMuling,,40096,300,95,0.050000
openclaw,openclaw,openclaw/openclaw,72913,https://github.com/openclaw/openclaw/pull/72913,fix(memory-core): keep rotated cron transcripts out of dreaming corpus + add operator filters,open,2026-04-27T16:23:33Z,2026-04-30T17:45:58Z,2026-04-30T17:45:58Z,73.373611,6059,10,1280,16,1296,2,1,3,0,1,NO_REVIEW,no_review,COMMENTED,,no,zqchris,,40096,300,95,0.050000
openclaw,openclaw,openclaw/openclaw,42674,https://github.com/openclaw/openclaw/pull/42674,fix(telegram): handle buffer/filename in message send action,open,2026-03-11T02:10:18Z,2026-04-30T16:55:55Z,2026-04-30T16:55:55Z,1214.760278,835,8,163,11,174,4,1,5,0,1,NO_REVIEW,no_review,COMMENTED,,no,smysle,,40096,300,95,0.050000
