owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
pathwaycom,pathway,pathwaycom/pathway,228,https://github.com/pathwaycom/pathway/pull/228,fix: skip casting columns typed as typing.Any in rest_connector,OPEN,2026-05-05T02:45:42Z,2026-05-05T03:03:37Z,2026-05-05T03:03:37Z,0.298611,1528,2,3,0,3,1,0,1,0,1,NO_REVIEW,no_review,,,no,SAY-5,,51,10,95,0.050000
pathwaycom,pathway,pathwaycom/pathway,226,https://github.com/pathwaycom/pathway/pull/226,fix: the fingerprinting function at fingerprints in fingerprints.py,OPEN,2026-04-29T15:11:49Z,2026-04-29T15:11:49Z,2026-04-29T15:11:49Z,0.000000,971,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,orbisai0security,,51,10,95,0.050000
pathwaycom,pathway,pathwaycom/pathway,160,https://github.com/pathwaycom/pathway/pull/160,feat(llm): Add AudioParser using OpenAI Whisper,CLOSED,2026-01-04T11:04:16Z,2026-04-07T12:52:59Z,2026-04-07T12:52:59Z,2233.811944,115,1,64,0,64,3,0,3,1,2,CHANGES_REQUESTED,negative,CHANGES_REQUESTED,zxqfd555,yes,biplavbarua,,51,10,95,0.050000
pathwaycom,pathway,pathwaycom/pathway,205,https://github.com/pathwaycom/pathway/pull/205,feat: Add Microsoft SQL Server (MSSQL) connector,MERGED,2026-03-24T08:05:47Z,2026-03-24T13:59:29Z,2026-03-24T13:59:29Z,5.895000,5627,20,12247,9,12256,2,0,2,0,1,NO_REVIEW,no_review,,,no,danghoangnhan,2026-03-24T13:59:28Z,51,10,95,0.050000
pathwaycom,pathway,pathwaycom/pathway,157,https://github.com/pathwaycom/pathway/pull/157,docs: fix missing apostrophes in contractions,MERGED,2026-01-04T09:41:01Z,2026-01-05T18:02:27Z,2026-01-05T18:02:27Z,32.357222,291,2,2,2,4,2,0,2,1,2,APPROVED,positive,APPROVED,zxqfd555,yes,majiayu000,2026-01-05T18:02:27Z,51,10,95,0.050000
pathwaycom,pathway,pathwaycom/pathway,120,https://github.com/pathwaycom/pathway/pull/120,Fix: Mitigate DoS vulnerability by handling deeply nested JSONs,CLOSED,2025-08-29T15:21:23Z,2025-09-08T19:36:24Z,2025-09-08T19:36:24Z,244.250278,677,11,85,16,101,2,0,2,0,1,NO_REVIEW,no_review,,,no,Mirza-Samad-Ahmed-Baig,,51,10,95,0.050000
pathwaycom,pathway,pathwaycom/pathway,95,https://github.com/pathwaycom/pathway/pull/95,Add a space in `Pathwayor`,MERGED,2025-02-16T01:12:49Z,2025-02-17T06:53:19Z,2025-02-17T06:53:19Z,29.675000,90,1,1,1,2,1,0,1,1,2,APPROVED,positive,APPROVED,pw-ppodhajski,yes,JakeRoggenbuck,2025-02-17T06:53:18Z,51,10,95,0.050000
pathwaycom,pathway,pathwaycom/pathway,68,https://github.com/pathwaycom/pathway/pull/68,chore: switch to Github runner,CLOSED,2024-07-24T11:52:08Z,2025-01-13T12:22:01Z,2025-01-13T12:22:01Z,4152.498056,740,2,4,16,20,0,0,0,0,1,NO_REVIEW,no_review,,,no,pw-ppodhajski,,51,10,95,0.050000
pathwaycom,pathway,pathwaycom/pathway,74,https://github.com/pathwaycom/pathway/pull/74,Add change to wording,MERGED,2024-11-06T01:29:44Z,2024-11-27T10:19:06Z,2024-11-27T10:19:06Z,512.822778,52,1,1,1,2,2,0,2,1,2,APPROVED,positive,APPROVED,dxtrous,yes,JakeRoggenbuck,2024-11-27T10:19:06Z,51,10,95,0.050000
pathwaycom,pathway,pathwaycom/pathway,56,https://github.com/pathwaycom/pathway/pull/56,Fixed Discord link in get help docs,MERGED,2024-05-24T06:27:42Z,2024-05-24T06:38:49Z,2024-05-24T06:38:49Z,0.185278,1139,1,2,2,4,0,0,0,1,2,APPROVED,positive,APPROVED,olruas,yes,ananyaem,2024-05-24T06:38:49Z,51,10,95,0.050000
