owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
rasbt,LLMs-from-scratch,rasbt/LLMs-from-scratch,817,https://github.com/rasbt/LLMs-from-scratch/pull/817,Remove redundant next_cache,MERGED,2025-09-11T19:42:00Z,2025-09-11T20:16:10Z,2025-09-11T20:16:10Z,0.569444,102,5,0,10,10,1,0,1,0,1,NO_REVIEW,no_review,,,no,rasbt,2025-09-11T20:16:08Z,567,10,95,0.050000
rasbt,LLMs-from-scratch,rasbt/LLMs-from-scratch,613,https://github.com/rasbt/LLMs-from-scratch/pull/613,Ch06 and Ch07 videos,MERGED,2025-04-12T15:32:55Z,2025-04-12T19:51:04Z,2025-04-12T19:51:04Z,4.302500,42,3,22,3,25,0,0,0,0,1,NO_REVIEW,no_review,,,no,rasbt,2025-04-12T19:51:02Z,567,10,95,0.050000
rasbt,LLMs-from-scratch,rasbt/LLMs-from-scratch,553,https://github.com/rasbt/LLMs-from-scratch/pull/553,Add link to supplementary ch02 video,MERGED,2025-03-02T17:54:34Z,2025-03-02T19:17:44Z,2025-03-02T19:17:44Z,1.386111,0,1,11,0,11,0,0,0,0,1,NO_REVIEW,no_review,,,no,rasbt,2025-03-02T19:17:42Z,567,10,95,0.050000
rasbt,LLMs-from-scratch,rasbt/LLMs-from-scratch,245,https://github.com/rasbt/LLMs-from-scratch/pull/245,Generating a synthetic dataset for instruction finetuning,MERGED,2024-06-24T02:27:56Z,2024-06-24T02:48:26Z,2024-06-24T02:48:26Z,0.341667,0,5,539,0,539,1,0,1,0,1,NO_REVIEW,no_review,,,no,rasbt,2024-06-24T02:48:25Z,567,10,95,0.050000
rasbt,LLMs-from-scratch,rasbt/LLMs-from-scratch,243,https://github.com/rasbt/LLMs-from-scratch/pull/243,fixed typo,MERGED,2024-06-22T23:57:08Z,2024-06-23T20:13:32Z,2024-06-23T20:13:32Z,20.273333,19,1,2,2,4,9,0,9,5,2,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,rasbt|rasbt|rasbt|rasbt|rasbt,yes,d-kleine,2024-06-23T12:11:04Z,567,10,95,0.050000
rasbt,LLMs-from-scratch,rasbt/LLMs-from-scratch,134,https://github.com/rasbt/LLMs-from-scratch/pull/134,Formatting improvements,MERGED,2024-04-28T16:47:52Z,2024-04-28T17:05:33Z,2024-04-28T17:05:33Z,0.294722,0,4,15,9,24,0,0,0,0,1,NO_REVIEW,no_review,,,no,rasbt,2024-04-28T17:05:32Z,567,10,95,0.050000
rasbt,LLMs-from-scratch,rasbt/LLMs-from-scratch,133,https://github.com/rasbt/LLMs-from-scratch/pull/133,Try windows runners,MERGED,2024-04-28T12:04:58Z,2024-04-28T13:12:43Z,2024-04-28T13:12:43Z,1.129167,0,5,116,4,120,2,0,2,0,1,NO_REVIEW,no_review,,,no,rasbt,2024-04-28T12:39:23Z,567,10,95,0.050000
rasbt,LLMs-from-scratch,rasbt/LLMs-from-scratch,125,https://github.com/rasbt/LLMs-from-scratch/pull/125,Simplify dependencies and improve code readability,MERGED,2024-04-21T18:50:26Z,2024-04-21T19:15:06Z,2024-04-21T19:15:06Z,0.411111,102,2,72,2,74,0,0,0,0,1,NO_REVIEW,no_review,,,no,rasbt,2024-04-21T19:15:05Z,567,10,95,0.050000
rasbt,LLMs-from-scratch,rasbt/LLMs-from-scratch,1,https://github.com/rasbt/LLMs-from-scratch/pull/1,ch02 code,MERGED,2023-09-28T12:09:45Z,2024-04-19T15:01:26Z,2024-04-19T15:01:26Z,4898.861389,0,10,2656,0,2656,0,0,0,0,1,NO_REVIEW,no_review,,,no,rasbt,2023-09-28T12:10:00Z,567,10,95,0.050000
rasbt,LLMs-from-scratch,rasbt/LLMs-from-scratch,3,https://github.com/rasbt/LLMs-from-scratch/pull/3,typo fix,CLOSED,2023-10-24T01:17:52Z,2024-02-27T14:53:38Z,2024-02-27T14:53:38Z,3037.596111,0,1,90,53,143,0,0,0,0,1,NO_REVIEW,no_review,,,no,rasbt,,567,10,95,0.050000
