owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
resume,resume.github.com,resume/resume.github.com,264,https://github.com/resume/resume.github.com/pull/264,Update README.markdown,OPEN,2020-10-01T02:50:05Z,2023-10-02T08:07:29Z,2023-10-02T08:07:29Z,26309.290000,0,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,shivamsinghraipur,,185,10,95,0.050000
resume,resume.github.com,resume/resume.github.com,271,https://github.com/resume/resume.github.com/pull/271,"Correction of the ""followers"" link on the resume",OPEN,2021-02-01T10:37:59Z,2021-04-23T06:19:45Z,2021-04-23T06:19:45Z,1939.696111,0,2,2,2,4,0,0,0,1,2,APPROVED,positive,APPROVED,akshaykhale1992,yes,lgmgeo,,185,10,95,0.050000
resume,resume.github.com,resume/resume.github.com,19,https://github.com/resume/resume.github.com/pull/19,Added README file,MERGED,2011-04-19T06:32:44Z,2014-07-10T15:03:32Z,2014-07-10T15:03:32Z,28280.513333,428,1,6,0,6,0,0,0,0,1,NO_REVIEW,no_review,,,no,nandak522,2011-05-01T23:58:18Z,185,10,95,0.050000
resume,resume.github.com,resume/resume.github.com,54,https://github.com/resume/resume.github.com/pull/54,Fix wording for 0 items,MERGED,2012-11-14T11:48:55Z,2014-07-10T14:48:23Z,2014-07-10T14:48:23Z,14474.991111,44,1,2,2,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,AndrewRadev,2013-01-17T17:55:38Z,185,10,95,0.050000
resume,resume.github.com,resume/resume.github.com,63,https://github.com/resume/resume.github.com/pull/63,List contributions/commits for a user,MERGED,2013-03-31T20:55:13Z,2014-07-10T14:39:18Z,2014-07-10T14:39:18Z,11177.734722,238,4,98,22,120,15,0,15,0,1,NO_REVIEW,no_review,,,no,leandronsp,2013-04-04T12:57:15Z,185,10,95,0.050000
resume,resume.github.com,resume/resume.github.com,76,https://github.com/resume/resume.github.com/pull/76,Opting out,MERGED,2013-11-19T13:57:45Z,2014-07-10T14:34:45Z,2014-07-10T14:34:45Z,5592.616667,0,1,2,1,3,0,0,0,0,1,NO_REVIEW,no_review,,,no,kmcallister,2013-11-19T14:03:52Z,185,10,95,0.050000
resume,resume.github.com,resume/resume.github.com,81,https://github.com/resume/resume.github.com/pull/81,Update opt_out_users.js,CLOSED,2013-11-19T14:28:25Z,2014-07-10T14:32:14Z,2014-07-10T14:32:14Z,5592.063611,106,1,2,1,3,1,0,1,0,1,NO_REVIEW,no_review,,,no,vitling,,185,10,95,0.050000
resume,resume.github.com,resume/resume.github.com,83,https://github.com/resume/resume.github.com/pull/83,Just pulled the info directly from the pull-requests.,MERGED,2013-11-19T14:30:34Z,2014-07-10T14:31:13Z,2014-07-10T14:31:13Z,5592.010833,0,1,3,1,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,davidcoallier,2013-11-19T14:30:41Z,185,10,95,0.050000
resume,resume.github.com,resume/resume.github.com,96,https://github.com/resume/resume.github.com/pull/96,Opting out,CLOSED,2013-11-19T16:33:52Z,2014-07-10T14:28:11Z,2014-07-10T14:28:11Z,5589.905278,20,1,2,1,3,1,0,1,0,1,NO_REVIEW,no_review,,,no,davidstanley01,,185,10,95,0.050000
resume,resume.github.com,resume/resume.github.com,97,https://github.com/resume/resume.github.com/pull/97,opt out,CLOSED,2013-11-19T16:37:16Z,2014-07-10T14:27:41Z,2014-07-10T14:27:41Z,5589.840278,43,1,2,1,3,1,0,1,0,1,NO_REVIEW,no_review,,,no,nvsio,,185,10,95,0.050000
