owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
rust-lang,rustlings,rust-lang/rustlings,2368,https://github.com/rust-lang/rustlings/pull/2368,docs: clarify stale comment in cow1 owned_mutation test,OPEN,2026-03-16T20:27:04Z,2026-05-03T10:11:56Z,2026-05-03T10:11:56Z,1141.747778,456,1,4,3,7,1,0,1,0,1,NO_REVIEW,no_review,,,no,DeoJin,,1574,10,95,0.050000
rust-lang,rustlings,rust-lang/rustlings,2253,https://github.com/rust-lang/rustlings/pull/2253,Add additional explain for quiz3 solution,CLOSED,2025-06-03T15:02:13Z,2025-08-21T21:51:24Z,2025-08-21T21:51:24Z,1902.819722,321,1,12,0,12,1,0,1,0,1,NO_REVIEW,no_review,,,no,thely314,,1574,10,95,0.050000
rust-lang,rustlings,rust-lang/rustlings,713,https://github.com/rust-lang/rustlings/pull/713,docs: add k12ish as a contributor,MERGED,2021-04-20T09:18:24Z,2024-04-04T13:20:46Z,2024-04-04T13:20:46Z,25924.039444,86,2,11,1,12,0,0,0,0,1,NO_REVIEW,no_review,,,no,allcontributors,2021-04-20T09:18:32Z,1574,10,95,0.050000
rust-lang,rustlings,rust-lang/rustlings,1136,https://github.com/rust-lang/rustlings/pull/1136,docs: add Mouwrice as a contributor for content,MERGED,2022-08-11T10:27:29Z,2024-04-04T13:19:15Z,2024-04-04T13:19:15Z,14450.862778,94,2,10,0,10,0,0,0,0,1,NO_REVIEW,no_review,,,no,allcontributors,2022-08-11T10:29:35Z,1574,10,95,0.050000
rust-lang,rustlings,rust-lang/rustlings,944,https://github.com/rust-lang/rustlings/pull/944,Learning Rust I Suppose,CLOSED,2022-03-12T18:13:47Z,2022-07-15T12:09:28Z,2022-07-15T12:09:28Z,2993.928056,14,55,226,168,394,1,0,1,0,1,NO_REVIEW,no_review,,,no,doctorkelp,,1574,10,95,0.050000
rust-lang,rustlings,rust-lang/rustlings,914,https://github.com/rust-lang/rustlings/pull/914,Add factorial of zero test in standand_library_types iterators4,CLOSED,2022-01-13T21:15:49Z,2022-07-14T16:29:55Z,2022-07-14T16:29:55Z,4363.235000,90,1,5,0,5,3,0,3,0,1,NO_REVIEW,no_review,,,no,pgjbz,,1574,10,95,0.050000
rust-lang,rustlings,rust-lang/rustlings,664,https://github.com/rust-lang/rustlings/pull/664,fix: reword heading comment,MERGED,2021-03-09T00:14:51Z,2021-03-13T18:19:02Z,2021-03-13T18:19:02Z,114.069722,0,1,4,3,7,0,0,0,1,2,APPROVED,positive,APPROVED,manyinsects,yes,dariuswiles,2021-03-13T11:14:03Z,1574,10,95,0.050000
rust-lang,rustlings,rust-lang/rustlings,534,https://github.com/rust-lang/rustlings/pull/534,docs: add jmahmood as a contributor,MERGED,2020-09-22T08:57:34Z,2020-09-22T08:57:47Z,2020-09-22T08:57:47Z,0.003611,88,2,11,1,12,0,0,0,0,1,NO_REVIEW,no_review,,,no,allcontributors,2020-09-22T08:57:45Z,1574,10,95,0.050000
rust-lang,rustlings,rust-lang/rustlings,324,https://github.com/rust-lang/rustlings/pull/324,docs: add Jesse-Cameron as a contributor,MERGED,2020-04-11T22:37:38Z,2020-04-11T22:37:48Z,2020-04-11T22:37:48Z,0.002778,99,2,12,1,13,1,0,1,0,1,NO_REVIEW,no_review,,,no,allcontributors,2020-04-11T22:37:46Z,1574,10,95,0.050000
rust-lang,rustlings,rust-lang/rustlings,310,https://github.com/rust-lang/rustlings/pull/310,docs: add Delet0r as a contributor,MERGED,2020-04-11T22:21:30Z,2020-04-11T22:21:39Z,2020-04-11T22:21:39Z,0.002500,84,2,13,1,14,1,0,1,0,1,NO_REVIEW,no_review,,,no,allcontributors,2020-04-11T22:21:37Z,1574,10,95,0.050000
