owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
ryanoasis,nerd-fonts,ryanoasis/nerd-fonts,1969,https://github.com/ryanoasis/nerd-fonts/pull/1969,Add Idris icon,OPEN,2025-12-30T06:26:29Z,2026-01-22T14:35:56Z,2026-01-22T14:35:56Z,560.157500,1221,2,122,0,122,1,0,1,0,1,NO_REVIEW,no_review,,,no,ska80,,673,10,95,0.050000
ryanoasis,nerd-fonts,ryanoasis/nerd-fonts,932,https://github.com/ryanoasis/nerd-fonts/pull/932,Feature/testme,CLOSED,2022-09-17T16:21:08Z,2023-12-18T16:25:31Z,2023-12-18T16:25:31Z,10968.073056,374,4,280,1,281,1,0,1,0,1,NO_REVIEW,no_review,,,no,Finii,,673,10,95,0.050000
ryanoasis,nerd-fonts,ryanoasis/nerd-fonts,1294,https://github.com/ryanoasis/nerd-fonts/pull/1294,Create demo.txt,CLOSED,2023-06-10T08:07:26Z,2023-06-14T16:34:24Z,2023-06-14T16:34:24Z,104.449444,374,1,3,0,3,0,0,0,0,1,NO_REVIEW,no_review,,,no,HARIKISHAN98,,673,10,95,0.050000
ryanoasis,nerd-fonts,ryanoasis/nerd-fonts,1144,https://github.com/ryanoasis/nerd-fonts/pull/1144,font-patcher: Fix crash with older fontforge,MERGED,2023-03-10T09:51:54Z,2023-03-10T10:05:13Z,2023-03-10T10:05:13Z,0.221944,830,1,4,3,7,1,0,1,0,1,NO_REVIEW,no_review,,,no,Finii,2023-03-10T10:04:33Z,673,10,95,0.050000
ryanoasis,nerd-fonts,ryanoasis/nerd-fonts,1138,https://github.com/ryanoasis/nerd-fonts/pull/1138,Add Codicons scale list,MERGED,2023-03-02T13:29:41Z,2023-03-02T14:04:50Z,2023-03-02T14:04:50Z,0.585833,951,1,10,3,13,1,0,1,0,1,NO_REVIEW,no_review,,,no,Finii,2023-03-02T14:04:48Z,673,10,95,0.050000
ryanoasis,nerd-fonts,ryanoasis/nerd-fonts,886,https://github.com/ryanoasis/nerd-fonts/pull/886,CI: Add Lilex to release,MERGED,2022-08-20T15:16:17Z,2022-08-20T16:28:05Z,2022-08-20T16:28:05Z,1.196667,533,1,8,0,8,0,0,0,0,1,NO_REVIEW,no_review,,,no,Finii,2022-08-20T16:28:05Z,673,10,95,0.050000
ryanoasis,nerd-fonts,ryanoasis/nerd-fonts,707,https://github.com/ryanoasis/nerd-fonts/pull/707,Added Hindi version of readme.md.,MERGED,2021-12-06T18:41:40Z,2021-12-07T05:37:33Z,2021-12-07T05:37:33Z,10.931389,845,1,785,0,785,3,0,3,0,1,NO_REVIEW,no_review,,,no,HarshalRathore,2021-12-07T05:14:36Z,673,10,95,0.050000
ryanoasis,nerd-fonts,ryanoasis/nerd-fonts,689,https://github.com/ryanoasis/nerd-fonts/pull/689,Update command about Homebrew cask option,MERGED,2021-11-24T22:29:44Z,2021-11-25T07:07:16Z,2021-11-25T07:07:16Z,8.625556,944,22,22,22,44,1,0,1,0,1,NO_REVIEW,no_review,,,no,ktanoooo,2021-11-25T07:07:16Z,673,10,95,0.050000
ryanoasis,nerd-fonts,ryanoasis/nerd-fonts,358,https://github.com/ryanoasis/nerd-fonts/pull/358,Repatch all the fonts to incorporate the new icons,MERGED,2019-06-28T01:58:43Z,2019-07-09T03:10:51Z,2019-07-09T03:10:51Z,265.202222,272,0,0,0,0,2,0,2,0,1,NO_REVIEW,no_review,,,no,danbee,2019-07-09T03:10:51Z,673,10,95,0.050000
ryanoasis,nerd-fonts,ryanoasis/nerd-fonts,20,https://github.com/ryanoasis/nerd-fonts/pull/20,font-patcher: only load Pomicons.otf with --pomicons,MERGED,2015-08-04T11:32:24Z,2015-08-05T02:24:15Z,2015-08-05T02:24:15Z,14.864167,8,1,2,1,3,1,0,1,0,1,NO_REVIEW,no_review,,,no,blueyed,2015-08-05T02:22:36Z,673,10,95,0.050000
