owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
shadcn-ui,ui,shadcn-ui/ui,10458,https://github.com/shadcn-ui/ui/pull/10458,feat(sidebar): add SidebarInsetFooter,OPEN,2026-04-21T16:11:30Z,2026-04-21T16:11:35Z,2026-04-21T16:11:35Z,0.001389,4003,5,175,0,175,1,0,1,0,1,NO_REVIEW,no_review,,,no,Yngesh-Raman-QED42,,3977,10,95,0.050000
shadcn-ui,ui,shadcn-ui/ui,9675,https://github.com/shadcn-ui/ui/pull/9675,Added additional usage example,OPEN,2026-02-19T07:18:30Z,2026-02-19T07:19:36Z,2026-02-19T07:19:36Z,0.018333,0,5,122,0,122,1,0,1,0,1,NO_REVIEW,no_review,,,no,pius706975,,3977,10,95,0.050000
shadcn-ui,ui,shadcn-ui/ui,9167,https://github.com/shadcn-ui/ui/pull/9167,add  neobrutalism.dev to registry directory ,CLOSED,2025-12-21T10:39:58Z,2025-12-21T10:43:09Z,2025-12-21T10:43:09Z,0.053056,260,5,17,3,20,1,0,1,0,1,NO_REVIEW,no_review,,,no,yeasin2002,,3977,10,95,0.050000
shadcn-ui,ui,shadcn-ui/ui,8911,https://github.com/shadcn-ui/ui/pull/8911,feat: add new registry entry for @pureui to directory.json and registries.json,MERGED,2025-11-28T16:43:05Z,2025-12-15T09:40:02Z,2025-12-15T09:40:02Z,400.949167,159,2,8,0,8,3,0,3,1,2,COMMENTED,neutral,COMMENTED,copilot-pull-request-reviewer,yes,MusKRI,2025-12-15T09:40:01Z,3977,10,95,0.050000
shadcn-ui,ui,shadcn-ui/ui,8726,https://github.com/shadcn-ui/ui/pull/8726,Add new registry entry for @aevr,MERGED,2025-11-06T14:53:57Z,2025-11-10T07:30:17Z,2025-11-10T07:30:17Z,88.605556,423,2,9,1,10,4,0,4,0,1,NO_REVIEW,no_review,,,no,miracleonyenma,2025-11-10T07:30:17Z,3977,10,95,0.050000
shadcn-ui,ui,shadcn-ui/ui,3519,https://github.com/shadcn-ui/ui/pull/3519,fix(mdx): rehype pretty code title not showing in light mode,CLOSED,2024-04-17T19:51:48Z,2025-04-27T23:43:24Z,2025-04-27T23:43:24Z,9003.860000,376,1,2,2,4,5,0,5,1,2,APPROVED,positive,APPROVED,ruru-m07,yes,RahimGuerfi,,3977,10,95,0.050000
shadcn-ui,ui,shadcn-ui/ui,6926,https://github.com/shadcn-ui/ui/pull/6926,fix(sidebar): update type `SidebarContext` -> `SidebarContextProps`,MERGED,2025-03-14T09:09:50Z,2025-03-14T12:56:10Z,2025-03-14T12:56:10Z,3.772222,602,6,15,15,30,2,0,2,1,2,APPROVED,positive,APPROVED,shadcn,yes,itaober,2025-03-14T12:53:25Z,3977,10,95,0.050000
shadcn-ui,ui,shadcn-ui/ui,4360,https://github.com/shadcn-ui/ui/pull/4360,fix combobox usage docs,CLOSED,2024-07-21T09:28:49Z,2024-08-03T20:09:58Z,2024-08-03T20:09:58Z,322.685833,26,1,1,1,2,2,0,2,0,1,NO_REVIEW,no_review,,,no,harshmangalam,,3977,10,95,0.050000
shadcn-ui,ui,shadcn-ui/ui,4234,https://github.com/shadcn-ui/ui/pull/4234,fix type import in toggle-group.tsx,MERGED,2024-07-09T14:08:30Z,2024-07-10T14:14:27Z,2024-07-10T14:14:27Z,24.099167,47,5,5,5,10,5,0,5,1,2,APPROVED,positive,APPROVED,shadcn,yes,liruifengv,2024-07-10T12:40:39Z,3977,10,95,0.050000
shadcn-ui,ui,shadcn-ui/ui,1438,https://github.com/shadcn-ui/ui/pull/1438,fix: identical interface and function name,MERGED,2023-09-04T03:29:12Z,2023-09-18T12:31:22Z,2023-09-18T12:31:22Z,345.036111,132,1,2,2,4,2,0,2,1,2,APPROVED,positive,APPROVED,shadcn,yes,wobsoriano,2023-09-18T12:31:22Z,3977,10,95,0.050000
