owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
sindresorhus,awesome-nodejs,sindresorhus/awesome-nodejs,1346,https://github.com/sindresorhus/awesome-nodejs/pull/1346,Add Neurolink to Mad science section,OPEN,2025-10-18T05:43:46Z,2026-04-02T16:28:44Z,2026-04-02T16:28:44Z,3994.749444,1162,1,2,1,3,0,0,0,0,1,NO_REVIEW,no_review,,,no,murdore,,1187,10,95,0.050000
sindresorhus,awesome-nodejs,sindresorhus/awesome-nodejs,1028,https://github.com/sindresorhus/awesome-nodejs/pull/1028,Add Sails web framework,CLOSED,2020-03-15T18:45:10Z,2020-03-15T18:52:00Z,2020-03-15T18:52:00Z,0.113889,342,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,deniskorobicyn,,1187,10,95,0.050000
sindresorhus,awesome-nodejs,sindresorhus/awesome-nodejs,970,https://github.com/sindresorhus/awesome-nodejs/pull/970,Add Charge,MERGED,2019-09-13T17:51:47Z,2019-09-23T14:38:59Z,2019-09-23T14:38:59Z,236.786667,1519,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,brandonweiss,2019-09-23T11:18:26Z,1187,10,95,0.050000
sindresorhus,awesome-nodejs,sindresorhus/awesome-nodejs,678,https://github.com/sindresorhus/awesome-nodejs/pull/678,* Add Trino,CLOSED,2017-03-26T10:48:03Z,2017-03-26T11:34:29Z,2017-03-26T11:34:29Z,0.773889,243,1,1,0,1,3,0,3,0,1,NO_REVIEW,no_review,,,no,eneserdogan,,1187,10,95,0.050000
sindresorhus,awesome-nodejs,sindresorhus/awesome-nodejs,576,https://github.com/sindresorhus/awesome-nodejs/pull/576,Add ajv,MERGED,2016-09-08T21:05:34Z,2016-09-09T14:52:47Z,2016-09-09T14:52:47Z,17.786944,27,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,epoberezkin,2016-09-09T10:17:37Z,1187,10,95,0.050000
sindresorhus,awesome-nodejs,sindresorhus/awesome-nodejs,512,https://github.com/sindresorhus/awesome-nodejs/pull/512,"Add ""Secure Your Node.js Web Application"" book ",CLOSED,2016-05-18T07:56:44Z,2016-05-18T08:21:38Z,2016-05-18T08:21:38Z,0.415000,130,1,2,0,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,MykytaLiashenko,,1187,10,95,0.050000
sindresorhus,awesome-nodejs,sindresorhus/awesome-nodejs,351,https://github.com/sindresorhus/awesome-nodejs/pull/351,Add `probe-image-size`,MERGED,2015-09-11T23:14:32Z,2015-09-12T04:16:33Z,2015-09-12T04:16:33Z,5.033611,415,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,puzrin,2015-09-12T04:16:33Z,1187,10,95,0.050000
sindresorhus,awesome-nodejs,sindresorhus/awesome-nodejs,295,https://github.com/sindresorhus/awesome-nodejs/pull/295,Add ObjectEventTarget,CLOSED,2015-06-12T17:20:31Z,2015-06-15T21:53:17Z,2015-06-15T21:53:17Z,76.546111,495,1,2,0,2,2,0,2,0,1,NO_REVIEW,no_review,,,no,gartz,,1187,10,95,0.050000
sindresorhus,awesome-nodejs,sindresorhus/awesome-nodejs,235,https://github.com/sindresorhus/awesome-nodejs/pull/235,Added cfonts,MERGED,2015-01-19T05:46:32Z,2015-01-19T05:53:31Z,2015-01-19T05:53:31Z,0.116389,0,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,dominikwilkowski,2015-01-19T05:51:42Z,1187,10,95,0.050000
sindresorhus,awesome-nodejs,sindresorhus/awesome-nodejs,22,https://github.com/sindresorhus/awesome-nodejs/pull/22,Added loadtest,CLOSED,2014-07-15T00:55:02Z,2014-07-19T17:56:43Z,2014-07-19T17:56:43Z,113.028056,196,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,alexfernandez,,1187,10,95,0.050000
