owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
sindresorhus,awesome,sindresorhus/awesome,4115,https://github.com/sindresorhus/awesome/pull/4115,Add ai-skill to CLI AI tools,open,2026-04-24T06:55:15Z,2026-04-28T21:03:38Z,2026-04-28T21:03:38Z,110.139722,37,1,1,0,1,1,2,3,2,3,COMMENTED,neutral,COMMENTED|COMMENTED,wrightderek658-cell|karthikeyayepuganti-eng,yes,wangzaiwang-hub,,2387,300,95,0.050000
sindresorhus,awesome,sindresorhus/awesome,4019,https://github.com/sindresorhus/awesome/pull/4019,Add Hacking Training,open,2026-03-20T23:50:02Z,2026-04-23T13:11:57Z,2026-04-23T13:11:57Z,805.365278,9420,1,1,0,1,21,2,23,2,3,COMMENTED,neutral,COMMENTED|COMMENTED,rxxturn|sharf-shawon,yes,Smithech,,2387,300,95,0.050000
sindresorhus,awesome,sindresorhus/awesome,3980,https://github.com/sindresorhus/awesome/pull/3980,Add RISC-V,open,2026-03-04T03:36:42Z,2026-04-21T02:02:06Z,2026-04-21T02:02:06Z,1150.423333,9382,1,1,0,1,12,1,13,4,5,COMMENTED,neutral,APPROVED|COMMENTED|COMMENTED|COMMENTED,AndrejOrsula|wolffcatskyy|tahayigitmelek|nkrusch,yes,suryakantamangaraj,,2387,300,95,0.050000
sindresorhus,awesome,sindresorhus/awesome,4091,https://github.com/sindresorhus/awesome/pull/4091,Added machine learning resource,closed,2026-04-12T04:42:25Z,2026-04-12T04:44:16Z,2026-04-12T04:44:16Z,0.030833,8963,1,1,0,1,0,1,1,0,1,NO_REVIEW,no_review,COMMENTED,,no,sharvanimarne,,2387,300,95,0.050000
sindresorhus,awesome,sindresorhus/awesome,3564,https://github.com/sindresorhus/awesome/pull/3564,Add FilamentPHP,open,2025-07-29T03:53:31Z,2026-04-08T13:12:33Z,2026-04-08T13:12:33Z,6081.317222,9151,1,1,0,1,8,2,10,7,5,APPROVED,positive,APPROVED|COMMENTED|COMMENTED|COMMENTED|CHANGES_REQUESTED|APPROVED|APPROVED,hirokoni2025|lempuyangcintaku-blip|lempuyangcintaku-blip|lempuyangcintaku-blip|bl-ue|bl-ue|Nikki1980,yes,damian-developer,,2387,300,95,0.050000
sindresorhus,awesome,sindresorhus/awesome,4072,https://github.com/sindresorhus/awesome/pull/4072,Add Object Storage,closed,2026-04-04T18:17:10Z,2026-04-04T18:25:55Z,2026-04-04T18:25:55Z,0.145833,299,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,esteininger,,2387,300,95,0.050000
sindresorhus,awesome,sindresorhus/awesome,3626,https://github.com/sindresorhus/awesome/pull/3626,Add Azure OpenAI & Copilot,open,2025-09-05T14:32:20Z,2026-04-02T16:30:46Z,2026-04-02T16:30:46Z,5017.973889,9136,1,1,0,1,17,8,25,10,7,COMMENTED,neutral,APPROVED|APPROVED|APPROVED|APPROVED|CHANGES_REQUESTED|CHANGES_REQUESTED|APPROVED|APPROVED|COMMENTED|COMMENTED,jabari-max|ryanlua|gauravsahu-c|aorumbayev|aorumbayev|aorumbayev|aorumbayev|binho056-svg|rockybumpus84-crypto|rockybumpus84-crypto,yes,kimtth,,2387,300,95,0.050000
sindresorhus,awesome,sindresorhus/awesome,3672,https://github.com/sindresorhus/awesome/pull/3672,Add Terminals AI,open,2025-10-03T01:57:07Z,2026-04-02T16:30:45Z,2026-04-02T16:30:45Z,4358.560556,8436,1,1,0,1,25,7,32,3,4,APPROVED,positive,APPROVED|APPROVED|APPROVED,sahil3120|sozua|aayush-debug,yes,yesw2000,,2387,300,95,0.050000
sindresorhus,awesome,sindresorhus/awesome,4040,https://github.com/sindresorhus/awesome/pull/4040,Add CrowdSec,closed,2026-03-25T00:19:37Z,2026-04-01T21:04:48Z,2026-04-01T21:04:48Z,188.753056,1180,1,1,0,1,5,0,5,2,3,COMMENTED,neutral,COMMENTED|COMMENTED,gmelodie|suryakantamangaraj,yes,wolffcatskyy,,2387,300,95,0.050000
sindresorhus,awesome,sindresorhus/awesome,3788,https://github.com/sindresorhus/awesome/pull/3788,Add Digital Nomad resource link to README,closed,2025-11-25T18:03:52Z,2026-04-01T15:22:22Z,2026-04-01T15:22:22Z,3045.308333,9126,1,1,0,1,5,0,5,8,8,COMMENTED,neutral,APPROVED|APPROVED|APPROVED|APPROVED|APPROVED|APPROVED|APPROVED|COMMENTED,kilinckeskin86-dot|luisangeldiasbautista-jpg|vasanthn258-eng|vasanthn258-eng|godzeeofficial02-blip|mehmetdelice83-cloud|adedejit548-creator|aliammari1,yes,XxKaliCharanxX,,2387,300,95,0.050000
