owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
socketio,socket.io,socketio/socket.io,5278,https://github.com/socketio/socket.io/pull/5278,Front end,CLOSED,2025-01-19T19:50:03Z,2025-03-11T13:01:21Z,2025-03-11T13:01:21Z,1217.188333,219,2,14,0,14,2,0,2,0,1,NO_REVIEW,no_review,,,no,dinamanukyan,,908,10,95,0.050000
socketio,socket.io,socketio/socket.io,5158,https://github.com/socketio/socket.io/pull/5158,fix: track socket before run middlewares,CLOSED,2024-08-07T09:35:40Z,2024-09-21T06:20:59Z,2024-09-21T06:20:59Z,1076.755278,317,1,3,3,6,1,0,1,1,2,COMMENTED,neutral,COMMENTED,darrachequesne,yes,TXWSLYF,,908,10,95,0.050000
socketio,socket.io,socketio/socket.io,2960,https://github.com/socketio/socket.io/pull/2960,Update webpack example,MERGED,2017-06-03T11:47:16Z,2017-06-13T05:52:09Z,2017-06-13T05:52:09Z,234.081389,221,6,45,13,58,0,0,0,1,1,COMMENTED,neutral,COMMENTED,darrachequesne,yes,darrachequesne,2017-06-03T11:53:03Z,908,10,95,0.050000
socketio,socket.io,socketio/socket.io,2601,https://github.com/socketio/socket.io/pull/2601,Server supports all event emitter methods,MERGED,2016-06-28T07:06:14Z,2016-11-20T03:29:24Z,2016-11-20T03:29:24Z,3476.386111,164,1,6,1,7,1,0,1,0,1,NO_REVIEW,no_review,,,no,perrin4869,2016-11-05T00:14:21Z,908,10,95,0.050000
socketio,socket.io,socketio/socket.io,2422,https://github.com/socketio/socket.io/pull/2422,Fix for Issue #331 on socket.io-client,MERGED,2016-01-31T07:48:43Z,2016-11-02T08:09:43Z,2016-11-02T08:09:43Z,6624.350000,95,5,41,10,51,2,0,2,0,1,NO_REVIEW,no_review,,,no,zweihan,2016-04-11T15:44:59Z,908,10,95,0.050000
socketio,socket.io,socketio/socket.io,792,https://github.com/socketio/socket.io/pull/792,Event Middleware Injection,CLOSED,2012-03-14T18:36:04Z,2014-09-03T20:07:15Z,2014-09-03T20:07:15Z,21673.519722,329,2,22,1,23,2,0,2,0,1,NO_REVIEW,no_review,,,no,ghophp,,908,10,95,0.050000
socketio,socket.io,socketio/socket.io,1306,https://github.com/socketio/socket.io/pull/1306,Update socket.io.js,CLOSED,2013-08-29T19:09:44Z,2014-07-11T08:22:49Z,2014-07-11T08:22:49Z,7573.218056,0,1,1,649,650,0,0,0,0,1,NO_REVIEW,no_review,,,no,XenYo91,,908,10,95,0.050000
socketio,socket.io,socketio/socket.io,52,https://github.com/socketio/socket.io/pull/52,Added a second example using channels and has a basic API,CLOSED,2010-09-17T03:22:54Z,2014-06-30T21:20:37Z,2014-06-30T21:20:37Z,33185.961944,93,4,323,0,323,1,0,1,0,1,NO_REVIEW,no_review,,,no,wm,,908,10,95,0.050000
socketio,socket.io,socketio/socket.io,1323,https://github.com/socketio/socket.io/pull/1323,"Memory leak : If a lot of connections continue being disconnected, a memory will leak.",MERGED,2013-10-08T16:32:34Z,2014-06-13T04:31:27Z,2014-06-13T04:31:27Z,5939.981389,215,1,2,2,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,tico8,2013-10-09T15:32:45Z,908,10,95,0.050000
socketio,socket.io,socketio/socket.io,303,https://github.com/socketio/socket.io/pull/303,Redis#has/del,CLOSED,2011-06-28T19:19:16Z,2011-07-10T19:36:10Z,2011-07-10T19:36:10Z,288.281667,0,1,48,20,68,2,0,2,0,1,NO_REVIEW,no_review,,,no,dvv,,908,10,95,0.050000
