owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
strapi,strapi,strapi/strapi,25025,https://github.com/strapi/strapi/pull/25025,chore(.cursor): add worktrees support,MERGED,2025-12-11T16:24:29Z,2025-12-12T10:19:15Z,2025-12-12T10:19:15Z,17.912778,449,1,3,0,3,1,0,1,4,2,COMMENTED,neutral,COMMENTED|COMMENTED|APPROVED|COMMENTED,innerdvations|nclsndr|innerdvations|nclsndr,yes,nclsndr,2025-12-12T10:19:13Z,12822,10,95,0.050000
strapi,strapi,strapi/strapi,20958,https://github.com/strapi/strapi/pull/20958,fix(content-manager): dont perform unnecessary requests,MERGED,2024-08-07T08:39:42Z,2024-08-09T08:02:52Z,2024-08-09T08:02:52Z,47.386111,488,1,4,3,7,0,0,0,4,3,APPROVED,positive,COMMENTED|COMMENTED|APPROVED|APPROVED,madhurisandbhor|Feranchz|madhurisandbhor|simotae14,yes,Feranchz,2024-08-09T08:02:49Z,12822,10,95,0.050000
strapi,strapi,strapi/strapi,20357,https://github.com/strapi/strapi/pull/20357,feat: content releases settings permissions,MERGED,2024-05-23T13:39:18Z,2024-05-29T14:41:22Z,2024-05-29T14:41:22Z,145.034444,106,3,134,12,146,1,0,1,2,3,APPROVED,positive,APPROVED|APPROVED,remidej|Feranchz,yes,Marc-Roig,2024-05-29T14:41:18Z,12822,10,95,0.050000
strapi,strapi,strapi/strapi,16211,https://github.com/strapi/strapi/pull/16211,FIX: file separator for windows OS during import backup from local file,CLOSED,2023-03-26T09:52:09Z,2023-04-21T19:28:41Z,2023-04-21T19:28:41Z,633.608889,359,1,1,1,2,2,0,2,0,1,NO_REVIEW,no_review,,,no,Hi-Pyncho,,12822,10,95,0.050000
strapi,strapi,strapi/strapi,15125,https://github.com/strapi/strapi/pull/15125,[features][authLogo] Update tracking events,MERGED,2022-12-08T09:44:29Z,2022-12-09T09:28:52Z,2022-12-09T09:28:52Z,23.739722,103,2,17,3,20,1,0,1,1,2,APPROVED,positive,APPROVED,joshuaellis,yes,ronronscelestes,2022-12-09T09:28:50Z,12822,10,95,0.050000
strapi,strapi,strapi/strapi,11245,https://github.com/strapi/strapi/pull/11245,Bump parts to alpha 46,MERGED,2021-10-12T12:10:29Z,2021-10-12T12:49:44Z,2021-10-12T12:49:44Z,0.654167,16,9,768,390,1158,1,0,1,1,2,APPROVED,positive,APPROVED,ronronscelestes,yes,mfrachet,2021-10-12T12:49:42Z,12822,10,95,0.050000
strapi,strapi,strapi/strapi,9074,https://github.com/strapi/strapi/pull/9074,Update strapi-admin Japanese translation,MERGED,2021-01-09T06:37:49Z,2021-01-23T03:01:34Z,2021-01-23T03:01:34Z,332.395833,734,1,82,1,83,3,0,3,1,2,APPROVED,positive,APPROVED,alexandrebodin,yes,gh640,2021-01-22T18:14:37Z,12822,10,95,0.050000
strapi,strapi,strapi/strapi,7814,https://github.com/strapi/strapi/pull/7814,Update controllers.md,MERGED,2020-09-09T10:08:08Z,2020-09-14T07:51:27Z,2020-09-14T07:51:27Z,117.721944,60,1,1,1,2,1,0,1,1,2,APPROVED,positive,APPROVED,derrickmehaffy,yes,kuldipem,2020-09-14T07:37:08Z,12822,10,95,0.050000
strapi,strapi,strapi/strapi,5073,https://github.com/strapi/strapi/pull/5073,Fixes #5054,MERGED,2020-01-23T14:43:10Z,2020-01-24T09:45:32Z,2020-01-24T09:45:32Z,19.039444,504,3,71,52,123,1,0,1,1,2,APPROVED,positive,APPROVED,HichamELBSI,yes,soupette,2020-01-24T09:44:42Z,12822,10,95,0.050000
strapi,strapi,strapi/strapi,653,https://github.com/strapi/strapi/pull/653,polish language,MERGED,2018-02-15T16:23:26Z,2018-02-16T14:37:51Z,2018-02-16T14:37:51Z,22.240278,0,7,1156,1,1157,1,0,1,1,2,APPROVED,positive,APPROVED,soupette,yes,oritwoen,2018-02-16T14:37:51Z,12822,10,95,0.050000
