owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
syncthing,syncthing,syncthing/syncthing,10220,https://github.com/syncthing/syncthing/pull/10220,feat: switch logging framework,MERGED,2025-07-27T20:34:29Z,2025-08-12T06:14:04Z,2025-08-12T06:14:04Z,369.659722,3592,149,1797,2641,4438,4,0,4,5,3,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,acolomb|rasa|rasa|rasa|rasa,yes,calmh,2025-08-07T09:19:37Z,4682,10,95,0.050000
syncthing,syncthing,syncthing/syncthing,9425,https://github.com/syncthing/syncthing/pull/9425,Extract session store,MERGED,2024-02-18T22:05:00Z,2025-04-09T18:48:49Z,2025-04-09T18:48:49Z,9980.730278,2149,4,191,83,274,2,0,2,2,2,APPROVED,positive,COMMENTED|APPROVED,calmh|calmh,yes,emlun,2024-03-21T12:09:47Z,4682,10,95,0.050000
syncthing,syncthing,syncthing/syncthing,7431,https://github.com/syncthing/syncthing/pull/7431,cmd/syncthing: Set flag defaults through kong vars,MERGED,2021-03-04T22:53:10Z,2022-08-11T07:17:45Z,2022-08-11T07:17:45Z,12584.409722,206,1,16,14,30,0,0,0,2,2,APPROVED,positive,COMMENTED|APPROVED,calmh|calmh,yes,imsodin,2021-03-05T07:06:55Z,4682,10,95,0.050000
syncthing,syncthing,syncthing/syncthing,7484,https://github.com/syncthing/syncthing/pull/7484,cmd/syncthing/cli: Remove db reset and adjust others,MERGED,2021-03-16T09:10:34Z,2022-08-11T07:16:53Z,2022-08-11T07:16:53Z,12310.105278,250,2,2,7,9,3,0,3,1,2,APPROVED,positive,APPROVED,AudriusButkevicius,yes,imsodin,2021-03-17T08:06:37Z,4682,10,95,0.050000
syncthing,syncthing,syncthing/syncthing,7616,https://github.com/syncthing/syncthing/pull/7616,build: Bump golang.org/x/text from 0.3.4 to 0.3.6,CLOSED,2021-04-29T19:42:45Z,2022-08-11T07:14:41Z,2022-08-11T07:14:41Z,11243.532222,2057,2,3,3,6,1,0,1,0,1,NO_REVIEW,no_review,,,no,dependabot,,4682,10,95,0.050000
syncthing,syncthing,syncthing/syncthing,6191,https://github.com/syncthing/syncthing/pull/6191,Bump Syncthing version in GitHub issue template,MERGED,2019-11-26T08:09:45Z,2020-11-26T07:02:49Z,2020-11-26T07:02:49Z,8782.884444,129,1,1,1,2,1,0,1,1,2,APPROVED,positive,APPROVED,AudriusButkevicius,yes,Otiel,2019-11-26T08:25:51Z,4682,10,95,0.050000
syncthing,syncthing,syncthing/syncthing,3464,https://github.com/syncthing/syncthing/pull/3464,Correct handling of ignores with delta indexes,CLOSED,2016-07-30T08:30:28Z,2017-08-05T08:13:07Z,2017-08-05T08:13:07Z,8903.710833,272,9,151,131,282,15,0,15,0,1,NO_REVIEW,no_review,,,no,calmh,,4682,10,95,0.050000
syncthing,syncthing,syncthing/syncthing,2206,https://github.com/syncthing/syncthing/pull/2206,Allow -logfile on all platforms (fixes #2004),MERGED,2015-08-27T17:12:08Z,2017-06-16T21:05:23Z,2017-06-16T21:05:23Z,15819.887500,0,2,6,10,16,0,0,0,0,1,NO_REVIEW,no_review,,,no,calmh,2015-08-27T17:23:03Z,4682,10,95,0.050000
syncthing,syncthing,syncthing/syncthing,865,https://github.com/syncthing/syncthing/pull/865,Remove extra byte from the version string (ref #862),CLOSED,2014-10-15T15:19:32Z,2017-06-16T21:11:46Z,2017-06-16T21:11:46Z,23405.870556,34,1,1,0,1,2,0,2,0,1,NO_REVIEW,no_review,,,no,AudriusButkevicius,,4682,10,95,0.050000
syncthing,syncthing,syncthing/syncthing,155,https://github.com/syncthing/syncthing/pull/155,"Add favicon, generated from the projet logo.",MERGED,2014-04-24T08:40:52Z,2017-06-17T00:15:51Z,2017-06-17T00:15:51Z,27591.583056,54,2,2,0,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,rolinh,2014-04-24T10:56:01Z,4682,10,95,0.050000
