owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
tauri-apps,tauri,tauri-apps/tauri,10462,https://github.com/tauri-apps/tauri/pull/10462,chore: Update dev container configuration,OPEN,2024-08-03T07:06:16Z,2025-01-26T07:08:37Z,2025-01-26T07:08:37Z,4224.039167,384,4,72,40,112,2,0,2,0,1,NO_REVIEW,no_review,,,no,deadmeu,,6459,10,95,0.050000
tauri-apps,tauri,tauri-apps/tauri,8031,https://github.com/tauri-apps/tauri/pull/8031,chore: bump MSRV to 1.70,MERGED,2023-10-17T11:29:50Z,2023-10-17T14:08:16Z,2023-10-17T14:08:16Z,2.640556,596,21,45,37,82,3,0,3,1,2,APPROVED,positive,APPROVED,amrbashir,yes,lucasfernog,2023-10-17T14:08:15Z,6459,10,95,0.050000
tauri-apps,tauri,tauri-apps/tauri,7164,https://github.com/tauri-apps/tauri/pull/7164,feat(android): disable action bar in `themes.xml`,MERGED,2023-06-08T11:39:51Z,2023-06-16T16:02:18Z,2023-06-16T16:02:18Z,196.374167,596,1,1,11,12,7,0,7,2,3,APPROVED,positive,DISMISSED|APPROVED,wusyong|lucasfernog,yes,amrbashir,2023-06-16T16:02:11Z,6459,10,95,0.050000
tauri-apps,tauri,tauri-apps/tauri,7018,https://github.com/tauri-apps/tauri/pull/7018,feat(bundler/NSIS): Add Turkish to supported NSIS languages,MERGED,2023-05-20T13:50:00Z,2023-05-21T16:15:18Z,2023-05-21T16:15:18Z,26.421667,596,3,39,0,39,4,0,4,1,2,APPROVED,positive,APPROVED,amrbashir,yes,agmmnn,2023-05-21T16:15:17Z,6459,10,95,0.050000
tauri-apps,tauri,tauri-apps/tauri,2058,https://github.com/tauri-apps/tauri/pull/2058,fix(core): register `tauri` URI scheme protocol only once,CLOSED,2021-06-23T19:04:57Z,2023-05-07T18:33:06Z,2023-05-07T18:33:06Z,16391.469167,783,3,15,4,19,0,0,0,0,1,NO_REVIEW,no_review,,,no,lucasfernog,,6459,10,95,0.050000
tauri-apps,tauri,tauri-apps/tauri,6232,https://github.com/tauri-apps/tauri/pull/6232,fix(cli): ignore the `gen` folder on the dev watcher,MERGED,2023-02-09T17:23:54Z,2023-02-09T17:50:36Z,2023-02-09T17:50:36Z,0.445000,596,3,8,1,9,0,0,0,0,1,NO_REVIEW,no_review,,,no,lucasfernog,2023-02-09T17:50:34Z,6459,10,95,0.050000
tauri-apps,tauri,tauri-apps/tauri,6036,https://github.com/tauri-apps/tauri/pull/6036,docs(config): fix the wrong type of WindowsConfig,CLOSED,2023-01-11T13:43:06Z,2023-01-11T13:49:34Z,2023-01-11T13:49:34Z,0.107778,596,1,1,1,2,0,0,0,2,2,COMMENTED,neutral,COMMENTED|COMMENTED,amrbashir|Priestch,yes,Priestch,,6459,10,95,0.050000
tauri-apps,tauri,tauri-apps/tauri,4436,https://github.com/tauri-apps/tauri/pull/4436,chore(deps) Update dependency prettier to v2.7.1,MERGED,2022-06-22T05:42:55Z,2022-06-24T03:10:43Z,2022-06-24T03:10:43Z,45.463333,739,2,5,5,10,0,0,0,0,1,NO_REVIEW,no_review,,,no,renovate,2022-06-24T03:10:41Z,6459,10,95,0.050000
tauri-apps,tauri,tauri-apps/tauri,2447,https://github.com/tauri-apps/tauri/pull/2447,feat: Add WebRTC example,MERGED,2021-08-16T12:25:54Z,2022-06-22T07:03:12Z,2022-06-22T07:03:12Z,7434.621667,789,6,87,9,96,1,0,1,1,2,APPROVED,positive,APPROVED,lucasfernog,yes,lemarier,2021-08-16T13:46:41Z,6459,10,95,0.050000
tauri-apps,tauri,tauri-apps/tauri,386,https://github.com/tauri-apps/tauri/pull/386,chore(examples) Update Rust crate serde_json to 1.0.46,MERGED,2020-02-05T05:50:35Z,2022-06-22T07:02:37Z,2022-06-22T07:02:37Z,20833.200556,520,3,5,5,10,1,0,1,1,2,APPROVED,positive,APPROVED,tensor-programming,yes,renovate,2020-02-05T23:59:13Z,6459,10,95,0.050000
