owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
tonsky,FiraCode,tonsky/FiraCode,1649,https://github.com/tonsky/FiraCode/pull/1649,Add: Brazilian Portuguese README,MERGED,2025-05-05T06:09:29Z,2025-05-05T12:49:36Z,2025-05-05T12:49:36Z,6.668611,343,14,279,3,282,1,0,1,0,1,NO_REVIEW,no_review,,,no,kau19an,2025-05-05T12:49:30Z,207,10,95,0.050000
tonsky,FiraCode,tonsky/FiraCode,1615,https://github.com/tonsky/FiraCode/pull/1615,Erlang compatibility for List Pattern Matching,MERGED,2024-10-16T15:24:03Z,2024-11-04T13:19:47Z,2024-11-04T13:19:47Z,453.928889,78,2,4,1,5,4,0,4,0,1,NO_REVIEW,no_review,,,no,m-2k,2024-11-04T13:19:41Z,207,10,95,0.050000
tonsky,FiraCode,tonsky/FiraCode,1480,https://github.com/tonsky/FiraCode/pull/1480,Add local sources first,CLOSED,2022-10-31T13:23:00Z,2022-11-01T14:29:39Z,2022-11-01T14:29:39Z,25.110833,575,1,14,6,20,1,0,1,0,1,NO_REVIEW,no_review,,,no,arnoesterhuizen,,207,10,95,0.050000
tonsky,FiraCode,tonsky/FiraCode,1451,https://github.com/tonsky/FiraCode/pull/1451,wiki Chinese translation,CLOSED,2022-08-02T11:16:10Z,2022-08-02T19:54:01Z,2022-08-02T19:54:01Z,8.630833,113,2,81,0,81,1,0,1,0,1,NO_REVIEW,no_review,,,no,ACnoway,,207,10,95,0.050000
tonsky,FiraCode,tonsky/FiraCode,1438,https://github.com/tonsky/FiraCode/pull/1438,Move Godot to supported,MERGED,2022-07-11T15:03:18Z,2022-07-13T18:52:43Z,2022-07-13T18:52:43Z,51.823611,127,1,7,6,13,1,0,1,2,2,COMMENTED,neutral,CHANGES_REQUESTED|COMMENTED,wopian|ShalokShalom,yes,ShalokShalom,2022-07-13T18:52:38Z,207,10,95,0.050000
tonsky,FiraCode,tonsky/FiraCode,1341,https://github.com/tonsky/FiraCode/pull/1341,Update README.md,MERGED,2021-12-20T05:45:54Z,2021-12-20T11:59:38Z,2021-12-20T11:59:38Z,6.228889,8,1,2,0,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,moshuying,2021-12-20T11:59:32Z,207,10,95,0.050000
tonsky,FiraCode,tonsky/FiraCode,998,https://github.com/tonsky/FiraCode/pull/998,Updated README Browser Support to version 3,MERGED,2020-04-13T09:11:51Z,2020-04-13T13:49:59Z,2020-04-13T13:49:59Z,4.635556,69,1,2,2,4,1,0,1,0,1,NO_REVIEW,no_review,,,no,smacintyre,2020-04-13T13:49:55Z,207,10,95,0.050000
tonsky,FiraCode,tonsky/FiraCode,56,https://github.com/tonsky/FiraCode/pull/56,readme: add support instructions for emacs,CLOSED,2015-10-16T18:52:20Z,2018-04-08T10:08:40Z,2018-04-08T10:08:40Z,21711.272222,125,1,30,1,31,3,0,3,0,1,NO_REVIEW,no_review,,,no,seanfarley,,207,10,95,0.050000
tonsky,FiraCode,tonsky/FiraCode,432,https://github.com/tonsky/FiraCode/pull/432,Remove [] ligature from specimen,MERGED,2017-05-31T17:47:34Z,2017-05-31T17:51:19Z,2017-05-31T17:51:19Z,0.062500,0,1,8,8,16,1,0,1,0,1,NO_REVIEW,no_review,,,no,j-f1,2017-05-31T17:50:05Z,207,10,95,0.050000
tonsky,FiraCode,tonsky/FiraCode,394,https://github.com/tonsky/FiraCode/pull/394,Add leading and trailing pipes to tables in readme.md,MERGED,2017-03-25T09:24:04Z,2017-03-25T18:52:24Z,2017-03-25T18:52:24Z,9.472222,691,1,57,57,114,2,0,2,0,1,NO_REVIEW,no_review,,,no,sainaen,2017-03-25T15:05:36Z,207,10,95,0.050000
