owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,2120,https://github.com/trekhleb/javascript-algorithms/pull/2120,docs: fix permutations README grammar,open,2026-03-18T18:39:43Z,2026-04-26T16:52:54Z,2026-04-26T16:52:54Z,934.219722,425,1,2,2,4,0,0,0,2,3,APPROVED,positive,APPROVED|APPROVED,lisagorewitdecker|andrzejsydor,yes,DeoJin,,829,263,95,0.050000
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,1039,https://github.com/trekhleb/javascript-algorithms/pull/1039,Bun hab/read in khmer,closed,2023-05-26T03:30:00Z,2026-04-05T08:44:50Z,2026-04-05T08:44:50Z,25085.247222,40,6,452,2,454,0,0,0,0,1,NO_REVIEW,no_review,,,no,l-maridaa,,829,263,95,0.050000
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,1036,https://github.com/trekhleb/javascript-algorithms/pull/1036,Adding Khmer language README,closed,2023-05-04T18:57:16Z,2026-04-05T08:44:50Z,2026-04-05T08:44:50Z,25597.792778,183,8,495,2,497,0,0,0,0,1,NO_REVIEW,no_review,,,no,BunHab,,829,263,95,0.050000
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,2127,https://github.com/trekhleb/javascript-algorithms/pull/2127,fix: pin 1 unpinned action(s),closed,2026-03-26T06:07:32Z,2026-03-26T21:22:17Z,2026-03-26T21:22:17Z,15.245833,2145,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,dagecko,,829,263,95,0.050000
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,2119,https://github.com/trekhleb/javascript-algorithms/pull/2119,fix: correct broken permutations README image,open,2026-03-18T16:29:40Z,2026-03-18T16:29:40Z,2026-03-18T16:29:40Z,0.000000,385,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,DeoJin,,829,263,95,0.050000
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,2117,https://github.com/trekhleb/javascript-algorithms/pull/2117,fix(tree): preserve parent pointer in replaceChild,open,2026-03-17T09:44:31Z,2026-03-17T09:44:31Z,2026-03-17T09:44:31Z,0.000000,894,2,3,0,3,0,0,0,0,1,NO_REVIEW,no_review,,,no,DeoJin,,829,263,95,0.050000
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,2113,https://github.com/trekhleb/javascript-algorithms/pull/2113,fix comparator name in remove method,closed,2026-03-11T11:20:55Z,2026-03-16T19:07:57Z,2026-03-16T19:07:57Z,127.783889,274,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,zamadye,,829,263,95,0.050000
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,2111,https://github.com/trekhleb/javascript-algorithms/pull/2111,fix(detect-cycle): add JSDoc return type and improve early-exit comments in detectUndirectedCycle,open,2026-03-04T17:48:55Z,2026-03-04T17:48:55Z,2026-03-04T17:48:55Z,0.000000,861,1,10,2,12,0,0,0,0,1,NO_REVIEW,no_review,,,no,gb3335,,829,263,95,0.050000
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,2106,https://github.com/trekhleb/javascript-algorithms/pull/2106,fix: update tail when inserting at the end of LinkedList,open,2026-02-15T08:33:50Z,2026-03-01T02:03:14Z,2026-03-01T02:03:14Z,329.490000,1050,2,57,19,76,0,0,0,0,1,NO_REVIEW,no_review,,,no,yorunohoshi,,829,263,95,0.050000
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,2097,https://github.com/trekhleb/javascript-algorithms/pull/2097,docs: Update outdated GitHub Actions versions,closed,2026-01-15T10:23:02Z,2026-02-18T09:25:41Z,2026-02-18T09:25:41Z,815.044167,289,1,3,3,6,1,0,1,2,2,APPROVED,positive,APPROVED|APPROVED,andrzejsydor|andrzejsydor,yes,pgoslatara,,829,263,95,0.050000
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,2107,https://github.com/trekhleb/javascript-algorithms/pull/2107,Upgrade to node 22,closed,2026-02-18T09:17:48Z,2026-02-18T09:20:06Z,2026-02-18T09:20:06Z,0.038333,0,18,5606,11672,17278,0,0,0,0,1,NO_REVIEW,no_review,,,no,trekhleb,2026-02-18T09:20:01Z,829,263,95,0.050000
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,2099,https://github.com/trekhleb/javascript-algorithms/pull/2099,Fix: Optimize Pancake Sort visiting callback count and fix failing tests,open,2026-01-18T14:30:42Z,2026-01-18T15:20:24Z,2026-01-18T15:20:24Z,0.828333,301,9,532,0,532,0,0,0,0,1,NO_REVIEW,no_review,,,no,nirvagold,,829,263,95,0.050000
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,2096,https://github.com/trekhleb/javascript-algorithms/pull/2096,Fixed #1008,open,2026-01-12T18:35:27Z,2026-01-12T18:35:27Z,2026-01-12T18:35:27Z,0.000000,102,3,11,1,12,0,0,0,0,1,NO_REVIEW,no_review,,,no,abdulshaz040905,,829,263,95,0.050000
