owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
trimstray,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,554,https://github.com/trimstray/the-book-of-secret-knowledge/pull/554,feat: add OpenClaw Monitor,open,2026-04-30T10:25:36Z,2026-04-30T10:25:36Z,2026-04-30T10:25:36Z,0.000000,374,1,10,0,10,0,0,0,0,1,NO_REVIEW,no_review,,,no,flik2002,,367,188,95,0.050000
trimstray,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,553,https://github.com/trimstray/the-book-of-secret-knowledge/pull/553,feat: add OpenClaw Monitor — AI monitoring dashboard for AI agents and LLMs,open,2026-04-30T08:06:37Z,2026-04-30T09:34:02Z,2026-04-30T09:34:02Z,1.456944,390,1,2,0,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,flik2002,,367,188,95,0.050000
trimstray,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,547,https://github.com/trimstray/the-book-of-secret-knowledge/pull/547,Added whatpwacando.today to web apps,open,2026-04-12T19:45:03Z,2026-04-28T22:40:24Z,2026-04-28T22:40:24Z,386.922500,46,1,1,0,1,1,1,2,1,2,COMMENTED,neutral,COMMENTED,time2day999,yes,NewOutlaw,,367,188,95,0.050000
trimstray,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,548,https://github.com/trimstray/the-book-of-secret-knowledge/pull/548,Add grugbot420 and Bindboss to CLI Tools,open,2026-04-19T16:48:39Z,2026-04-19T17:56:18Z,2026-04-19T17:56:18Z,1.127500,434,1,2,0,2,0,0,0,2,2,APPROVED,positive,APPROVED|APPROVED,JustinSandjon|JustinSandjon,yes,bad-antics,,367,188,95,0.050000
trimstray,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,544,https://github.com/trimstray/the-book-of-secret-knowledge/pull/544,Add keyFinder to TOP Browser extensions,open,2026-04-08T22:00:14Z,2026-04-19T02:15:50Z,2026-04-19T02:15:50Z,244.260000,756,1,1,0,1,1,0,1,1,2,APPROVED,positive,COMMENTED|APPROVED,micomaco-del,yes,momenbasel,,367,188,95,0.050000
trimstray,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,536,https://github.com/trimstray/the-book-of-secret-knowledge/pull/536,Add FreeToolBox to Web Tools section,open,2026-03-30T02:28:23Z,2026-04-18T17:26:02Z,2026-04-18T17:26:02Z,470.960833,724,1,1,0,1,0,1,1,1,2,APPROVED,positive,APPROVED,moonglowsc0188117-del,yes,WZBbiao,,367,188,95,0.050000
trimstray,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,543,https://github.com/trimstray/the-book-of-secret-knowledge/pull/543,Add VulnHawk - AI-powered code security scanner,open,2026-04-08T21:59:09Z,2026-04-16T10:19:18Z,2026-04-16T10:19:18Z,180.335833,455,1,2,0,2,0,1,1,1,2,APPROVED,positive,COMMENTED|APPROVED,juntinmusical-cyber,yes,momenbasel,,367,188,95,0.050000
trimstray,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,497,https://github.com/trimstray/the-book-of-secret-knowledge/pull/497,"docs: small, helpful improvement by @ex1234",open,2025-10-10T07:36:17Z,2026-04-13T22:42:11Z,2026-04-13T22:42:11Z,4455.098333,82,1,2,0,2,10,3,13,23,20,APPROVED,positive,APPROVED|APPROVED|APPROVED|CHANGES_REQUESTED|APPROVED|APPROVED|APPROVED|APPROVED|APPROVED|APPROVED|APPROVED|APPROVED|APPROVED|APPROVED|CHANGES_REQUESTED|COMMENTED|APPROVED|COMMENTED|APPROVED|APPROVED|COMMENTED|APPROVED|APPROVED,saqibkhaanpk-dot|z7m5j7f9yr-maker|princ985|JairooKlkMk-userr|kisecrow02-sudo|kisecrow02-sudo|sabralnasr0-svg|Jajajajaja51|jesn459|abubakarnuhuidris71-ops|jesn459|luelzelalem848-max|skogherren-coder|OceanWave78|skogherren-coder|alpianrihan-a11y|cmanstud-sys|jesn459|hadiwerwopp20027-ai|harmonseam-max|bitgam81-cpu|olanzo627|yathorn,yes,ex1234,,367,188,95,0.050000
trimstray,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,539,https://github.com/trimstray/the-book-of-secret-knowledge/pull/539,"Add essential developer tools: btop, lazydocker & logai",open,2026-04-04T06:49:22Z,2026-04-08T06:44:10Z,2026-04-08T06:44:10Z,95.913333,646,1,5,0,5,3,0,3,0,1,NO_REVIEW,no_review,,,no,Harsh-pa-thak,,367,188,95,0.050000
trimstray,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,532,https://github.com/trimstray/the-book-of-secret-knowledge/pull/532,Add Plasmate headless browser for AI agents,open,2026-03-28T04:44:12Z,2026-04-05T15:51:01Z,2026-04-05T15:51:01Z,203.113611,564,1,1,0,1,0,0,0,1,2,APPROVED,positive,APPROVED,Alexander1989-hash,yes,dbhurley,,367,188,95,0.050000
