owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
unionlabs,union,unionlabs/union,5249,https://github.com/unionlabs/union/pull/5249,feat(app): add Sui SDK,MERGED,2025-10-20T15:20:13Z,2025-10-20T15:56:26Z,2025-10-20T15:56:26Z,0.603611,0,6,13,1,14,2,0,2,2,3,APPROVED,positive,APPROVED|APPROVED,Caglankaan|benluelo,yes,ehegnes,2025-10-20T15:56:24Z,3501,10,95,0.050000
unionlabs,union,unionlabs/union,5155,https://github.com/unionlabs/union/pull/5155,chore(evm): eU verification script,MERGED,2025-09-13T16:01:55Z,2025-09-13T16:36:12Z,2025-09-13T16:36:12Z,0.571389,0,1,36,0,36,1,0,1,1,2,APPROVED,positive,APPROVED,benluelo,yes,hussein-aitlahcen,2025-09-13T16:36:11Z,3501,10,95,0.050000
unionlabs,union,unionlabs/union,4548,https://github.com/unionlabs/union/pull/4548,voyager metrics improvements,MERGED,2025-05-12T23:21:49Z,2025-05-19T10:29:36Z,2025-05-19T10:29:36Z,155.129722,0,37,379,261,640,1,0,1,1,2,APPROVED,positive,APPROVED,cor,yes,benluelo,2025-05-19T10:29:34Z,3501,10,95,0.050000
unionlabs,union,unionlabs/union,4495,https://github.com/unionlabs/union/pull/4495,Voyager more caching,MERGED,2025-05-01T02:22:29Z,2025-05-01T21:19:13Z,2025-05-01T21:19:13Z,18.945556,14,7,346,114,460,1,0,1,2,3,APPROVED,positive,DISMISSED|APPROVED,hussein-aitlahcen|PoisonPhang,yes,benluelo,2025-05-01T21:19:12Z,3501,10,95,0.050000
unionlabs,union,unionlabs/union,4195,https://github.com/unionlabs/union/pull/4195,chore(deployments): clean up,MERGED,2025-04-07T20:32:47Z,2025-04-07T22:11:59Z,2025-04-07T22:11:59Z,1.653333,0,5,3,410,413,2,0,2,3,2,APPROVED,positive,DISMISSED|APPROVED|APPROVED,qlp|qlp|qlp,yes,benluelo,2025-04-07T22:11:57Z,3501,10,95,0.050000
unionlabs,union,unionlabs/union,2568,https://github.com/unionlabs/union/pull/2568,small app fixes,MERGED,2024-07-25T18:08:42Z,2024-07-25T18:12:58Z,2024-07-25T18:12:58Z,0.071111,119,5,6,4,10,2,0,2,0,1,NO_REVIEW,no_review,,,no,cor,2024-07-25T18:12:57Z,3501,10,95,0.050000
unionlabs,union,unionlabs/union,2072,https://github.com/unionlabs/union/pull/2072,feat(app): faucet fixes,CLOSED,2024-06-08T16:41:40Z,2024-06-08T22:31:01Z,2024-06-08T22:31:01Z,5.822500,137,6,264,261,525,1,0,1,1,2,CHANGES_REQUESTED,negative,CHANGES_REQUESTED,cor,yes,Swepool,,3501,10,95,0.050000
unionlabs,union,unionlabs/union,1916,https://github.com/unionlabs/union/pull/1916,feat: union stargaze partnership post,MERGED,2024-05-16T01:46:10Z,2024-05-16T11:58:23Z,2024-05-16T11:58:23Z,10.203611,0,10,121,10,131,2,0,2,1,2,APPROVED,positive,APPROVED,cor,yes,o-az,2024-05-16T11:58:22Z,3501,10,95,0.050000
unionlabs,union,unionlabs/union,1412,https://github.com/unionlabs/union/pull/1412,feat: poll balance on an interval,MERGED,2024-02-20T09:47:09Z,2024-02-21T17:50:48Z,2024-02-21T17:50:48Z,32.060833,345,17,315,283,598,1,0,1,2,2,APPROVED,positive,APPROVED|APPROVED,cor|cor,yes,o-az,2024-02-21T17:50:47Z,3501,10,95,0.050000
unionlabs,union,unionlabs/union,489,https://github.com/unionlabs/union/pull/489,refactor!: rename prover protos to galois,MERGED,2023-08-14T16:18:59Z,2023-08-16T13:09:25Z,2023-08-16T13:09:25Z,44.840556,0,10,189,185,374,0,0,0,6,4,APPROVED,positive,DISMISSED|COMMENTED|COMMENTED|COMMENTED|APPROVED|APPROVED,cor|KaiserKarel|benluelo|benluelo|aeryz|cor,yes,benluelo,2023-08-16T13:09:24Z,3501,10,95,0.050000
