owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
unslothai,unsloth,unslothai/unsloth,5300,https://github.com/unslothai/unsloth/pull/5300,fix(install): harden AMD ROCm GPU detection for multi-GPU and env-filtered setups,OPEN,2026-05-06T04:36:55Z,2026-05-06T12:18:13Z,2026-05-06T12:18:13Z,7.688333,1475,1,9,3,12,0,0,0,2,3,COMMENTED,neutral,COMMENTED|COMMENTED,chatgpt-codex-connector|gemini-code-assist,yes,LeoBorcherding,,1745,10,95,0.050000
unslothai,unsloth,unslothai/unsloth,5006,https://github.com/unslothai/unsloth/pull/5006,Studio: Polish API key copy button and harden async clipboard fallback,MERGED,2026-04-13T22:27:26Z,2026-04-14T10:25:51Z,2026-04-14T10:25:51Z,11.973611,576,2,72,29,101,1,0,1,4,4,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED,gemini-code-assist|rolandtannous|rolandtannous|chatgpt-codex-connector,yes,Imagineer99,2026-04-14T10:22:15Z,1745,10,95,0.050000
unslothai,unsloth,unslothai/unsloth,4827,https://github.com/unslothai/unsloth/pull/4827,fix(studio): harden sandbox security for terminal and python tools,MERGED,2026-04-03T12:47:30Z,2026-04-03T20:37:49Z,2026-04-03T20:37:49Z,7.838611,2388,1,466,15,481,10,0,10,21,3,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,gemini-code-assist|chatgpt-codex-connector|gemini-code-assist|chatgpt-codex-connector|chatgpt-codex-connector|gemini-code-assist|chatgpt-codex-connector|gemini-code-assist|chatgpt-codex-connector|gemini-code-assist|gemini-code-assist|chatgpt-codex-connector|gemini-code-assist|chatgpt-codex-connector|chatgpt-codex-connector|gemini-code-assist|chatgpt-codex-connector|gemini-code-assist|chatgpt-codex-connector|chatgpt-codex-connector|chatgpt-codex-connector,yes,danielhanchen,2026-04-03T20:33:43Z,1745,10,95,0.050000
unslothai,unsloth,unslothai/unsloth,4817,https://github.com/unslothai/unsloth/pull/4817,Add tests for simplified llama.cpp install policy (from PR #4804),MERGED,2026-04-03T05:19:40Z,2026-04-03T11:06:16Z,2026-04-03T11:06:16Z,5.776667,627,1,95,21,116,1,0,1,1,2,COMMENTED,neutral,COMMENTED,chatgpt-codex-connector,yes,danielhanchen,2026-04-03T11:06:14Z,1745,10,95,0.050000
unslothai,unsloth,unslothai/unsloth,1487,https://github.com/unslothai/unsloth/pull/1487,Update loader.py,CLOSED,2024-12-29T15:22:39Z,2026-03-12T05:34:49Z,2026-03-12T05:34:49Z,10502.202778,0,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,yavuzselimikizler,,1745,10,95,0.050000
unslothai,unsloth,unslothai/unsloth,1480,https://github.com/unslothai/unsloth/pull/1480,Implementing exaone3.5,CLOSED,2024-12-27T21:03:18Z,2026-03-12T05:34:49Z,2026-03-12T05:34:49Z,10544.525278,432,1,1,1,2,6,0,6,0,1,NO_REVIEW,no_review,,,no,KareemMusleh,,1745,10,95,0.050000
unslothai,unsloth,unslothai/unsloth,2162,https://github.com/unslothai/unsloth/pull/2162,Add flex attention with dynamic sequence length,CLOSED,2025-03-23T11:35:14Z,2026-03-12T05:34:48Z,2026-03-12T05:34:48Z,8489.992778,206,2,16,9,25,0,0,0,0,1,NO_REVIEW,no_review,,,no,Andrew-Zhang,,1745,10,95,0.050000
unslothai,unsloth,unslothai/unsloth,4114,https://github.com/unslothai/unsloth/pull/4114,Fix full-finetuning fp32 precision fallback for issue #4082,CLOSED,2026-02-25T15:50:23Z,2026-03-12T05:10:35Z,2026-03-12T05:10:35Z,349.336667,1252,1,1,0,1,3,0,3,3,4,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED,chatgpt-codex-connector|gemini-code-assist|Datta0,yes,danielhanchen,,1745,10,95,0.050000
unslothai,unsloth,unslothai/unsloth,3715,https://github.com/unslothai/unsloth/pull/3715,[FIX] [Transformers] VLM input embeds fix for gradients,MERGED,2025-12-11T10:36:13Z,2025-12-12T11:33:40Z,2025-12-12T11:33:40Z,24.957500,6512,2,85,28,113,1,0,1,4,3,CHANGES_REQUESTED,negative,COMMENTED|COMMENTED|COMMENTED|CHANGES_REQUESTED,gemini-code-assist|danielhanchen|danielhanchen|danielhanchen,yes,Datta0,2025-12-12T11:33:40Z,1745,10,95,0.050000
unslothai,unsloth,unslothai/unsloth,1970,https://github.com/unslothai/unsloth/pull/1970,Fix python.lang.security.audit.exec-detected.exec-detected,CLOSED,2025-03-11T05:59:15Z,2025-03-12T06:44:50Z,2025-03-12T06:44:50Z,24.759722,69,1,2,1,3,0,0,0,0,1,NO_REVIEW,no_review,,,no,anupamme,,1745,10,95,0.050000
