owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
vercel,next.js,vercel/next.js,92511,https://github.com/vercel/next.js/pull/92511,Node.js streams: Add forkpoint for createCombinedPayloadStream,MERGED,2026-04-08T10:34:51Z,2026-04-30T00:39:14Z,2026-04-30T00:39:14Z,518.073056,118,5,344,55,399,2,0,2,1,2,APPROVED,positive,APPROVED,gnoff,yes,timneutkens,2026-04-15T13:11:39Z,36560,300,95,0.050000
vercel,next.js,vercel/next.js,88222,https://github.com/vercel/next.js/pull/88222,Remove createClientRouterFilter from setup-dev-bundler,CLOSED,2026-01-07T13:52:46Z,2026-04-24T00:36:02Z,2026-04-24T00:36:02Z,2554.721111,241,1,0,24,24,4,0,4,0,1,NO_REVIEW,no_review,,,no,timneutkens,,36560,300,95,0.050000
vercel,next.js,vercel/next.js,92578,https://github.com/vercel/next.js/pull/92578,test: skip .next and other build artifacts in writeFiles filter,MERGED,2026-04-09T14:51:37Z,2026-04-24T00:35:28Z,2026-04-24T00:35:28Z,345.730833,776,1,10,6,16,2,0,2,1,2,APPROVED,positive,APPROVED,ztanner,yes,timneutkens,2026-04-09T15:36:11Z,36560,300,95,0.050000
vercel,next.js,vercel/next.js,93170,https://github.com/vercel/next.js/pull/93170,next: tighten turbo.json inputs for next#build,OPEN,2026-04-23T23:33:12Z,2026-04-24T00:04:25Z,2026-04-24T00:04:25Z,0.520278,1366,1,30,0,30,0,0,0,2,2,COMMENTED,neutral,COMMENTED|COMMENTED,vercel|vercel,yes,feedthejim,,36560,300,95,0.050000
vercel,next.js,vercel/next.js,93032,https://github.com/vercel/next.js/pull/93032,(1/9) Add the basic runtime for app-router fallbacks in `output: 'export'`,OPEN,2026-04-20T03:32:29Z,2026-04-23T21:53:30Z,2026-04-23T21:53:30Z,90.350278,2070,37,2944,129,3073,0,0,0,1,2,COMMENTED,neutral,COMMENTED,lubieowoce,yes,feedthejim,,36560,300,95,0.050000
vercel,next.js,vercel/next.js,91688,https://github.com/vercel/next.js/pull/91688,remove the loop from  StaticSortedFile::lookup,MERGED,2026-03-20T06:06:13Z,2026-04-16T12:25:30Z,2026-04-16T12:25:30Z,654.321389,885,1,37,41,78,5,0,5,1,2,APPROVED,positive,APPROVED,bgw,yes,lukesandberg,2026-04-02T06:29:58Z,36560,300,95,0.050000
vercel,next.js,vercel/next.js,92127,https://github.com/vercel/next.js/pull/92127,ci: relax adapter results upload gate,MERGED,2026-03-30T23:19:15Z,2026-04-14T00:33:41Z,2026-04-14T00:33:41Z,337.240556,342,1,3,3,6,0,0,0,0,1,NO_REVIEW,no_review,,,no,ijjk,2026-03-30T23:22:20Z,36560,300,95,0.050000
vercel,next.js,vercel/next.js,92021,https://github.com/vercel/next.js/pull/92021,fix: resolve app router cache stale-while-revalidate bug,CLOSED,2026-03-28T00:05:20Z,2026-04-11T12:12:12Z,2026-04-11T12:12:12Z,348.114444,250,1,42,0,42,0,0,0,1,2,COMMENTED,neutral,COMMENTED,vercel,yes,kocardkoc-cpu,,36560,300,95,0.050000
vercel,next.js,vercel/next.js,92570,https://github.com/vercel/next.js/pull/92570,Print number of page templates for compiler,OPEN,2026-04-09T12:46:39Z,2026-04-09T21:27:42Z,2026-04-09T21:27:42Z,8.684167,744,1,4,2,6,2,0,2,0,1,NO_REVIEW,no_review,,,no,mischnic,,36560,300,95,0.050000
vercel,next.js,vercel/next.js,91705,https://github.com/vercel/next.js/pull/91705,Turbopack: lazy require metadata and handle TLA,MERGED,2026-03-20T10:27:08Z,2026-04-04T00:11:19Z,2026-04-04T00:11:19Z,349.736389,256,8,141,50,191,4,0,4,12,3,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED,vercel|sokra|sokra|sokra|sokra|sokra|sokra|sokra|sokra|sokra|sokra|sokra,yes,mischnic,2026-03-20T15:30:33Z,36560,300,95,0.050000
