owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
vinta,awesome-python,vinta/awesome-python,3101,https://github.com/vinta/awesome-python/pull/3101,Add FastAPI to Web Frameworks section,open,2026-04-30T18:45:04Z,2026-04-30T18:45:04Z,2026-04-30T18:45:04Z,0.000000,788,1,2,0,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,TALBIYA-PARVEEN,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,3098,https://github.com/vinta/awesome-python/pull/3098,Add pytest-cloudreport,open,2026-04-29T14:53:28Z,2026-04-29T14:53:28Z,2026-04-29T14:53:28Z,0.000000,1141,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,ahmad212o,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,3087,https://github.com/vinta/awesome-python/pull/3087,Add deepalpha to Financial Data section,closed,2026-04-24T03:53:03Z,2026-04-26T15:53:28Z,2026-04-26T15:53:28Z,60.006944,369,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,stefanoviana,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,3089,https://github.com/vinta/awesome-python/pull/3089,Add OpenAI's framework for building AI agents,closed,2026-04-24T11:36:13Z,2026-04-24T16:21:20Z,2026-04-24T16:21:20Z,4.751944,682,1,1,0,1,0,0,0,1,2,APPROVED,positive,COMMENTED|APPROVED,JinyangWang27,yes,smortezah,2026-04-24T16:21:20Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,3088,https://github.com/vinta/awesome-python/pull/3088,Add promptise,open,2026-04-24T11:34:54Z,2026-04-24T15:03:42Z,2026-04-24T15:03:42Z,3.480000,1870,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,cryxnet,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,3066,https://github.com/vinta/awesome-python/pull/3066,Add `respx` library to Mock section,closed,2026-04-16T14:37:52Z,2026-04-17T07:24:04Z,2026-04-17T07:24:04Z,16.770000,401,1,1,0,1,0,0,0,1,2,APPROVED,positive,APPROVED,JinyangWang27,yes,lundberg,2026-04-17T05:57:35Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,3063,https://github.com/vinta/awesome-python/pull/3063,Add clawra-engine: AI agent framework with autonomous evolution,closed,2026-04-15T11:40:18Z,2026-04-17T05:56:00Z,2026-04-17T05:56:00Z,42.261667,859,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,wu-xiaochen,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,3065,https://github.com/vinta/awesome-python/pull/3065,Add SlothDB to Database section,closed,2026-04-16T09:08:47Z,2026-04-17T05:54:55Z,2026-04-17T05:54:55Z,20.768889,650,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,SouravRoy-ETL,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2797,https://github.com/vinta/awesome-python/pull/2797,Add Desbordante,closed,2025-11-12T23:21:27Z,2026-04-13T07:43:55Z,2026-04-13T07:43:55Z,3632.374444,1791,1,1,0,1,6,0,6,4,5,COMMENTED,neutral,APPROVED|APPROVED|APPROVED|COMMENTED,M00niee|YuzeHao2023|xdmhrbrsdy-ux|johannort,yes,chernishev,2025-11-20T09:45:51Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,3039,https://github.com/vinta/awesome-python/pull/3039,Add Python Pro Hub to Resources > Websites,closed,2026-04-09T21:14:16Z,2026-04-10T14:22:04Z,2026-04-10T14:22:04Z,17.130000,503,1,4,0,4,2,0,2,0,1,NO_REVIEW,no_review,,,no,AhmedNabilKotb,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,3017,https://github.com/vinta/awesome-python/pull/3017,Add gridoptim to Data Analysis section of ReadMe,closed,2026-04-02T14:16:07Z,2026-04-03T06:33:05Z,2026-04-03T06:33:05Z,16.282778,198,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,Halfblood-Prince,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,3016,https://github.com/vinta/awesome-python/pull/3016,Add veroq - LLM output verification,closed,2026-04-02T13:35:36Z,2026-04-03T06:01:39Z,2026-04-03T06:01:39Z,16.434167,1255,1,2,0,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,JohnnyTarrr,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,3013,https://github.com/vinta/awesome-python/pull/3013,Add datascreeniq-python to Data Validation section,closed,2026-04-01T05:35:28Z,2026-04-02T06:12:13Z,2026-04-02T06:12:13Z,24.612500,345,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,AppDevIQ,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,116,https://github.com/vinta/awesome-python/pull/116,added api resource,closed,2014-07-09T17:11:36Z,2026-04-01T03:37:31Z,2026-04-01T03:37:31Z,102802.431944,0,1,1,0,1,0,0,0,1,2,COMMENTED,neutral,COMMENTED,Kirandcruz3,yes,mjhea0,2014-07-10T05:21:16Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,3012,https://github.com/vinta/awesome-python/pull/3012,Add TradingAgents,closed,2026-04-01T03:28:09Z,2026-04-01T03:34:05Z,2026-04-01T03:34:05Z,0.098889,1193,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,JinyangWang27,2026-04-01T03:34:05Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2999,https://github.com/vinta/awesome-python/pull/2999,docs: fix capitalization and formatting in Reflex entry,closed,2026-03-27T11:50:21Z,2026-03-29T06:06:18Z,2026-03-29T06:06:18Z,42.265833,266,1,1,1,2,0,0,0,1,2,APPROVED,positive,APPROVED,JinyangWang27,yes,24f3000956,2026-03-29T06:06:18Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2997,https://github.com/vinta/awesome-python/pull/2997,Update README.mdFix formatting issue in HTTP Clients section,closed,2026-03-27T03:07:07Z,2026-03-27T04:12:22Z,2026-03-27T04:12:22Z,1.087500,146,1,0,1,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,shreenidhi180305,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2993,https://github.com/vinta/awesome-python/pull/2993,remove jieba,closed,2026-03-26T06:02:21Z,2026-03-26T06:02:56Z,2026-03-26T06:02:56Z,0.009722,43,1,0,1,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,JinyangWang27,2026-03-26T06:02:48Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2988,https://github.com/vinta/awesome-python/pull/2988,Add VulnDraft bug bounty report generator,closed,2026-03-24T20:39:12Z,2026-03-25T07:46:34Z,2026-03-25T07:46:34Z,11.122778,1147,1,1,0,1,1,1,2,0,1,NO_REVIEW,no_review,,,no,ruyynn,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2986,https://github.com/vinta/awesome-python/pull/2986,Add TradeSight — algorithmic trading backtester,closed,2026-03-23T21:59:20Z,2026-03-24T02:58:15Z,2026-03-24T02:58:15Z,4.981944,657,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,rmbell09-lang,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2966,https://github.com/vinta/awesome-python/pull/2966,Add AI Agents section with popular frameworks,closed,2026-03-16T07:17:00Z,2026-03-23T08:59:43Z,2026-03-23T08:59:43Z,169.711944,477,1,11,0,11,1,0,1,2,2,COMMENTED,neutral,COMMENTED|COMMENTED,yazid1338|yazid1338,yes,sudabg,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2984,https://github.com/vinta/awesome-python/pull/2984,Fix http to https for PIL and ImageMagick links,closed,2026-03-21T10:16:01Z,2026-03-22T18:15:37Z,2026-03-22T18:15:37Z,31.993333,120,1,2,2,4,2,0,2,0,1,NO_REVIEW,no_review,,,no,23f2000649-a11y,2026-03-22T18:15:37Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2981,https://github.com/vinta/awesome-python/pull/2981,Add nless,closed,2026-03-20T02:50:39Z,2026-03-20T15:45:54Z,2026-03-20T15:45:54Z,12.920833,563,1,1,0,1,2,0,2,1,2,APPROVED,positive,APPROVED,JinyangWang27,yes,mpryor,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2968,https://github.com/vinta/awesome-python/pull/2968,remove zipline,closed,2026-03-18T04:34:28Z,2026-03-19T05:48:41Z,2026-03-19T05:48:41Z,25.236944,74,1,0,1,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,JinyangWang27,2026-03-18T04:35:03Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2962,https://github.com/vinta/awesome-python/pull/2962,Add pgmpy ,closed,2026-03-15T17:55:08Z,2026-03-16T02:21:15Z,2026-03-16T02:21:15Z,8.435278,1062,1,1,0,1,0,0,0,1,2,APPROVED,positive,APPROVED,JinyangWang27,yes,Ashi-tha,2026-03-16T02:21:15Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2955,https://github.com/vinta/awesome-python/pull/2955,Fix missing closing backtick in nose2 description,closed,2026-03-10T23:14:22Z,2026-03-15T02:57:50Z,2026-03-15T02:57:50Z,99.724444,175,1,1,1,2,2,0,2,2,3,APPROVED,positive,COMMENTED|APPROVED,manojsivaji9043-jpg|JinyangWang27,yes,LincolnBurrows2017,2026-03-11T06:55:02Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2936,https://github.com/vinta/awesome-python/pull/2936,Add BirdNET-Analyzer to Audio section,closed,2026-03-01T10:39:15Z,2026-03-14T06:44:11Z,2026-03-14T06:44:11Z,308.082222,432,1,1,0,1,2,0,2,0,1,NO_REVIEW,no_review,,,no,stuckvgn,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2952,https://github.com/vinta/awesome-python/pull/2952,Add GitHub Hacker - CLI tool for managing multiple GitHub accounts,closed,2026-03-09T03:49:14Z,2026-03-10T04:51:42Z,2026-03-10T04:51:42Z,25.041111,1065,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,SSBun,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2945,https://github.com/vinta/awesome-python/pull/2945,Add graphable to Data Visualization section,closed,2026-03-06T21:18:06Z,2026-03-09T03:39:18Z,2026-03-09T03:39:18Z,54.353333,528,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,TheTrueSCU,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2947,https://github.com/vinta/awesome-python/pull/2947,Add quantum-pulse to Cryptography,closed,2026-03-07T07:05:43Z,2026-03-09T03:35:22Z,2026-03-09T03:35:22Z,44.494167,314,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,Naveenub,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2943,https://github.com/vinta/awesome-python/pull/2943,Add RustChain to Cryptography,closed,2026-03-05T03:03:37Z,2026-03-05T04:04:45Z,2026-03-05T04:04:45Z,1.018889,1886,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,Scottcjn,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2921,https://github.com/vinta/awesome-python/pull/2921,Add Trestle to Text Processing,closed,2026-02-18T20:53:31Z,2026-03-04T09:51:26Z,2026-03-04T09:51:26Z,324.965278,1859,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,kshah-trestle,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2918,https://github.com/vinta/awesome-python/pull/2918,Add pdf_oxide to PDF section,closed,2026-02-16T22:00:05Z,2026-03-02T05:14:01Z,2026-03-02T05:14:01Z,319.232222,592,1,1,0,1,0,0,0,1,2,APPROVED,positive,APPROVED,JinyangWang27,yes,yfedoseev,2026-03-02T05:14:01Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2923,https://github.com/vinta/awesome-python/pull/2923,Add FrostByte to Productivity Tools,closed,2026-02-19T17:35:08Z,2026-02-26T06:48:48Z,2026-02-26T06:48:48Z,157.227778,499,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,VladislavTsytrikov,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2926,https://github.com/vinta/awesome-python/pull/2926,Add llm-async,closed,2026-02-20T16:53:01Z,2026-02-25T06:08:25Z,2026-02-25T06:08:25Z,109.256667,1804,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,sonic182,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2931,https://github.com/vinta/awesome-python/pull/2931,Add FastAPI NoSQL Template to the Boilerplate and Open Source Projects sections.,closed,2026-02-22T11:36:51Z,2026-02-25T06:07:41Z,2026-02-25T06:07:41Z,66.513889,1785,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,th0truth,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2917,https://github.com/vinta/awesome-python/pull/2917,Add Qiskit library under new section Quantum Computing,closed,2026-02-16T19:54:45Z,2026-02-17T11:35:24Z,2026-02-17T11:35:24Z,15.677500,1722,1,8,1,9,0,0,0,1,2,APPROVED,positive,APPROVED,JinyangWang27,yes,dakshp26,2026-02-17T11:35:24Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2914,https://github.com/vinta/awesome-python/pull/2914,Add clawrtc to Command-line Tools,closed,2026-02-15T01:29:28Z,2026-02-15T19:20:05Z,2026-02-15T19:20:05Z,17.843611,1281,1,1,0,1,2,0,2,0,1,NO_REVIEW,no_review,,,no,sophiaeagent-beep,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2905,https://github.com/vinta/awesome-python/pull/2905,Add kreuzberg,closed,2026-02-08T14:31:14Z,2026-02-12T01:44:21Z,2026-02-12T01:44:21Z,83.218611,395,1,1,0,1,1,2,3,1,2,APPROVED,positive,APPROVED,JinyangWang27,yes,Goldziher,2026-02-10T18:34:44Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2887,https://github.com/vinta/awesome-python/pull/2887,Add deadhand to Cryptography section for digital inheritance management,closed,2026-01-28T17:34:54Z,2026-02-09T14:02:26Z,2026-02-09T14:02:26Z,284.458889,358,1,1,0,1,3,0,3,0,1,NO_REVIEW,no_review,,,no,maxcomperatore,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2898,https://github.com/vinta/awesome-python/pull/2898,Add graph-algorithms: Fast approximate minimum cycle basis (MCB) for sparse graphs,closed,2026-02-02T16:23:04Z,2026-02-02T18:21:10Z,2026-02-02T18:21:10Z,1.968333,1172,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,m15154178071-cmyk,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2872,https://github.com/vinta/awesome-python/pull/2872,Clarify DevOps Tools Section Descriptions,closed,2026-01-22T16:06:03Z,2026-02-02T12:22:03Z,2026-02-02T12:22:03Z,260.266667,153,1,4,5,9,3,7,10,4,4,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED,StephanFWard|cateyes666|manerohit66|StephanFWard,yes,Rajvarma-hub,,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2894,https://github.com/vinta/awesome-python/pull/2894,Add browser-use to Web Crawling section,closed,2026-02-01T04:25:36Z,2026-02-01T09:13:37Z,2026-02-01T09:13:37Z,4.800278,967,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,njg7194,2026-02-01T09:13:36Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2874,https://github.com/vinta/awesome-python/pull/2874,Add edgartools to Data Analysis,closed,2026-01-24T03:17:57Z,2026-02-01T05:07:48Z,2026-02-01T05:07:48Z,193.830833,721,1,1,0,1,3,0,3,1,2,APPROVED,positive,APPROVED,JinyangWang27,yes,dgunning,2026-01-24T17:54:19Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2888,https://github.com/vinta/awesome-python/pull/2888,docs: enhance ML library descriptions with additional context,closed,2026-01-29T14:36:04Z,2026-01-31T10:52:22Z,2026-01-31T10:52:22Z,44.271667,630,1,2,2,4,2,1,3,2,3,APPROVED,positive,COMMENTED|APPROVED,nivekpraht|JinyangWang27,yes,AsadUllah428,2026-01-31T10:52:22Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2866,https://github.com/vinta/awesome-python/pull/2866,Add: rasa,closed,2026-01-18T22:18:36Z,2026-01-19T16:46:01Z,2026-01-19T16:46:01Z,18.456944,1246,1,1,0,1,2,0,2,0,1,NO_REVIEW,no_review,,,no,leftkats,2026-01-19T16:45:41Z,1427,300,95,0.050000
vinta,awesome-python,vinta/awesome-python,2865,https://github.com/vinta/awesome-python/pull/2865,Add Jimmy,closed,2026-01-18T17:06:27Z,2026-01-19T16:32:20Z,2026-01-19T16:32:20Z,23.431389,1454,1,1,0,1,3,0,3,1,2,APPROVED,positive,APPROVED,JinyangWang27,yes,marph91,2026-01-19T16:30:40Z,1427,300,95,0.050000
