owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
yangshun,tech-interview-handbook,yangshun/tech-interview-handbook,714,https://github.com/yangshun/tech-interview-handbook/pull/714,seo: fix HTML lang attribute missing,MERGED,2025-07-09T05:40:39Z,2025-07-10T00:25:52Z,2025-07-10T00:25:52Z,18.753611,68,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,xquisite0,2025-07-10T00:25:52Z,588,10,95,0.050000
yangshun,tech-interview-handbook,yangshun/tech-interview-handbook,639,https://github.com/yangshun/tech-interview-handbook/pull/639,contents: add linked list implementation in C++,MERGED,2024-04-05T15:18:06Z,2024-10-06T11:15:16Z,2024-10-06T11:15:16Z,4411.952778,55,1,1,1,2,1,0,1,1,2,APPROVED,positive,APPROVED,yangshun,yes,PyGeek03,2024-10-06T11:15:03Z,588,10,95,0.050000
yangshun,tech-interview-handbook,yangshun/tech-interview-handbook,659,https://github.com/yangshun/tech-interview-handbook/pull/659,[contents] add periods where necessary,MERGED,2024-09-21T03:20:58Z,2024-10-06T08:43:20Z,2024-10-06T08:43:20Z,365.372778,0,2,6,2,8,0,0,0,1,2,APPROVED,positive,APPROVED,yangshun,yes,Ksenofanex,2024-10-06T08:43:20Z,588,10,95,0.050000
yangshun,tech-interview-handbook,yangshun/tech-interview-handbook,511,https://github.com/yangshun/tech-interview-handbook/pull/511,[questions][feat] update text search,MERGED,2022-11-05T13:05:51Z,2022-11-05T17:12:05Z,2022-11-05T17:12:05Z,4.103889,0,1,4,6,10,0,0,0,0,1,NO_REVIEW,no_review,,,no,hpkoh,2022-11-05T17:11:51Z,588,10,95,0.050000
yangshun,tech-interview-handbook,yangshun/tech-interview-handbook,471,https://github.com/yangshun/tech-interview-handbook/pull/471,Bryann yeap/oea fixes,MERGED,2022-10-31T03:38:59Z,2022-11-02T23:53:27Z,2022-11-02T23:53:27Z,68.241111,0,17,700,518,1218,0,0,0,0,1,NO_REVIEW,no_review,,,no,BryannYeap,2022-10-31T03:41:36Z,588,10,95,0.050000
yangshun,tech-interview-handbook,yangshun/tech-interview-handbook,367,https://github.com/yangshun/tech-interview-handbook/pull/367,[offers][feat] integrate profile delete API and set loading status,MERGED,2022-10-12T11:09:22Z,2022-10-12T11:12:18Z,2022-10-12T11:12:18Z,0.048889,0,7,442,308,750,0,0,0,0,1,NO_REVIEW,no_review,,,no,ziqing26,2022-10-12T11:12:14Z,588,10,95,0.050000
yangshun,tech-interview-handbook,yangshun/tech-interview-handbook,242,https://github.com/yangshun/tech-interview-handbook/pull/242,fix: dropbox.com is connected with full stop,MERGED,2021-10-29T09:04:53Z,2021-10-30T01:49:42Z,2021-10-30T01:49:42Z,16.746944,81,1,1,1,2,0,0,0,1,2,APPROVED,positive,APPROVED,yangshun,yes,mgkyawmyotun,2021-10-30T01:49:42Z,588,10,95,0.050000
yangshun,tech-interview-handbook,yangshun/tech-interview-handbook,199,https://github.com/yangshun/tech-interview-handbook/pull/199,build(deps): bump y18n from 4.0.0 to 4.0.1 in /website,MERGED,2021-03-30T20:34:41Z,2021-04-13T01:22:03Z,2021-04-13T01:22:03Z,316.789444,2939,1,3,3,6,0,0,0,0,1,NO_REVIEW,no_review,,,no,dependabot,2021-04-13T01:21:49Z,588,10,95,0.050000
yangshun,tech-interview-handbook,yangshun/tech-interview-handbook,94,https://github.com/yangshun/tech-interview-handbook/pull/94,Create signals.md,CLOSED,2018-01-02T20:50:26Z,2018-01-13T07:16:04Z,2018-01-13T07:16:04Z,250.427222,0,1,4,0,4,1,0,1,0,1,NO_REVIEW,no_review,,,no,zafarella,,588,10,95,0.050000
yangshun,tech-interview-handbook,yangshun/tech-interview-handbook,28,https://github.com/yangshun/tech-interview-handbook/pull/28,Added to Front-End Interview questions: more answers to question,MERGED,2017-10-03T16:01:30Z,2017-10-03T16:48:32Z,2017-10-03T16:48:32Z,0.783889,124,1,1,0,1,3,0,3,0,1,NO_REVIEW,no_review,,,no,alexprut,2017-10-03T16:48:32Z,588,10,95,0.050000
