owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
yt-dlp,yt-dlp,yt-dlp/yt-dlp,16594,https://github.com/yt-dlp/yt-dlp/pull/16594,[ie/cnn] Add audio extractor,OPEN,2026-04-29T16:29:22Z,2026-04-29T16:29:23Z,2026-04-29T16:29:23Z,0.000278,1102,2,96,3,99,0,0,0,0,1,NO_REVIEW,no_review,,,no,0xvd,,4767,300,95,0.050000
yt-dlp,yt-dlp,yt-dlp/yt-dlp,13769,https://github.com/yt-dlp/yt-dlp/pull/13769,[Stripchat] Add support for VR URLs (e.g. vr.stripchat.com),OPEN,2025-07-19T02:01:32Z,2026-04-25T21:43:55Z,2026-04-25T21:43:55Z,6739.706389,1160,1,65,40,105,2,0,2,3,3,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED,github-advanced-security|github-advanced-security|copilot-pull-request-reviewer,yes,phoenixthrush,,4767,300,95,0.050000
yt-dlp,yt-dlp,yt-dlp/yt-dlp,15332,https://github.com/yt-dlp/yt-dlp/pull/15332,[ie/vk:uservideos] Fix extractor,OPEN,2025-12-15T19:18:37Z,2026-04-25T11:25:37Z,2026-04-25T11:25:37Z,3136.116667,973,1,197,82,279,2,0,2,16,3,COMMENTED,neutral,CHANGES_REQUESTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,bashonly|0xvd|0xvd|bashonly|0xvd|bashonly|0xvd|0xvd|dirkf|0xvd|0xvd|dirkf|0xvd|dirkf|0xvd|0xvd,yes,0xvd,,4767,300,95,0.050000
yt-dlp,yt-dlp,yt-dlp/yt-dlp,15427,https://github.com/yt-dlp/yt-dlp/pull/15427,[yandexmusic] Fix connection timeouts by using HTTPS for all requests,OPEN,2025-12-28T20:39:41Z,2026-04-21T22:58:46Z,2026-04-21T22:58:46Z,2738.318056,1390,1,5,3,8,13,0,13,0,1,NO_REVIEW,no_review,,,no,mnnoee,,4767,300,95,0.050000
yt-dlp,yt-dlp,yt-dlp/yt-dlp,16521,https://github.com/yt-dlp/yt-dlp/pull/16521,[ie/locals] Add extractor,CLOSED,2026-04-19T18:59:40Z,2026-04-20T03:35:41Z,2026-04-20T03:35:41Z,8.600278,2728,2,140,0,140,1,0,1,0,1,NO_REVIEW,no_review,,,no,radicalhashcan,,4767,300,95,0.050000
yt-dlp,yt-dlp,yt-dlp/yt-dlp,13198,https://github.com/yt-dlp/yt-dlp/pull/13198,[cookies] browser settings improvements,OPEN,2025-05-17T10:58:00Z,2026-04-15T03:10:22Z,2026-04-15T03:10:22Z,7984.206111,1967,2,246,105,351,1,0,1,7,3,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,mbway|mbway|bashonly|bashonly|mbway|bashonly|gamer191,yes,mbway,,4767,300,95,0.050000
yt-dlp,yt-dlp,yt-dlp/yt-dlp,12184,https://github.com/yt-dlp/yt-dlp/pull/12184,feat: add flag to suppress standard headers,OPEN,2025-01-24T10:53:29Z,2026-04-13T17:14:00Z,2026-04-13T17:14:00Z,10662.341944,1188,4,10,1,11,5,0,5,0,1,NO_REVIEW,no_review,,,no,cgroschupp,,4767,300,95,0.050000
yt-dlp,yt-dlp,yt-dlp/yt-dlp,14297,https://github.com/yt-dlp/yt-dlp/pull/14297,[ie/iz.ru] Add extractor,OPEN,2025-09-11T12:15:27Z,2026-04-12T11:09:42Z,2026-04-12T11:09:42Z,5110.904167,698,2,82,0,82,0,0,0,0,1,NO_REVIEW,no_review,,,no,swayll,,4767,300,95,0.050000
yt-dlp,yt-dlp,yt-dlp/yt-dlp,12702,https://github.com/yt-dlp/yt-dlp/pull/12702,[ie/9now.com.au] Fix extractor,MERGED,2025-03-22T20:53:49Z,2026-04-08T02:17:45Z,2026-04-08T02:17:45Z,9149.398889,637,1,98,71,169,0,0,0,6,4,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,dirkf|majibow|bashonly|majibow|bashonly|seproDev,yes,bashonly,2025-03-23T16:35:46Z,4767,300,95,0.050000
yt-dlp,yt-dlp,yt-dlp/yt-dlp,7458,https://github.com/yt-dlp/yt-dlp/pull/7458,[ie/youtube] Add `player_use_pp` extractor arg,CLOSED,2023-06-29T07:32:29Z,2026-04-01T20:34:23Z,2026-04-01T20:34:23Z,24181.031667,1793,2,9,3,12,5,0,5,0,1,NO_REVIEW,no_review,,,no,coletdjnz,,4767,300,95,0.050000
yt-dlp,yt-dlp,yt-dlp/yt-dlp,16358,https://github.com/yt-dlp/yt-dlp/pull/16358,[build] Harden build/release workflows,MERGED,2026-03-27T10:28:40Z,2026-03-28T00:11:03Z,2026-03-28T00:11:03Z,13.706389,835,29,5132,100,5232,3,0,3,5,2,APPROVED,positive,COMMENTED|COMMENTED|APPROVED|COMMENTED|APPROVED,bashonly|bashonly|Grub4K|bashonly|Grub4K,yes,bashonly,2026-03-28T00:10:59Z,4767,300,95,0.050000
yt-dlp,yt-dlp,yt-dlp/yt-dlp,16344,https://github.com/yt-dlp/yt-dlp/pull/16344,"[ie/tiktok:user] Extract user signature -> 'description', nickname -> 'channel' for playlist",OPEN,2026-03-25T10:28:23Z,2026-03-25T11:38:19Z,2026-03-25T11:38:19Z,1.165556,1443,1,10,2,12,0,0,0,0,1,NO_REVIEW,no_review,,,no,deadmeu,,4767,300,95,0.050000
