owner,repo,status,message
freeCodeCamp,freeCodeCamp,error,HTTP Error 403: rate limit exceeded
codecrafters-io,build-your-own-x,error,HTTP Error 403: rate limit exceeded
EbookFoundation,free-programming-books,error,HTTP Error 403: rate limit exceeded
sindresorhus,awesome,error,HTTP Error 403: rate limit exceeded
jwasham,coding-interview-university,error,HTTP Error 403: rate limit exceeded
openclaw,openclaw,error,HTTP Error 403: rate limit exceeded
donnemartin,system-design-primer,error,HTTP Error 403: rate limit exceeded
vinta,awesome-python,error,HTTP Error 403: rate limit exceeded
996icu,996.ICU,error,HTTP Error 403: rate limit exceeded
awesome-selfhosted,awesome-selfhosted,error,HTTP Error 403: rate limit exceeded
facebook,react,error,HTTP Error 403: rate limit exceeded
TheAlgorithms,Python,error,HTTP Error 403: rate limit exceeded
trekhleb,javascript-algorithms,error,HTTP Error 403: rate limit exceeded
getify,You-Dont-Know-JS,error,HTTP Error 403: rate limit exceeded
ohmyzsh,ohmyzsh,error,HTTP Error 403: rate limit exceeded
trimstray,the-book-of-secret-knowledge,error,HTTP Error 403: rate limit exceeded
Significant-Gravitas,AutoGPT,error,HTTP Error 403: rate limit exceeded
microsoft,vscode,error,HTTP Error 403: rate limit exceeded
flutter,flutter,error,HTTP Error 403: rate limit exceeded
github,gitignore,error,HTTP Error 403: rate limit exceeded
avelino,awesome-go,error,HTTP Error 403: rate limit exceeded
obra,superpowers,error,HTTP Error 403: rate limit exceeded
ollama,ollama,error,HTTP Error 403: rate limit exceeded
affaan-m,everything-claude-code,error,HTTP Error 403: rate limit exceeded
AUTOMATIC1111,stable-diffusion-webui,error,HTTP Error 403: rate limit exceeded
f,prompts.chat,error,HTTP Error 403: rate limit exceeded
jlevy,the-art-of-command-line,error,HTTP Error 403: rate limit exceeded
huggingface,transformers,error,HTTP Error 403: rate limit exceeded
yt-dlp,yt-dlp,error,HTTP Error 403: rate limit exceeded
airbnb,javascript,error,HTTP Error 403: rate limit exceeded
langflow-ai,langflow,error,HTTP Error 403: rate limit exceeded
ytdl-org,youtube-dl,error,HTTP Error 403: rate limit exceeded
langgenius,dify,error,HTTP Error 403: rate limit exceeded
vercel,next.js,error,HTTP Error 403: rate limit exceeded
Genymobile,scrcpy,error,HTTP Error 403: rate limit exceeded
yangshun,tech-interview-handbook,error,HTTP Error 403: rate limit exceeded
langchain-ai,langchain,error,HTTP Error 403: rate limit exceeded
x1xhlol,system-prompts-and-models-of-ai-tools,error,HTTP Error 403: rate limit exceeded
open-webui,open-webui,error,HTTP Error 403: rate limit exceeded
labuladong,fucking-algorithm,error,HTTP Error 403: rate limit exceeded
krahets,hello-algo,error,HTTP Error 403: rate limit exceeded
microsoft,PowerToys,error,HTTP Error 403: rate limit exceeded
Chalarangelo,30-seconds-of-code,error,HTTP Error 403: rate limit exceeded
NousResearch,hermes-agent,error,HTTP Error 403: rate limit exceeded
excalidraw,excalidraw,error,HTTP Error 403: rate limit exceeded
electron,electron,error,HTTP Error 403: rate limit exceeded
kubernetes,kubernetes,error,HTTP Error 403: rate limit exceeded
ripienaar,free-for-dev,error,HTTP Error 403: rate limit exceeded
microsoft,markitdown,error,HTTP Error 403: rate limit exceeded
nodejs,node,error,HTTP Error 403: rate limit exceeded
justjavac,free-programming-books-zh_CN,error,HTTP Error 403: rate limit exceeded
