repo,url,clusters,cluster_labels,policy_mentions,policy_files,total_policy_words
Aider-AI/aider,https://github.com/Aider-AI/aider.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,33
Alamofire/Alamofire,https://github.com/Alamofire/Alamofire.git,2,Declaração obrigatória do uso de IA,1,CONTRIBUTING.md,78
Cinnamon/kotaemon,https://github.com/Cinnamon/kotaemon.git,0,Governança ampla do uso de IA,1,contributing.md,49
CopilotKit/CopilotKit,https://github.com/CopilotKit/CopilotKit.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,55
DayuanJiang/next-ai-draw-io,https://github.com/DayuanJiang/next-ai-draw-io.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,79
FreeCAD/FreeCAD,https://github.com/FreeCAD/FreeCAD.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,535
HeyPuter/puter,https://github.com/HeyPuter/puter.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,11
Homebrew/brew,https://github.com/Homebrew/brew.git,0,Governança ampla do uso de IA,1,PULL_REQUEST_TEMPLATE.md && CONTRIBUTING.md,146
HumanSignal/label-studio,https://github.com/HumanSignal/label-studio.git,0,Governança ampla do uso de IA,1,pull_request_template.md,52
JuliaLang/julia,https://github.com/JuliaLang/julia.git,2,Declaração obrigatória do uso de IA,1,CONTRIBUTING.md,99
LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,74
Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,49
NawfalMotii79/PLFM_RADAR,https://github.com/NawfalMotii79/PLFM_RADAR.git,1,Responsabilidade humana sobre contribuições assistidas por IA,1,CONTRIBUTING.md,73
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,149
OWASP/CheatSheetSeries,https://github.com/OWASP/CheatSheetSeries.git,2,Declaração obrigatória do uso de IA,1,pull_request_template.md && CONTRIBUTING.md,149
PostHog/posthog,https://github.com/PostHog/posthog.git,1,Responsabilidade humana sobre contribuições assistidas por IA,1,CONTRIBUTING.md,74
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,119
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,0
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,217
aaif-goose/goose,https://github.com/aaif-goose/goose.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,83
actualbudget/actual,https://github.com/actualbudget/actual.git,1,Responsabilidade humana sobre contribuições assistidas por IA,1,CONTRIBUTING.md,16
agno-agi/agno,https://github.com/agno-agi/agno.git,0,Governança ampla do uso de IA,1,pull_request_template.md && CONTRIBUTING.md,453
alacritty/alacritty,https://github.com/alacritty/alacritty.git,1,Responsabilidade humana sobre contribuições assistidas por IA,1,CONTRIBUTING.md,3
anomalyco/opencode,https://github.com/anomalyco/opencode.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,68
apache/airflow,https://github.com/apache/airflow.git,2,Declaração obrigatória do uso de IA,1,PULL_REQUEST_TEMPLATE.md,42
aseprite/aseprite,https://github.com/aseprite/aseprite.git,2,Declaração obrigatória do uso de IA,1,PULL_REQUEST_TEMPLATE.md,13
backstage/backstage,https://github.com/backstage/backstage.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,456
badlogic/pi-mono,https://github.com/badlogic/pi-mono.git,1,Responsabilidade humana sobre contribuições assistidas por IA,1,CONTRIBUTING.md,15
better-auth/better-auth,https://github.com/better-auth/better-auth.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,55
bevyengine/bevy,https://github.com/bevyengine/bevy.git,1,Responsabilidade humana sobre contribuições assistidas por IA,1,CONTRIBUTING.md,23
blakeblackshear/frigate,https://github.com/blakeblackshear/frigate.git,0,Governança ampla do uso de IA,1,pull_request_template.md && CONTRIBUTING.md,251
bmad-code-org/BMAD-METHOD,https://github.com/bmad-code-org/BMAD-METHOD.git,1,Responsabilidade humana sobre contribuições assistidas por IA,1,CONTRIBUTING.md,48
caddyserver/caddy,https://github.com/caddyserver/caddy.git,0,Governança ampla do uso de IA,1,pull_request_template.md,162
carbon-language/carbon-lang,https://github.com/carbon-language/carbon-lang.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,48
certbot/certbot,https://github.com/certbot/certbot.git,2,Declaração obrigatória do uso de IA,1,pull_request_template.md,188
cjpais/Handy,https://github.com/cjpais/Handy.git,1,Responsabilidade humana sobre contribuições assistidas por IA,1,PULL_REQUEST_TEMPLATE.md && CONTRIBUTING.md,77
containers/podman,https://github.com/containers/podman.git,1,Responsabilidade humana sobre contribuições assistidas por IA,1,CONTRIBUTING.md,59
continuedev/continue,https://github.com/continuedev/continue.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,226
coollabsio/coolify,https://github.com/coollabsio/coolify.git,0,Governança ampla do uso de IA,1,pull_request_template.md && CONTRIBUTING.md,438
crewAIInc/crewAI,https://github.com/crewAIInc/crewAI.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,69
cypress-io/cypress,https://github.com/cypress-io/cypress.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,325
denoland/deno,https://github.com/denoland/deno.git,0,Governança ampla do uso de IA,1,PULL_REQUEST_TEMPLATE.md,203
duckdb/duckdb,https://github.com/duckdb/duckdb.git,2,Declaração obrigatória do uso de IA,1,CONTRIBUTING.md,4
electron/electron,https://github.com/electron/electron.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,71
elixir-lang/elixir,https://github.com/elixir-lang/elixir.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,153
envoyproxy/envoy,https://github.com/envoyproxy/envoy.git,2,Declaração obrigatória do uso de IA,1,CONTRIBUTING.md && PULL_REQUEST_TEMPLATE.md,248
etcd-io/etcd,https://github.com/etcd-io/etcd.git,0,Governança ampla do uso de IA,1,PULL_REQUEST_TEMPLATE.md,54
facebook/docusaurus,https://github.com/facebook/docusaurus.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,0
farion1231/cc-switch,https://github.com/farion1231/cc-switch.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,165
fastapi/full-stack-fastapi-template,https://github.com/fastapi/full-stack-fastapi-template.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,119
