repo_name,link,stars,most_recent_activity,age_days,has_ai_policy,has_ai_policy_label,age_years
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,443636,2026-04-26T23:28:29Z,4141,Without AI Policy,Sem politica de IA,11.345205479452055
public-apis/public-apis,https://github.com/public-apis/public-apis,426712,2026-03-18T16:28:22Z,3689,Without AI Policy,Sem politica de IA,10.106849315068493
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,386113,2026-04-24T13:32:32Z,4580,Without AI Policy,Sem politica de IA,12.547945205479452
openclaw/openclaw,https://github.com/openclaw/openclaw,364713,2026-04-27T02:39:26Z,153,With AI Policy,Com politica de IA,0.4191780821917808
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,353707,2026-04-26T17:07:20Z,3329,Without AI Policy,Sem politica de IA,9.12054794520548
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,344673,2026-03-20T01:52:19Z,3346,Without AI Policy,Sem politica de IA,9.167123287671233
facebook/react,https://github.com/facebook/react,244710,2026-04-24T23:27:40Z,4720,Without AI Policy,Sem politica de IA,12.931506849315069
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,220252,2026-04-13T22:10:46Z,3571,Without AI Policy,Sem politica de IA,9.783561643835617
ossu/computer-science,https://github.com/ossu/computer-science,203294,2026-04-21T04:43:27Z,4376,Without AI Policy,Sem politica de IA,11.98904109589041
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,195877,2026-02-18T09:20:06Z,2955,Without AI Policy,Sem politica de IA,8.095890410958905
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,194899,2026-04-27T02:32:34Z,3824,Without AI Policy,Sem politica de IA,10.476712328767123
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,188614,2026-04-27T02:32:16Z,26,Without AI Policy,Sem politica de IA,0.07123287671232877
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,186508,2026-04-26T12:52:33Z,6085,With AI Policy,Com politica de IA,16.671232876712327
n8n-io/n8n,https://github.com/n8n-io/n8n,185714,2026-04-27T01:35:04Z,2500,Without AI Policy,Sem politica de IA,6.8493150684931505
microsoft/vscode,https://github.com/microsoft/vscode,184300,2026-04-27T02:35:00Z,3888,Without AI Policy,Sem politica de IA,10.652054794520549
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,183793,2026-04-26T23:37:49Z,1137,Without AI Policy,Sem politica de IA,3.115068493150685
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,181900,2026-04-13T02:42:42Z,2978,Without AI Policy,Sem politica de IA,8.158904109589042
flutter/flutter,https://github.com/flutter/flutter,176117,2026-04-27T02:05:10Z,4069,With AI Policy,Com politica de IA,11.147945205479452
twbs/bootstrap,https://github.com/twbs/bootstrap,174207,2026-04-25T21:18:41Z,5385,Without AI Policy,Sem politica de IA,14.753424657534246
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,173253,2026-04-17T19:03:42Z,2296,Without AI Policy,Sem politica de IA,6.2904109589041095
avelino/awesome-go,https://github.com/avelino/awesome-go,171089,2026-04-26T03:17:26Z,4312,Without AI Policy,Sem politica de IA,11.813698630136987
ollama/ollama,https://github.com/ollama/ollama,170083,2026-04-26T23:00:44Z,1035,Without AI Policy,Sem politica de IA,2.835616438356164
obra/superpowers,https://github.com/obra/superpowers,168652,2026-04-24T02:02:37Z,199,Without AI Policy,Sem politica de IA,0.5452054794520548
affaan-m/everything-claude-code,https://github.com/affaan-m/everything-claude-code,167694,2026-04-26T04:53:53Z,99,Without AI Policy,Sem politica de IA,0.27123287671232876
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,162629,2026-03-02T07:00:53Z,1343,Without AI Policy,Sem politica de IA,3.6794520547945204
f/prompts.chat,https://github.com/f/prompts.chat,160796,2026-04-26T22:16:34Z,1238,Without AI Policy,Sem politica de IA,3.3917808219178083
huggingface/transformers,https://github.com/huggingface/transformers,159958,2026-04-26T13:00:40Z,2736,With AI Policy,Com politica de IA,7.495890410958904
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,158769,2026-04-19T21:37:26Z,2008,With AI Policy,Com politica de IA,5.501369863013698
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,155237,2026-04-25T16:01:15Z,2911,Without AI Policy,Sem politica de IA,7.975342465753425
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,153285,2026-04-01T16:16:13Z,3644,Without AI Policy,Sem politica de IA,9.983561643835616
anomalyco/opencode,https://github.com/anomalyco/opencode,150051,2026-04-27T02:09:08Z,361,With AI Policy,Com politica de IA,0.989041095890411
airbnb/javascript,https://github.com/airbnb/javascript,148130,2026-04-16T19:24:09Z,4924,Without AI Policy,Sem politica de IA,13.490410958904109
langflow-ai/langflow,https://github.com/langflow-ai/langflow,147394,2026-04-27T00:48:17Z,1173,Without AI Policy,Sem politica de IA,3.213698630136986
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,140147,2026-02-19T16:45:25Z,5656,Without AI Policy,Sem politica de IA,15.495890410958904
langgenius/dify,https://github.com/langgenius/dify,139249,2026-04-27T02:39:25Z,1110,Without AI Policy,Sem politica de IA,3.041095890410959
